CaseID,Domain,Hop,Codeword,Layer,Port,PRB,Symbol,Subcarrier,LinearIndex0Based,Status
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,7,139,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,8,140,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,9,141,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,10,142,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,11,143,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,0,144,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,1,145,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,2,146,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,3,147,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,4,148,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,5,149,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,6,150,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,7,151,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,8,152,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,9,153,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,10,154,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,1,11,155,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,1,157,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,2,158,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,3,159,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,4,160,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,5,161,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,6,162,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,7,163,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,8,164,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,9,165,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,10,166,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,1,11,167,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,0,168,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,1,169,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,2,170,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,3,171,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,4,172,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,5,173,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,6,174,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,7,175,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,8,176,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,9,177,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,10,178,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,1,11,179,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,1,181,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,2,182,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,3,183,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,4,184,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,5,185,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,6,186,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,7,187,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,8,188,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,9,189,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,10,190,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,1,11,191,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,0,192,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,1,193,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,2,194,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,3,195,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,4,196,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,5,197,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,6,198,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,7,199,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,8,200,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,9,201,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,10,202,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,1,11,203,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,1,205,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,2,206,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,3,207,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,4,208,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,5,209,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,6,210,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,7,211,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,8,212,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,9,213,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,10,214,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,1,11,215,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,0,216,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,1,217,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,2,218,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,3,219,PASS
