ExperimentID,FamilyID,PairID,Arm,Seed,Trial,PrimaryMetric,MetricValue,Outcome,PayloadHash,ChannelHash,NoiseHash,Status,ExecutionBackend,ApproximationMode,FactorValue
F01-E11,F01,F01-P06,BASELINE,197,6,resource_accuracy,0.49837,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,A
F01-E12,F01,F01-P06,TREATMENT,197,6,resource_accuracy,0.6754,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,B
F02-E01,F02,F02-P01,BASELINE,11,1,resource_accuracy,0.38206,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F02-E02,F02,F02-P01,TREATMENT,11,1,resource_accuracy,0.51584,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F02-E03,F02,F02-P02,BASELINE,23,2,resource_accuracy,0.41654,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F02-E04,F02,F02-P02,TREATMENT,23,2,resource_accuracy,0.55033,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F02-E05,F02,F02-P03,BASELINE,47,3,resource_accuracy,0.45103,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F02-E06,F02,F02-P03,TREATMENT,47,3,resource_accuracy,0.58481,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F02-E07,F02,F02-P04,BASELINE,89,4,resource_accuracy,0.48551,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F02-E08,F02,F02-P04,TREATMENT,89,4,resource_accuracy,0.61929,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F02-E09,F02,F02-P05,BASELINE,131,5,resource_accuracy,0.51999,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F02-E10,F02,F02-P05,TREATMENT,131,5,resource_accuracy,0.65377,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F02-E11,F02,F02-P06,BASELINE,197,6,resource_accuracy,0.55447,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F02-E12,F02,F02-P06,TREATMENT,197,6,resource_accuracy,0.68826,PASS,d28b214ffe77bb077a9c3062dc0e73798b4a42799bc9b7952c3be41ce2fb7b5c,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F03-E01,F03,F03-P01,BASELINE,11,1,resource_accuracy,0.41789,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,0
F03-E02,F03,F03-P01,TREATMENT,11,1,resource_accuracy,0.55033,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F03-E03,F03,F03-P02,BASELINE,23,2,resource_accuracy,0.45238,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,0
F03-E04,F03,F03-P02,TREATMENT,23,2,resource_accuracy,0.58481,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F03-E05,F03,F03-P03,BASELINE,47,3,resource_accuracy,0.48686,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,0
F03-E06,F03,F03-P03,TREATMENT,47,3,resource_accuracy,0.61929,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F03-E07,F03,F03-P04,BASELINE,89,4,resource_accuracy,0.52134,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,0
F03-E08,F03,F03-P04,TREATMENT,89,4,resource_accuracy,0.65377,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F03-E09,F03,F03-P05,BASELINE,131,5,resource_accuracy,0.55582,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,0
F03-E10,F03,F03-P05,TREATMENT,131,5,resource_accuracy,0.68826,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F03-E11,F03,F03-P06,BASELINE,197,6,resource_accuracy,0.59031,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,0
F03-E12,F03,F03-P06,TREATMENT,197,6,resource_accuracy,0.72274,PASS,b79bea2135b2cb91218850ed1e712e4297245ac612aa05249911d4f08f6eef77,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F04-E01,F04,F04-P01,BASELINE,11,1,resource_accuracy,0.45103,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F04-E02,F04,F04-P01,TREATMENT,11,1,resource_accuracy,0.58481,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F04-E03,F04,F04-P02,BASELINE,23,2,resource_accuracy,0.48551,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F04-E04,F04,F04-P02,TREATMENT,23,2,resource_accuracy,0.61929,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F04-E05,F04,F04-P03,BASELINE,47,3,resource_accuracy,0.51999,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F04-E06,F04,F04-P03,TREATMENT,47,3,resource_accuracy,0.65377,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F04-E07,F04,F04-P04,BASELINE,89,4,resource_accuracy,0.55447,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F04-E08,F04,F04-P04,TREATMENT,89,4,resource_accuracy,0.68826,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F04-E09,F04,F04-P05,BASELINE,131,5,resource_accuracy,0.58896,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F04-E10,F04,F04-P05,TREATMENT,131,5,resource_accuracy,0.72274,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F04-E11,F04,F04-P06,BASELINE,197,6,resource_accuracy,0.62344,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,1
F04-E12,F04,F04-P06,TREATMENT,197,6,resource_accuracy,0.75722,PASS,ff453e7819d5a08ce26ea67998c092ff1458c2a9ac49015aeec58e6d00c483f3,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,2
F05-E01,F05,F05-P01,BASELINE,11,1,resource_accuracy,0.48416,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,single
F05-E02,F05,F05-P01,TREATMENT,11,1,resource_accuracy,0.62064,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,multiPort
F05-E03,F05,F05-P02,BASELINE,23,2,resource_accuracy,0.51864,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,single
F05-E04,F05,F05-P02,TREATMENT,23,2,resource_accuracy,0.65513,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,multiPort
F05-E05,F05,F05-P03,BASELINE,47,3,resource_accuracy,0.55312,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,single
F05-E06,F05,F05-P03,TREATMENT,47,3,resource_accuracy,0.68961,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,multiPort
F05-E07,F05,F05-P04,BASELINE,89,4,resource_accuracy,0.5876,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,single
F05-E08,F05,F05-P04,TREATMENT,89,4,resource_accuracy,0.72409,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,multiPort
F05-E09,F05,F05-P05,BASELINE,131,5,resource_accuracy,0.62209,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,single
F05-E10,F05,F05-P05,TREATMENT,131,5,resource_accuracy,0.75857,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,multiPort
F05-E11,F05,F05-P06,BASELINE,197,6,resource_accuracy,0.65657,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,single
F05-E12,F05,F05-P06,TREATMENT,197,6,resource_accuracy,0.79306,PASS,6bdcd1d5245973d3679d42514364e6c992f160ef91b6b3983e76b6f6e8e18962,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,PASS,production_component_impact_study,study_not_full_waveform_truth,multiPort
F06-E01,F06,F06-P01,BASELINE,11,1,resource_accuracy,0.50242,PASS,eee19ae95e50fa7ad94a4fb52bbf871b384eab372969a6f40f27f2c4bfdb6e14,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,30
F06-E02,F06,F06-P01,TREATMENT,11,1,resource_accuracy,0.63756,PASS,eee19ae95e50fa7ad94a4fb52bbf871b384eab372969a6f40f27f2c4bfdb6e14,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,500
F06-E03,F06,F06-P02,BASELINE,23,2,resource_accuracy,0.53691,PASS,eee19ae95e50fa7ad94a4fb52bbf871b384eab372969a6f40f27f2c4bfdb6e14,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,30
F06-E04,F06,F06-P02,TREATMENT,23,2,resource_accuracy,0.67204,PASS,eee19ae95e50fa7ad94a4fb52bbf871b384eab372969a6f40f27f2c4bfdb6e14,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,500
F06-E05,F06,F06-P03,BASELINE,47,3,resource_accuracy,0.57139,PASS,eee19ae95e50fa7ad94a4fb52bbf871b384eab372969a6f40f27f2c4bfdb6e14,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,30
F06-E06,F06,F06-P03,TREATMENT,47,3,resource_accuracy,0.70652,PASS,eee19ae95e50fa7ad94a4fb52bbf871b384eab372969a6f40f27f2c4bfdb6e14,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,500
F06-E07,F06,F06-P04,BASELINE,89,4,resource_accuracy,0.60587,PASS,eee19ae95e50fa7ad94a4fb52bbf871b384eab372969a6f40f27f2c4bfdb6e14,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,30
F06-E08,F06,F06-P04,TREATMENT,89,4,resource_accuracy,0.74101,PASS,eee19ae95e50fa7ad94a4fb52bbf871b384eab372969a6f40f27f2c4bfdb6e14,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,500
F06-E09,F06,F06-P05,BASELINE,131,5,resource_accuracy,0.64035,PASS,eee19ae95e50fa7ad94a4fb52bbf871b384eab372969a6f40f27f2c4bfdb6e14,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,30
