Entity,EntityType,EntityID,Domain,Direction,Frame,Slot,Symbol,TimestampSim_ms,UEID,CellID,BaseStationID,RNTI,TransportBlockId,HARQProcessId,NDI,RV,PRBCount,ActiveBWFraction,ActiveRank,ActiveTxRUCount,ControlMonitoringLoad,TxPower_dBm,RxPowerEst_dBm,State,Duration_s,Power_W,Energy_J,SuccessfulBits,RFChainCount,BBProcessingEnergy_J,SourceArtifact,Status
"UE","ue",2,"PDCCH_monitoring","DL",1,1,NaN,0,2,1,1,2,"dir=DL;frame=1;slot=1;ue=2;rnti=2;cell=1;harq=0",NaN,NaN,NaN,12,0.5,2,0,1,NaN,32.9476,"monitor_only",0.0005,1.5,0.00075,64,4,0,"air_interface/csv/pdcch_trials.csv","PASS"
"gNB","cell",1,"PDCCH_monitoring","DL",1,1,NaN,0,1,1,1,1,"dir=UL;frame=1;slot=5;ue=1;rnti=1;cell=1;harq=0",NaN,NaN,NaN,12,0.5,2,64,1,46,NaN,"active_tx",0.0005,505.744905872428,0.252872452936214,50,64,0.096,"air_interface/csv/pdcch_trials.csv","PASS"
"UE","ue",1,"PDCCH_monitoring","DL",1,1,NaN,0,1,1,1,1,"dir=UL;frame=1;slot=5;ue=1;rnti=1;cell=1;harq=0",NaN,NaN,NaN,12,0.5,2,0,1,NaN,33.1814,"monitor_only",0.0005,1.5,0.00075,50,4,0,"air_interface/csv/pdcch_trials.csv","PASS"
"gNB","cell",1,"PDCCH_monitoring","DL",1,1,NaN,0,2,1,1,2,"dir=UL;frame=1;slot=5;ue=2;rnti=2;cell=1;harq=0",NaN,NaN,NaN,12,0.5,2,64,1,46,NaN,"active_tx",0.0005,505.744905872428,0.252872452936214,50,64,0.096,"air_interface/csv/pdcch_trials.csv","PASS"
"UE","ue",2,"PDCCH_monitoring","DL",1,1,NaN,0,2,1,1,2,"dir=UL;frame=1;slot=5;ue=2;rnti=2;cell=1;harq=0",NaN,NaN,NaN,12,0.5,2,0,1,NaN,32.9476,"monitor_only",0.0005,1.5,0.00075,50,4,0,"air_interface/csv/pdcch_trials.csv","PASS"
"UE","ue",1,"PUCCH","UL",1,5,NaN,2,1,1,1,1,,0,NaN,NaN,NaN,1,NaN,4,1,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,0,4,0,"air_interface/csv/pucch_trials.csv","FAIL"
"gNB","cell",1,"PUCCH","UL",1,5,NaN,2,1,1,1,1,,0,NaN,NaN,NaN,1,NaN,0,0,NaN,NaN,"active_rx",0.0005,520,0.26,0,64,0.16,"air_interface/csv/pucch_trials.csv","FAIL"
"UE","ue",2,"PUCCH","UL",1,5,NaN,2,2,1,1,2,,0,NaN,NaN,NaN,1,NaN,4,1,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,0,4,0,"air_interface/csv/pucch_trials.csv","FAIL"
"gNB","cell",1,"PUCCH","UL",1,5,NaN,2,2,1,1,2,,0,NaN,NaN,NaN,1,NaN,0,0,NaN,NaN,"active_rx",0.0005,520,0.26,0,64,0.16,"air_interface/csv/pucch_trials.csv","FAIL"
"UE","ue",1,"SRS","UL",1,5,NaN,2,1,NaN,NaN,1,,NaN,NaN,NaN,NaN,1,2,4,0,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,0,4,0,"air_interface/csv/srs_trials.csv","PASS"
"gNB","cell",NaN,"SRS","UL",1,5,NaN,2,1,NaN,NaN,1,,NaN,NaN,NaN,NaN,1,2,0,0,NaN,NaN,"active_rx",0.0005,520,0.26,0,64,0.16,"air_interface/csv/srs_trials.csv","PASS"
"UE","ue",2,"SRS","UL",1,5,NaN,2,2,NaN,NaN,2,,NaN,NaN,NaN,NaN,1,2,4,0,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,0,4,0,"air_interface/csv/srs_trials.csv","PASS"
"gNB","cell",NaN,"SRS","UL",1,5,NaN,2,2,NaN,NaN,2,,NaN,NaN,NaN,NaN,1,2,0,0,NaN,NaN,"active_rx",0.0005,520,0.26,0,64,0.16,"air_interface/csv/srs_trials.csv","PASS"
"UE","ue",3,"SRS","UL",1,5,NaN,2,3,NaN,NaN,3,,NaN,NaN,NaN,NaN,1,2,4,0,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,0,4,0,"air_interface/csv/srs_trials.csv","PASS"
"gNB","cell",NaN,"SRS","UL",1,5,NaN,2,3,NaN,NaN,3,,NaN,NaN,NaN,NaN,1,2,0,0,NaN,NaN,"active_rx",0.0005,520,0.26,0,64,0.16,"air_interface/csv/srs_trials.csv","PASS"
"UE","ue",4,"SRS","UL",1,5,NaN,2,4,NaN,NaN,4,,NaN,NaN,NaN,NaN,1,2,4,0,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,0,4,0,"air_interface/csv/srs_trials.csv","PASS"
"gNB","cell",NaN,"SRS","UL",1,5,NaN,2,4,NaN,NaN,4,,NaN,NaN,NaN,NaN,1,2,0,0,NaN,NaN,"active_rx",0.0005,520,0.26,0,64,0.16,"air_interface/csv/srs_trials.csv","PASS"
