CaseID,ProfileID,AssignedPower_dBm,AdjacentLowerPower_dBm,AdjacentUpperPower_dBm,ACLRLower_dB,ACLRUpper_dB,FilterID,Status
WQ-0041-027,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-028,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-029,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-030,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-031,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-032,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-033,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-034,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-035,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-036,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-037,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-038,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-039,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-040,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-041,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-042,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-043,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-044,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-045,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-046,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-047,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-048,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-049,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-050,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-051,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-052,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-053,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-054,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-055,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-056,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-057,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-058,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-059,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-060,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-061,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-062,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-063,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-064,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-065,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-066,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-067,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-068,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-069,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-070,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-071,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-072,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-073,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-074,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-075,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-076,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-077,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-078,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-079,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-080,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-081,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-082,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-083,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-084,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-085,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-086,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-087,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-088,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-089,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-090,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-091,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-092,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-093,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-094,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-095,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-096,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-097,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-098,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-099,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-100,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
