CaseID,Channel,Mu,MRB,Pathloss_dB,P0_dBm,Alpha,DeltaTF_dB,TPC_dB,RequestedPower_dBm,AppliedPower_dBm,MeasuredPower_dBm,PCMAX_dBm,Status
PC-00092,PUCCH,3,50,90,-96,0.8,0,1,3.02059991327963,3.02059991327963,3.02059991327963,23,PASS
PC-00093,PUCCH,3,50,120,-96,0.8,0,1,27.0205999132796,23,23,23,PASS
PC-00094,PUCCH,3,100,60,-96,0.8,0,1,-17.9691001300806,-17.9691001300806,-17.9691001300806,23,PASS
PC-00095,PUCCH,3,100,90,-96,0.8,0,1,6.03089986991944,6.03089986991944,6.03089986991944,23,PASS
PC-00096,PUCCH,3,100,120,-96,0.8,0,1,30.0308998699194,23,23,23,PASS
PC-00097,SRS,0,1,60,-84,0.8,0,1,-35,-35,-35,23,PASS
PC-00098,SRS,0,1,90,-84,0.8,0,1,-11,-11,-11,23,PASS
PC-00099,SRS,0,1,120,-84,0.8,0,1,13,13,13,23,PASS
PC-00100,SRS,0,10,60,-84,0.8,0,1,-25,-25,-25,23,PASS
PC-00101,SRS,0,10,90,-84,0.8,0,1,-1,-1,-0.999999999999995,23,PASS
PC-00102,SRS,0,10,120,-84,0.8,0,1,23,23,23,23,PASS
PC-00103,SRS,0,50,60,-84,0.8,0,1,-18.0102999566398,-18.0102999566398,-18.0102999566398,23,PASS
PC-00104,SRS,0,50,90,-84,0.8,0,1,5.98970004336019,5.98970004336019,5.98970004336019,23,PASS
PC-00105,SRS,0,50,120,-84,0.8,0,1,29.9897000433602,23,23,23,PASS
PC-00106,SRS,0,100,60,-84,0.8,0,1,-15,-15,-15,23,PASS
PC-00107,SRS,0,100,90,-84,0.8,0,1,9,9,9,23,PASS
PC-00108,SRS,0,100,120,-84,0.8,0,1,33,23,23,23,PASS
PC-00109,SRS,1,1,60,-84,0.8,0,1,-31.9897000433602,-31.9897000433602,-31.9897000433602,23,PASS
PC-00110,SRS,1,1,90,-84,0.8,0,1,-7.98970004336019,-7.98970004336019,-7.98970004336019,23,PASS
PC-00111,SRS,1,1,120,-84,0.8,0,1,16.0102999566398,16.0102999566398,16.0102999566398,23,PASS
PC-00112,SRS,1,10,60,-84,0.8,0,1,-21.9897000433602,-21.9897000433602,-21.9897000433602,23,PASS
PC-00113,SRS,1,10,90,-84,0.8,0,1,2.01029995663981,2.01029995663981,2.01029995663982,23,PASS
PC-00114,SRS,1,10,120,-84,0.8,0,1,26.0102999566398,23,23,23,PASS
PC-00115,SRS,1,50,60,-84,0.8,0,1,-15,-15,-15,23,PASS
PC-00116,SRS,1,50,90,-84,0.8,0,1,9,9,9,23,PASS
PC-00117,SRS,1,50,120,-84,0.8,0,1,33,23,23,23,PASS
PC-00118,SRS,1,100,60,-84,0.8,0,1,-11.9897000433602,-11.9897000433602,-11.9897000433602,23,PASS
PC-00119,SRS,1,100,90,-84,0.8,0,1,12.0102999566398,12.0102999566398,12.0102999566398,23,PASS
PC-00120,SRS,1,100,120,-84,0.8,0,1,36.0102999566398,23,23,23,PASS
PC-00121,SRS,2,1,60,-84,0.8,0,1,-28.9794000867204,-28.9794000867204,-28.9794000867204,23,PASS
PC-00122,SRS,2,1,90,-84,0.8,0,1,-4.97940008672037,-4.97940008672037,-4.97940008672038,23,PASS
PC-00123,SRS,2,1,120,-84,0.8,0,1,19.0205999132796,19.0205999132796,19.0205999132796,23,PASS
PC-00124,SRS,2,10,60,-84,0.8,0,1,-18.9794000867204,-18.9794000867204,-18.9794000867204,23,PASS
PC-00125,SRS,2,10,90,-84,0.8,0,1,5.02059991327963,5.02059991327963,5.02059991327963,23,PASS
PC-00126,SRS,2,10,120,-84,0.8,0,1,29.0205999132796,23,23,23,PASS
