RunID,StageIndex,StageName,Direction,InputReferencePlane,OutputReferencePlane,InputPower_dBm,OutputPower_dBm,StateID,Status
RF-016,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-4.00000000000003,-4.49999999999999,RFSTATE-016,PASS
RF-016,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-4.49999999999999,-4.75000000000001,RFSTATE-016,PASS
RF-016,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-4.75000000000001,-5.75000000000004,RFSTATE-016,PASS
RF-017,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-3.00000000000003,-3.00000000000003,RFSTATE-017,PASS
RF-017,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-3.00000000000003,-3.49999999999995,RFSTATE-017,PASS
RF-017,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-3.49999999999995,-3.74999999999997,RFSTATE-017,PASS
RF-017,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-3.74999999999997,-4.75000000000001,RFSTATE-017,PASS
RF-018,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-2.00000000000005,-2.00000000000005,RFSTATE-018,PASS
RF-018,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-2.00000000000005,-2.50000000000002,RFSTATE-018,PASS
RF-018,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-2.50000000000002,-2.74999999999998,RFSTATE-018,PASS
RF-018,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-2.74999999999998,-3.74999999999997,RFSTATE-018,PASS
RF-019,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-1.00000000000003,-1.00000000000003,RFSTATE-019,PASS
RF-019,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-1.00000000000003,-1.49999999999995,RFSTATE-019,PASS
RF-019,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-1.49999999999995,-1.74999999999997,RFSTATE-019,PASS
