CaseID,PAProfile,DPDProfile,TrainingSamples,Order,MemoryDepth,TrainingWaveformSHA256,CoefficientSHA256,Converged,Status
DPD-0012,RAPP_BOUNDED_V1,DPD-DPD-0012,200000,5,5,75ab6ebdbce62bc03ccad89ab534b85c1a39f728be988b2aa773213fc7ecb9cb,ec58cbfd4aeed2f55cd7816df8f091e5fb628662e42f1d25944c1b48602982d7,1,PASS
DPD-0013,RAPP_BOUNDED_V1,DPD-DPD-0013,200000,7,1,1f49daebf8c7febca34491bfb4e958a7343cb686dd89388890b866c7d68a6609,0d84dd9222ab906a5ee1082592e6aed88a113c6a72a1450de408aa7217c7085c,1,PASS
DPD-0014,RAPP_BOUNDED_V1,DPD-DPD-0014,200000,7,1,a1c7d40c3538fda754bdcbb625c62df2a436fbeab6d8495d26a225ae51b50e00,6042ded2622c36c64773be9ed44e7edba6c67495780e5f33a89e66d555891482,1,PASS
DPD-0015,RAPP_BOUNDED_V1,DPD-DPD-0015,200000,7,3,9d15ddaa426259f9782ea0775e7dc944eaa59118de04b099a5be849d761f17d6,8e687b10db0964a3e7fcc27d9b8e274c2551e1f0fbda6b7b7d5074e55781975c,1,PASS
DPD-0016,RAPP_BOUNDED_V1,DPD-DPD-0016,200000,7,3,aab5a5a92a9a4645be9d159f3f7bac36e4f9f1f03b3e9d01c9e255b620557e53,4154dc08f2ae7653af878ee3b3075abd4390067e80dfc335f9c77b2f4ef28af0,1,PASS
DPD-0017,RAPP_BOUNDED_V1,DPD-DPD-0017,200000,7,5,cec01461043b8f96f40a4ab500b2f48a38bb732427737cbc6829f179b0466783,5c58254bcdf9dae565268e7cd4ccc1ebb24c8d4cd978753108e9a1abe70c1e51,1,PASS
DPD-0018,RAPP_BOUNDED_V1,DPD-DPD-0018,200000,7,5,14ad959545fad486c7afa87d43e4acf50d0807f810aa442525f57007998a974f,bfd3a036e8798de770f4db96e4d3470ff382e24719a145ce96d8f10b4628f31a,1,PASS
DPD-0019,RAPP_BOUNDED_V1,DPD-DPD-0019,200000,9,1,4a3c20371404dfe90f0842cb675f3b224c82a21d3d74ae58d0f9faf2d8159d98,46ae7ec26c56b6878337f0a4fa19bc793a936d3d9cfe55242aedfc70f934ba59,1,PASS
DPD-0020,RAPP_BOUNDED_V1,DPD-DPD-0020,200000,9,1,8ebeee41316c4e5c147b30dba33566a43eaad27607cb19b7501b78898ad66720,dc6bd66a57fdae8da512c32e59970ea5b4b68bf41d56460b93d6fa757e60951a,1,PASS
DPD-0021,RAPP_BOUNDED_V1,DPD-DPD-0021,200000,9,3,1882ab45c5ad0c6e08bfde46b1d163d2f3945f1fd8240dd75686dd8e9274a8cc,085faa030874f830b0e5ff8c0e27c1ba866a6a806bf599a75c3979f8aa6b5a62,1,PASS
DPD-0022,RAPP_BOUNDED_V1,DPD-DPD-0022,200000,9,3,1fe347dc32d23cdcba7dab05c47633dce6eef70e61cb79d3a17c3c62f8a14610,f844e5457f9cbd983b69d387138b9ac80ea2b668b31e9f91fee04f58562ee4ae,1,PASS
DPD-0023,RAPP_BOUNDED_V1,DPD-DPD-0023,200000,9,5,615e1fe19da25344d542bebee025ea01f78583f3bbb50afc8b1c19f004677037,239331e01fa7e84ea9cddb0738b10830504c6e5001afe817e5bd0fa2aebd6905,1,PASS
DPD-0024,RAPP_BOUNDED_V1,DPD-DPD-0024,200000,9,5,55e4953ce7619434a32a6e5b9f14ed8529e4320d4c50a5ec2232660463d53cc0,5d950e15bf361971bdc96bc780323e0736ceb8342f837a19382f017824ac3cd0,1,PASS
DPD-0025,SALEH_BOUNDED_V1,DPD-DPD-0025,200000,3,1,6c449aa468935e8d07125465b35f361fa286eb9f2bbc2605db174e81dea1ba98,414dca29b7ae41370ee327dd3b8bc13d14b6b1ccd8514b98543f1551a6e607bb,1,PASS
DPD-0026,SALEH_BOUNDED_V1,DPD-DPD-0026,200000,3,1,3be4592c736c172ec0bd03a27ecfb7bf38da4b3d77408a9dce4552bb3bb1ab19,f202600fa5718a5915dd6454433fbe6309c410166b97c3b9fc1b2356a8ecceff,1,PASS
DPD-0027,SALEH_BOUNDED_V1,DPD-DPD-0027,200000,3,3,48276c595684b0a31c2db326646625f4530cc854aecb8f5ff8ecb61e8b168140,eda4956be4a572d4510f00889857c8ce0f080c02e4a4af1cd5383163d01360fb,1,PASS
DPD-0028,SALEH_BOUNDED_V1,DPD-DPD-0028,200000,3,3,afba7c378850a094340945bf23c5caf4de777d4abb632c0c84de9cd399b41aa0,7a212a1452937394c0f3bc9d70c7503bb2196e468cdf957c2dc4eff7b7852e1e,1,PASS
DPD-0029,SALEH_BOUNDED_V1,DPD-DPD-0029,200000,3,5,c28acf1920cc3b428fdfe25b87c0f840c9669ba886603129b38daf7382eb3983,820a039c1fa87cc2b0da5849606c7e9f477accd13feb15b0d296cd1c1bc4cb13,1,PASS
DPD-0030,SALEH_BOUNDED_V1,DPD-DPD-0030,200000,3,5,5fba6250efa61bddac6e501d725c248dad0b050c5f813897dd91d954a0c88406,4c977d1726519155d368f4f6d78ed6df26004185f93d8328f1d477191b430d43,1,PASS
DPD-0031,SALEH_BOUNDED_V1,DPD-DPD-0031,200000,5,1,2f4f865f6866cf030de42f20a677f7bdfdf6d7357a60c784330aae54d0d31682,2e6ce1f310c15cabf20f83e380df258bc0cdd0ddd6fe817f9849d88fd889cef9,1,PASS
DPD-0032,SALEH_BOUNDED_V1,DPD-DPD-0032,200000,5,1,06d83f7538c4f7d5099c4e61de40d62ce381adff6ba60fd17421715a8b3b4749,a9503a4e6c25811315171eeb1997ebc8ad71236823a1560c03be22e99bc84790,1,PASS
DPD-0033,SALEH_BOUNDED_V1,DPD-DPD-0033,200000,5,3,66513aa8e0d8e6a01889cff35b1eccbd21575d9cda9fe9a5271644abc8c82991,e229a60162d8581bd6111d877819fa460a0d3b831d063e8092cb5c50f484403b,1,PASS
DPD-0034,SALEH_BOUNDED_V1,DPD-DPD-0034,200000,5,3,4148a9db28efcc94cd9435615c82fe8a5566fe9b6f0310ab3332756f086bac1c,15dde7fbf482cc8414c23f64275a9c2e5122a18f1e657607c4a61d7a106e539c,1,PASS
DPD-0035,SALEH_BOUNDED_V1,DPD-DPD-0035,200000,5,5,21a8f96ae25b203d6e6f7b01f2950c10ca0c492b344c83b88ff159d938921c21,b9bfff5284d060941f46395b4caa3d5ed18f9b8932b1886e3db728f69a2f7de9,1,PASS
DPD-0036,SALEH_BOUNDED_V1,DPD-DPD-0036,200000,5,5,573495cd2d40cded062cfa07f6dca32bcf510bbba8d1eedeebb69aa8a3063c21,4e2624576c6dbf7204e64614fe48e7733b868154b3b8df674bd8cd50d8e26967,1,PASS
DPD-0037,SALEH_BOUNDED_V1,DPD-DPD-0037,200000,7,1,2f2c22a336b0067f0b4761604fc6022a2ae767c5b1357dc6473afa22a9ba8c5f,0760054fd904e9d5cdb6c5a5ee72f5e4861197947978f8ff6dec37e4ff4f5f4b,1,PASS
DPD-0038,SALEH_BOUNDED_V1,DPD-DPD-0038,200000,7,1,6c3b02058de343f6526d13551521b3893e93873b5cc9ddb513b09b55a5cb13af,cd5a33b11be0d82f7b54801abece571039ac3a4c3caa7edc575e35decfdd9793,1,PASS
DPD-0039,SALEH_BOUNDED_V1,DPD-DPD-0039,200000,7,3,392fe4fef8314b97d7c5d17b7781a29f0a89f63e76c8b0c2f0d9c250feb2d9ec,6bc531b1b97e17ecca11e202c47d3f2f0df7517f5b6871f5af8c151880b5d906,1,PASS
DPD-0040,SALEH_BOUNDED_V1,DPD-DPD-0040,200000,7,3,b6d90627da68f0d4434490e71de049bd51b67802495cd07e59d4a3e8c9f3f003,e0f3e41f4137e8c07fa2d8772e7f4848bf49074efa7d9ec84aefe9e1ec7b1307,1,PASS
DPD-0041,SALEH_BOUNDED_V1,DPD-DPD-0041,200000,7,5,ee26218c229e723139707f39f72da49f35ccd140d43baadd9070161a5c48d7d1,0ad41f9a278c135a1627fb12afbd0f3e6987c68dcf610414ce617080a0b805c1,1,PASS
DPD-0042,SALEH_BOUNDED_V1,DPD-DPD-0042,200000,7,5,e1667a4cf9663ccdafc70a1e1cdcc69c1f96109594a557ed2797b111bc2a5a20,351bb28eb7681ab78e91c2cff46dd527b262a61720d6d3d8883db05594b6eed4,1,PASS
DPD-0043,SALEH_BOUNDED_V1,DPD-DPD-0043,200000,9,1,0fcf3c99d3d31692df41e319c92d3ed08547183e2a899263aa4a24646ede8118,5c1140545ab2db63698650f961dba983fa4760e121756092a9bcbd254e95e572,1,PASS
DPD-0044,SALEH_BOUNDED_V1,DPD-DPD-0044,200000,9,1,195c8f0aa7cd6834686d750a20050f644b6b046e0c0dce01f4a4fb7c92110aa1,002287ae0c43491403694276aa8c3008c4131292a1061590f74d03bfdc7c61a3,1,PASS
DPD-0045,SALEH_BOUNDED_V1,DPD-DPD-0045,200000,9,3,324ee3a4022ee00179cca0dc0a7056e57a677f279b43f0dc0c58ad949985d03a,6d8d42d70703870ad3fe22fcc9124b26b2377d4c0c8a607cd7a2a31f6cac1dbf,1,PASS
DPD-0046,SALEH_BOUNDED_V1,DPD-DPD-0046,200000,9,3,fc09ad056f7742a02feaadd80bc10e6cb962f7bdf49c48dfd416ff9033fc2251,2ca31d14aea084ebf3ad8360a827ab0b988b305f15f72a190355b3be8492f9f6,1,PASS
DPD-0047,SALEH_BOUNDED_V1,DPD-DPD-0047,200000,9,5,f6ea7d25e4c2073599986f39bc8b9f71cb7eebe3e2f356db8f4d1b2d712caadc,e4d213b15a8e33c14a97842a6a102cf85b873df27a4cb2c0509a2fea05562468,1,PASS
DPD-0048,SALEH_BOUNDED_V1,DPD-DPD-0048,200000,9,5,22662282345e9b4d32e9277218a708f029b7ea05ba27516d090bd03c89f44a8c,b152774c83c5706d4c8ac36843a543cd662e6ca478498db43222a8cf2e0c42fb,1,PASS
DPD-0049,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0049,200000,3,1,e258f71f93aea09b1b63ef6b01ace6f9253e6bfa134ee643987144d2069ff5f0,d53fb1bae83efb1c019ed747b08418e734206f879dd80013b7e1e19ffd371379,1,PASS
DPD-0050,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0050,200000,3,1,2037dc6f36ea84220edeccb02066ed83baa408c3eacd51b9088e97ea48ae5a12,9bb2e63ec125b909ecc83a2b66a913af95fb3e9391d1e73db4876a7fb00431fb,1,PASS
DPD-0051,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0051,200000,3,3,30e6abe07bf3256004a3e64b83d05fd61aefb76b79fcf0ad4f200a57172263d9,cfa48ce1e85d729a48735871063c7387c453f388ed6035005dcd991fa7fecb64,1,PASS
DPD-0052,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0052,200000,3,3,c80b682dcf0064182b56ca8edc5c35e16a9d650ff5eeb91d91a6e5653f19cad6,39eaadb997acf5362d6a53a068e42464b1e3869e3aa1d1a13a516e09e6cad7a6,1,PASS
DPD-0053,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0053,200000,3,5,c5a31c59d92535530f2ef846b8f51f659dc1fac94934a8840a545efdb8cf282e,201baa0de0963f2bb5ac3f9598c8e8545039f56b147ba43bd6cd77da9957ef62,1,PASS
DPD-0054,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0054,200000,3,5,69cbcd6ef5978f40e871e273b03867fd6df06c65cbfcb6ac8bf8283192cb5285,b86584be4b106aca08a7621a6bed439657ee72401a7365e655deb82de60d2bd8,1,PASS
DPD-0055,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0055,200000,5,1,ef6dfe7c9f30b0a1823cd53f3b89f969b0935b989b062e3aadf8eb48455bc29d,bbadc032c2ee6423e3d3b1be87546414a59d34d1872e52a92fd90e7d2c353d06,1,PASS
DPD-0056,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0056,200000,5,1,c6d5cd2337f5a77c6f3c27f45a84098671b560c8685f679b4a345e98694d8a21,07fc3603c3b57bf3831aae1781b63cb29984b3833404a1f83ea509a0315d5705,1,PASS
DPD-0057,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0057,200000,5,3,380eeca0141fec81b6bb3994b5ef2b23bb3f7d5b7d744c7698d764b00ff726ef,6ca584f7353849e4dd50759c95d5e00f7d332a44aef2776837246a9d0aa8239e,1,PASS
DPD-0058,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0058,200000,5,3,cefbeca4e9272736901098d849b2a7c76d59abb1abb41326a68a1e816f69b6af,9163fc02e7d362168d9f896882de04b6c8d7cca54f054cfa30c7eaea802a4a18,1,PASS
DPD-0059,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0059,200000,5,5,80244e89fa5abbffe6b1f362a29580c61a7701ac52a8dba571b1dc53088b1c1e,56a5e7089aacf1c6b8340bd38ee1fb53d29a6fe3a56d9b445d01d6f4935234e5,1,PASS
DPD-0060,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0060,200000,5,5,350dbd5e720df8d62f2cc95c1f889505a2f1647f0b7146eb29bc6ccb8657d556,eb810420073b113936ddf7ac6b5ff12ee25023b78d276d9f7d7a7004f0c1007c,1,PASS
DPD-0061,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0061,200000,7,1,2ea1ad2add94662570624c297411c3016f988332e9e6668c03b6b78bb35bde25,55bfb499541bc338ac965d5eb7605cf46679456a626a0d69077b2f6e89fc12ff,1,PASS
DPD-0062,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0062,200000,7,1,65a4c215d8175551ae5b567b00fa763e4b91dd2c8935d4f9b72e71c857713a8b,b522fa50a5dc879832831f18a296f587e88f75ee696fe7dc6c57fb746db7b9a9,1,PASS
DPD-0063,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0063,200000,7,3,c7828731a4ef09682a52995a7fd452335025cc07d40b5498138dec4aa513da67,f265b9b1a1870ec4bcf09f935e8dba6d0ad4f8ca8e929493b60f22b99920bbd9,1,PASS
DPD-0064,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0064,200000,7,3,b4e063ba02b93b7ca56c9ad9466367e7ed109b6d1b36301cfba7f5c54e4e3531,93c2699acb507a2bd7df7b537ad61de6a6154fccccdef6e32c47906e23c2e664,1,PASS
DPD-0065,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0065,200000,7,5,e847814a8db8a6db7c5b5d8cf3865f8ebcb62e865cd0d6fb1d69baf72eacbba5,0277d6e8448087b73bab03c7dd0c5eb265f257db2498e71a75be9fdba1678dd8,1,PASS
DPD-0066,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0066,200000,7,5,f8bb6efab1a27aa23621d6bc56b353cf801cb6a0d8b7f9fa7009e9c7bc28cdb4,d69d844d7e512ba7f401a8717613230dfb2e08f020cdfaad26c7f256af662c09,1,PASS
DPD-0067,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0067,200000,9,1,981729495cba493cf82ed6fe55d3cfbf26cc6018c1be5a2ced941eb87a232e5b,37b67bc1dc0938292aa7dfe4fb14b2b9b09d2f641fd2707427de4d29d985d56f,1,PASS
DPD-0068,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0068,200000,9,1,6ed56ed1a5f9a8d91295eeb31ac2bdbd81fa930ea31d434d7962795c61d0c3c9,b9ae1fa23ba15a0a38b6e2d55677d06f2be988c01dfa50e0c021b2254dba50cc,1,PASS
DPD-0069,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0069,200000,9,3,2b6bcec618d2dfdbdd0236f5f0d27a65028bab78788ea5ef2048e363a989d589,c75011e348fe8223f9d1355a516b81ef453436add580d0ec34bc343d584edb6a,1,PASS
DPD-0070,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0070,200000,9,3,a4e16e40889bd32d7285db41579ab3942f5b1c0902b11f3999f0b6672c915f0c,74f731fb1dae6f359648252862dcdc8ea3c314592063ab25fd6318b62c70a4e7,1,PASS
DPD-0071,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0071,200000,9,5,cbcb6bdc9af2cb161ce3e0d1d185509159e5337d62ed30954189ee5e48cd0daf,8a0ff77926bcaa4c9ec35c1061870ad4f930817a130df023ce5e2c77301e8f27,1,PASS
DPD-0072,MEMORY_POLYNOMIAL_BOUNDED_V1,DPD-DPD-0072,200000,9,5,8596940490ccf96ad04a785a655a990c219b501560b0f1e84ec9752a176760b1,ddfbf0746d7ebe0444de4986e0edd8b5d989dee600c0bfd1eb15e4f2361ea291,1,PASS
