CaseID,Tone1_Hz,Tone2_Hz,IIP2_dBm,IIP3_dBm,IM2Power_dBm,IM3Power_dBm,ExpectedFrequency_Hz,MeasuredFrequency_Hz,Status
BLK-00026,3500000000,3505000000,40,0,-60,-30,3495000000,3495000000,PASS
BLK-00027,3500000000,3505000000,40,10,-60,-50,3495000000,3495000000,PASS
BLK-00028,3500000000,3505000000,40,20,-60,-70,3495000000,3495000000,PASS
BLK-00029,3500000000,3520000000,40,-10,-60,-10,3480000000,3480000000,PASS
BLK-00030,3500000000,3520000000,40,0,-60,-30,3480000000,3480000000,PASS
BLK-00031,3500000000,3520000000,40,10,-60,-50,3480000000,3480000000,PASS
BLK-00032,3500000000,3520000000,40,20,-60,-70,3480000000,3480000000,PASS
BLK-00033,3500000000,3600000000,40,-10,-60,-10,3400000000,3400000000,PASS
BLK-00034,3500000000,3600000000,40,0,-60,-30,3400000000,3400000000,PASS
BLK-00035,3500000000,3600000000,40,10,-60,-50,3400000000,3400000000,PASS
BLK-00036,3500000000,3600000000,40,20,-60,-70,3400000000,3400000000,PASS
BLK-00037,3500000000,3505000000,40,-10,-40,20,3495000000,3495000000,PASS
BLK-00038,3500000000,3505000000,40,0,-40,0,3495000000,3495000000,PASS
BLK-00039,3500000000,3505000000,40,10,-40,-20,3495000000,3495000000,PASS
BLK-00040,3500000000,3505000000,40,20,-40,-40,3495000000,3495000000,PASS
BLK-00041,3500000000,3520000000,40,-10,-40,20,3480000000,3480000000,PASS
BLK-00042,3500000000,3520000000,40,0,-40,0,3480000000,3480000000,PASS
BLK-00043,3500000000,3520000000,40,10,-40,-20,3480000000,3480000000,PASS
BLK-00044,3500000000,3520000000,40,20,-40,-40,3480000000,3480000000,PASS
BLK-00045,3500000000,3600000000,40,-10,-40,20,3400000000,3400000000,PASS
BLK-00046,3500000000,3600000000,40,0,-40,0,3400000000,3400000000,PASS
BLK-00047,3500000000,3600000000,40,10,-40,-20,3400000000,3400000000,PASS
BLK-00048,3500000000,3600000000,40,20,-40,-40,3400000000,3400000000,PASS
BLK-00049,3500000000,3505000000,40,-10,-140,-130,3495000000,3495000000,PASS
BLK-00050,3500000000,3505000000,40,0,-140,-150,3495000000,3495000000,PASS
BLK-00051,3500000000,3505000000,40,10,-140,-170,3495000000,3495000000,PASS
BLK-00052,3500000000,3505000000,40,20,-140,-190,3495000000,3495000000,PASS
BLK-00053,3500000000,3520000000,40,-10,-140,-130,3480000000,3480000000,PASS
BLK-00054,3500000000,3520000000,40,0,-140,-150,3480000000,3480000000,PASS
BLK-00055,3500000000,3520000000,40,10,-140,-170,3480000000,3480000000,PASS
BLK-00056,3500000000,3520000000,40,20,-140,-190,3480000000,3480000000,PASS
BLK-00057,3500000000,3600000000,40,-10,-140,-130,3400000000,3400000000,PASS
BLK-00058,3500000000,3600000000,40,0,-140,-150,3400000000,3400000000,PASS
BLK-00059,3500000000,3600000000,40,10,-140,-170,3400000000,3400000000,PASS
BLK-00060,3500000000,3600000000,40,20,-140,-190,3400000000,3400000000,PASS
BLK-00061,3500000000,3505000000,40,-10,-100,-70,3495000000,3495000000,PASS
BLK-00062,3500000000,3505000000,40,0,-100,-90,3495000000,3495000000,PASS
BLK-00063,3500000000,3505000000,40,10,-100,-110,3495000000,3495000000,PASS
BLK-00064,3500000000,3505000000,40,20,-100,-130,3495000000,3495000000,PASS
BLK-00065,3500000000,3520000000,40,-10,-100,-70,3480000000,3480000000,PASS
BLK-00066,3500000000,3520000000,40,0,-100,-90,3480000000,3480000000,PASS
BLK-00067,3500000000,3520000000,40,10,-100,-110,3480000000,3480000000,PASS
BLK-00068,3500000000,3520000000,40,20,-100,-130,3480000000,3480000000,PASS
BLK-00069,3500000000,3600000000,40,-10,-100,-70,3400000000,3400000000,PASS
BLK-00070,3500000000,3600000000,40,0,-100,-90,3400000000,3400000000,PASS
BLK-00071,3500000000,3600000000,40,10,-100,-110,3400000000,3400000000,PASS
BLK-00072,3500000000,3600000000,40,20,-100,-130,3400000000,3400000000,PASS
BLK-00073,3500000000,3505000000,40,-10,-60,-10,3495000000,3495000000,PASS
BLK-00074,3500000000,3505000000,40,0,-60,-30,3495000000,3495000000,PASS
BLK-00075,3500000000,3505000000,40,10,-60,-50,3495000000,3495000000,PASS
BLK-00076,3500000000,3505000000,40,20,-60,-70,3495000000,3495000000,PASS
BLK-00077,3500000000,3520000000,40,-10,-60,-10,3480000000,3480000000,PASS
BLK-00078,3500000000,3520000000,40,0,-60,-30,3480000000,3480000000,PASS
BLK-00079,3500000000,3520000000,40,10,-60,-50,3480000000,3480000000,PASS
BLK-00080,3500000000,3520000000,40,20,-60,-70,3480000000,3480000000,PASS
BLK-00081,3500000000,3600000000,40,-10,-60,-10,3400000000,3400000000,PASS
BLK-00082,3500000000,3600000000,40,0,-60,-30,3400000000,3400000000,PASS
BLK-00083,3500000000,3600000000,40,10,-60,-50,3400000000,3400000000,PASS
BLK-00084,3500000000,3600000000,40,20,-60,-70,3400000000,3400000000,PASS
BLK-00085,3500000000,3505000000,40,-10,-40,20,3495000000,3495000000,PASS
BLK-00086,3500000000,3505000000,40,0,-40,0,3495000000,3495000000,PASS
BLK-00087,3500000000,3505000000,40,10,-40,-20,3495000000,3495000000,PASS
BLK-00088,3500000000,3505000000,40,20,-40,-40,3495000000,3495000000,PASS
BLK-00089,3500000000,3520000000,40,-10,-40,20,3480000000,3480000000,PASS
BLK-00090,3500000000,3520000000,40,0,-40,0,3480000000,3480000000,PASS
BLK-00091,3500000000,3520000000,40,10,-40,-20,3480000000,3480000000,PASS
BLK-00092,3500000000,3520000000,40,20,-40,-40,3480000000,3480000000,PASS
BLK-00093,3500000000,3600000000,40,-10,-40,20,3400000000,3400000000,PASS
BLK-00094,3500000000,3600000000,40,0,-40,0,3400000000,3400000000,PASS
BLK-00095,3500000000,3600000000,40,10,-40,-20,3400000000,3400000000,PASS
BLK-00096,3500000000,3600000000,40,20,-40,-40,3400000000,3400000000,PASS
BLK-00097,3500000000,3505000000,40,-10,-140,-130,3495000000,3495000000,PASS
BLK-00098,3500000000,3505000000,40,0,-140,-150,3495000000,3495000000,PASS
BLK-00099,3500000000,3505000000,40,10,-140,-170,3495000000,3495000000,PASS
BLK-00100,3500000000,3505000000,40,20,-140,-190,3495000000,3495000000,PASS
BLK-00101,3500000000,3520000000,40,-10,-140,-130,3480000000,3480000000,PASS
BLK-00102,3500000000,3520000000,40,0,-140,-150,3480000000,3480000000,PASS
BLK-00103,3500000000,3520000000,40,10,-140,-170,3480000000,3480000000,PASS
BLK-00104,3500000000,3520000000,40,20,-140,-190,3480000000,3480000000,PASS
BLK-00105,3500000000,3600000000,40,-10,-140,-130,3400000000,3400000000,PASS
BLK-00106,3500000000,3600000000,40,0,-140,-150,3400000000,3400000000,PASS
BLK-00107,3500000000,3600000000,40,10,-140,-170,3400000000,3400000000,PASS
BLK-00108,3500000000,3600000000,40,20,-140,-190,3400000000,3400000000,PASS
BLK-00109,3500000000,3505000000,40,-10,-100,-70,3495000000,3495000000,PASS
BLK-00110,3500000000,3505000000,40,0,-100,-90,3495000000,3495000000,PASS
BLK-00111,3500000000,3505000000,40,10,-100,-110,3495000000,3495000000,PASS
BLK-00112,3500000000,3505000000,40,20,-100,-130,3495000000,3495000000,PASS
BLK-00113,3500000000,3520000000,40,-10,-100,-70,3480000000,3480000000,PASS
BLK-00114,3500000000,3520000000,40,0,-100,-90,3480000000,3480000000,PASS
BLK-00115,3500000000,3520000000,40,10,-100,-110,3480000000,3480000000,PASS
BLK-00116,3500000000,3520000000,40,20,-100,-130,3480000000,3480000000,PASS
BLK-00117,3500000000,3600000000,40,-10,-100,-70,3400000000,3400000000,PASS
BLK-00118,3500000000,3600000000,40,0,-100,-90,3400000000,3400000000,PASS
BLK-00119,3500000000,3600000000,40,10,-100,-110,3400000000,3400000000,PASS
BLK-00120,3500000000,3600000000,40,20,-100,-130,3400000000,3400000000,PASS
BLK-00121,3500000000,3505000000,40,-10,-60,-10,3495000000,3495000000,PASS
BLK-00122,3500000000,3505000000,40,0,-60,-30,3495000000,3495000000,PASS
BLK-00123,3500000000,3505000000,40,10,-60,-50,3495000000,3495000000,PASS
BLK-00124,3500000000,3505000000,40,20,-60,-70,3495000000,3495000000,PASS
BLK-00125,3500000000,3520000000,40,-10,-60,-10,3480000000,3480000000,PASS
BLK-00126,3500000000,3520000000,40,0,-60,-30,3480000000,3480000000,PASS
BLK-00127,3500000000,3520000000,40,10,-60,-50,3480000000,3480000000,PASS
BLK-00128,3500000000,3520000000,40,20,-60,-70,3480000000,3480000000,PASS
BLK-00129,3500000000,3600000000,40,-10,-60,-10,3400000000,3400000000,PASS
BLK-00130,3500000000,3600000000,40,0,-60,-30,3400000000,3400000000,PASS
BLK-00131,3500000000,3600000000,40,10,-60,-50,3400000000,3400000000,PASS
BLK-00132,3500000000,3600000000,40,20,-60,-70,3400000000,3400000000,PASS
BLK-00133,3500000000,3505000000,40,-10,-40,20,3495000000,3495000000,PASS
BLK-00134,3500000000,3505000000,40,0,-40,0,3495000000,3495000000,PASS
BLK-00135,3500000000,3505000000,40,10,-40,-20,3495000000,3495000000,PASS
BLK-00136,3500000000,3505000000,40,20,-40,-40,3495000000,3495000000,PASS
BLK-00137,3500000000,3520000000,40,-10,-40,20,3480000000,3480000000,PASS
BLK-00138,3500000000,3520000000,40,0,-40,0,3480000000,3480000000,PASS
BLK-00139,3500000000,3520000000,40,10,-40,-20,3480000000,3480000000,PASS
BLK-00140,3500000000,3520000000,40,20,-40,-40,3480000000,3480000000,PASS
BLK-00141,3500000000,3600000000,40,-10,-40,20,3400000000,3400000000,PASS
BLK-00142,3500000000,3600000000,40,0,-40,0,3400000000,3400000000,PASS
BLK-00143,3500000000,3600000000,40,10,-40,-20,3400000000,3400000000,PASS
BLK-00144,3500000000,3600000000,40,20,-40,-40,3400000000,3400000000,PASS
