CaseID,Bits,FullScale,Input,Code,Output,Clipped,QuantizationError,Status
DAC-Q-00050,4,2,0,0,0,0,0,PASS
DAC-Q-00051,4,2,0.1,0,0,0,-0.1,PASS
DAC-Q-00052,4,2,0.75,3,0.857142857142857,0,0.107142857142857,PASS
DAC-Q-00053,4,2,1,4,1.14285714285714,0,0.142857142857143,PASS
DAC-Q-00054,4,2,1.2,4,1.14285714285714,0,-0.0571428571428572,PASS
DAC-Q-00055,6,0.5,-1.2,-31,-0.5,1,0.7,PASS
DAC-Q-00056,6,0.5,-1,-31,-0.5,1,0.5,PASS
DAC-Q-00057,6,0.5,-0.75,-31,-0.5,1,0.25,PASS
DAC-Q-00058,6,0.5,-0.1,-6,-0.0967741935483871,0,0.00322580645161291,PASS
DAC-Q-00059,6,0.5,0,0,0,0,0,PASS
DAC-Q-00060,6,0.5,0.1,6,0.0967741935483871,0,-0.00322580645161291,PASS
DAC-Q-00061,6,0.5,0.75,31,0.5,1,-0.25,PASS
DAC-Q-00062,6,0.5,1,31,0.5,1,-0.5,PASS
DAC-Q-00063,6,0.5,1.2,31,0.5,1,-0.7,PASS
DAC-Q-00064,6,1,-1.2,-31,-1,1,0.2,PASS
DAC-Q-00065,6,1,-1,-31,-1,1,0,PASS
DAC-Q-00066,6,1,-0.75,-23,-0.741935483870968,0,0.00806451612903225,PASS
DAC-Q-00067,6,1,-0.1,-3,-0.0967741935483871,0,0.00322580645161291,PASS
DAC-Q-00068,6,1,0,0,0,0,0,PASS
DAC-Q-00069,6,1,0.1,3,0.0967741935483871,0,-0.00322580645161291,PASS
DAC-Q-00070,6,1,0.75,23,0.741935483870968,0,-0.00806451612903225,PASS
DAC-Q-00071,6,1,1,31,1,1,0,PASS
DAC-Q-00072,6,1,1.2,31,1,1,-0.2,PASS
DAC-Q-00073,6,2,-1.2,-19,-1.2258064516129,0,-0.0258064516129033,PASS
DAC-Q-00074,6,2,-1,-16,-1.03225806451613,0,-0.032258064516129,PASS
DAC-Q-00075,6,2,-0.75,-12,-0.774193548387097,0,-0.0241935483870968,PASS
DAC-Q-00076,6,2,-0.1,-2,-0.129032258064516,0,-0.0290322580645161,PASS
DAC-Q-00077,6,2,0,0,0,0,0,PASS
DAC-Q-00078,6,2,0.1,2,0.129032258064516,0,0.0290322580645161,PASS
DAC-Q-00079,6,2,0.75,12,0.774193548387097,0,0.0241935483870968,PASS
DAC-Q-00080,6,2,1,16,1.03225806451613,0,0.032258064516129,PASS
DAC-Q-00081,6,2,1.2,19,1.2258064516129,0,0.0258064516129033,PASS
DAC-Q-00082,8,0.5,-1.2,-127,-0.5,1,0.7,PASS
DAC-Q-00083,8,0.5,-1,-127,-0.5,1,0.5,PASS
DAC-Q-00084,8,0.5,-0.75,-127,-0.5,1,0.25,PASS
DAC-Q-00085,8,0.5,-0.1,-25,-0.0984251968503937,0,0.00157480314960631,PASS
DAC-Q-00086,8,0.5,0,0,0,0,0,PASS
DAC-Q-00087,8,0.5,0.1,25,0.0984251968503937,0,-0.00157480314960631,PASS
DAC-Q-00088,8,0.5,0.75,127,0.5,1,-0.25,PASS
DAC-Q-00089,8,0.5,1,127,0.5,1,-0.5,PASS
DAC-Q-00090,8,0.5,1.2,127,0.5,1,-0.7,PASS
DAC-Q-00091,8,1,-1.2,-127,-1,1,0.2,PASS
DAC-Q-00092,8,1,-1,-127,-1,1,0,PASS
DAC-Q-00093,8,1,-0.75,-95,-0.748031496062992,0,0.00196850393700787,PASS
DAC-Q-00094,8,1,-0.1,-13,-0.102362204724409,0,-0.00236220472440944,PASS
DAC-Q-00095,8,1,0,0,0,0,0,PASS
DAC-Q-00096,8,1,0.1,13,0.102362204724409,0,0.00236220472440944,PASS
DAC-Q-00097,8,1,0.75,95,0.748031496062992,0,-0.00196850393700787,PASS
DAC-Q-00098,8,1,1,127,1,1,0,PASS
DAC-Q-00099,8,1,1.2,127,1,1,-0.2,PASS
DAC-Q-00100,8,2,-1.2,-76,-1.19685039370079,0,0.00314960629921246,PASS
DAC-Q-00101,8,2,-1,-64,-1.00787401574803,0,-0.00787401574803148,PASS
DAC-Q-00102,8,2,-0.75,-48,-0.755905511811024,0,-0.00590551181102361,PASS
DAC-Q-00103,8,2,-0.1,-6,-0.094488188976378,0,0.00551181102362205,PASS
DAC-Q-00104,8,2,0,0,0,0,0,PASS
DAC-Q-00105,8,2,0.1,6,0.094488188976378,0,-0.00551181102362205,PASS
DAC-Q-00106,8,2,0.75,48,0.755905511811024,0,0.00590551181102361,PASS
DAC-Q-00107,8,2,1,64,1.00787401574803,0,0.00787401574803148,PASS
DAC-Q-00108,8,2,1.2,76,1.19685039370079,0,-0.00314960629921246,PASS
DAC-Q-00109,10,0.5,-1.2,-511,-0.5,1,0.7,PASS
DAC-Q-00110,10,0.5,-1,-511,-0.5,1,0.5,PASS
DAC-Q-00111,10,0.5,-0.75,-511,-0.5,1,0.25,PASS
DAC-Q-00112,10,0.5,-0.1,-102,-0.0998043052837573,0,0.000195694716242673,PASS
DAC-Q-00113,10,0.5,0,0,0,0,0,PASS
DAC-Q-00114,10,0.5,0.1,102,0.0998043052837573,0,-0.000195694716242673,PASS
DAC-Q-00115,10,0.5,0.75,511,0.5,1,-0.25,PASS
DAC-Q-00116,10,0.5,1,511,0.5,1,-0.5,PASS
DAC-Q-00117,10,0.5,1.2,511,0.5,1,-0.7,PASS
DAC-Q-00118,10,1,-1.2,-511,-1,1,0.2,PASS
DAC-Q-00119,10,1,-1,-511,-1,1,0,PASS
DAC-Q-00120,10,1,-0.75,-383,-0.749510763209393,0,0.00048923679060664,PASS
DAC-Q-00121,10,1,-0.1,-51,-0.0998043052837573,0,0.000195694716242673,PASS
DAC-Q-00122,10,1,0,0,0,0,0,PASS
DAC-Q-00123,10,1,0.1,51,0.0998043052837573,0,-0.000195694716242673,PASS
DAC-Q-00124,10,1,0.75,383,0.749510763209393,0,-0.00048923679060664,PASS
DAC-Q-00125,10,1,1,511,1,1,0,PASS
DAC-Q-00126,10,1,1.2,511,1,1,-0.2,PASS
DAC-Q-00127,10,2,-1.2,-307,-1.20156555772994,0,-0.00156555772994138,PASS
DAC-Q-00128,10,2,-1,-256,-1.00195694716243,0,-0.00195694716242656,PASS
DAC-Q-00129,10,2,-0.75,-192,-0.75146771037182,0,-0.00146771037181992,PASS
DAC-Q-00130,10,2,-0.1,-26,-0.101761252446184,0,-0.00176125244618394,PASS
DAC-Q-00131,10,2,0,0,0,0,0,PASS
DAC-Q-00132,10,2,0.1,26,0.101761252446184,0,0.00176125244618394,PASS
DAC-Q-00133,10,2,0.75,192,0.75146771037182,0,0.00146771037181992,PASS
DAC-Q-00134,10,2,1,256,1.00195694716243,0,0.00195694716242656,PASS
DAC-Q-00135,10,2,1.2,307,1.20156555772994,0,0.00156555772994138,PASS
DAC-Q-00136,12,0.5,-1.2,-2047,-0.5,1,0.7,PASS
DAC-Q-00137,12,0.5,-1,-2047,-0.5,1,0.5,PASS
DAC-Q-00138,12,0.5,-0.75,-2047,-0.5,1,0.25,PASS
DAC-Q-00139,12,0.5,-0.1,-409,-0.0999022960429897,0,9.77039570102672e-05,PASS
DAC-Q-00140,12,0.5,0,0,0,0,0,PASS
DAC-Q-00141,12,0.5,0.1,409,0.0999022960429897,0,-9.77039570102672e-05,PASS
DAC-Q-00142,12,0.5,0.75,2047,0.5,1,-0.25,PASS
DAC-Q-00143,12,0.5,1,2047,0.5,1,-0.5,PASS
DAC-Q-00144,12,0.5,1.2,2047,0.5,1,-0.7,PASS
DAC-Q-00145,12,1,-1.2,-2047,-1,1,0.2,PASS
DAC-Q-00146,12,1,-1,-2047,-1,1,0,PASS
DAC-Q-00147,12,1,-0.75,-1535,-0.749877870053737,0,0.000122129946262817,PASS
DAC-Q-00148,12,1,-0.1,-205,-0.100146555935515,0,-0.00014655593551538,PASS
DAC-Q-00149,12,1,0,0,0,0,0,PASS
DAC-Q-00150,12,1,0.1,205,0.100146555935515,0,0.00014655593551538,PASS
DAC-Q-00151,12,1,0.75,1535,0.749877870053737,0,-0.000122129946262817,PASS
DAC-Q-00152,12,1,1,2047,1,1,0,PASS
DAC-Q-00153,12,1,1.2,2047,1,1,-0.2,PASS
DAC-Q-00154,12,2,-1.2,-1228,-1.19980459208598,0,0.000195407914020507,PASS
DAC-Q-00155,12,2,-1,-1024,-1.00048851978505,0,-0.000488519785051267,PASS
DAC-Q-00156,12,2,-0.75,-768,-0.750366389838788,0,-0.00036638983878845,PASS
DAC-Q-00157,12,2,-0.1,-102,-0.0996580361504641,0,0.000341963849535915,PASS
DAC-Q-00158,12,2,0,0,0,0,0,PASS
DAC-Q-00159,12,2,0.1,102,0.0996580361504641,0,-0.000341963849535915,PASS
DAC-Q-00160,12,2,0.75,768,0.750366389838788,0,0.00036638983878845,PASS
DAC-Q-00161,12,2,1,1024,1.00048851978505,0,0.000488519785051267,PASS
DAC-Q-00162,12,2,1.2,1228,1.19980459208598,0,-0.000195407914020507,PASS
DAC-Q-00163,14,0.5,-1.2,-8191,-0.5,1,0.7,PASS
DAC-Q-00164,14,0.5,-1,-8191,-0.5,1,0.5,PASS
DAC-Q-00165,14,0.5,-0.75,-8191,-0.5,1,0.25,PASS
DAC-Q-00166,14,0.5,-0.1,-1638,-0.099987791478452,0,1.22085215480405e-05,PASS
DAC-Q-00167,14,0.5,0,0,0,0,0,PASS
DAC-Q-00168,14,0.5,0.1,1638,0.099987791478452,0,-1.22085215480405e-05,PASS
DAC-Q-00169,14,0.5,0.75,8191,0.5,1,-0.25,PASS
DAC-Q-00170,14,0.5,1,8191,0.5,1,-0.5,PASS
DAC-Q-00171,14,0.5,1.2,8191,0.5,1,-0.7,PASS
DAC-Q-00172,14,1,-1.2,-8191,-1,1,0.2,PASS
DAC-Q-00173,14,1,-1,-8191,-1,1,0,PASS
DAC-Q-00174,14,1,-0.75,-6143,-0.74996947869613,0,3.05213038701568e-05,PASS
DAC-Q-00175,14,1,-0.1,-819,-0.099987791478452,0,1.22085215480405e-05,PASS
DAC-Q-00176,14,1,0,0,0,0,0,PASS
DAC-Q-00177,14,1,0.1,819,0.099987791478452,0,-1.22085215480405e-05,PASS
DAC-Q-00178,14,1,0.75,6143,0.74996947869613,0,-3.05213038701568e-05,PASS
DAC-Q-00179,14,1,1,8191,1,1,0,PASS
DAC-Q-00180,14,1,1.2,8191,1,1,-0.2,PASS
DAC-Q-00181,14,2,-1.2,-4915,-1.20009766817238,0,-9.76681723843242e-05,PASS
DAC-Q-00182,14,2,-1,-4096,-1.00012208521548,0,-0.000122085215480405,PASS
DAC-Q-00183,14,2,-0.75,-3072,-0.75009156391161,0,-9.15639116103595e-05,PASS
DAC-Q-00184,14,2,-0.1,-410,-0.100109876693932,0,-0.000109876693932365,PASS
DAC-Q-00185,14,2,0,0,0,0,0,PASS
DAC-Q-00186,14,2,0.1,410,0.100109876693932,0,0.000109876693932365,PASS
DAC-Q-00187,14,2,0.75,3072,0.75009156391161,0,9.15639116103595e-05,PASS
DAC-Q-00188,14,2,1,4096,1.00012208521548,0,0.000122085215480405,PASS
DAC-Q-00189,14,2,1.2,4915,1.20009766817238,0,9.76681723843242e-05,PASS
