CaseID,TrueTiming_samples,EstimatedTiming_samples,Error_samples,PeakMetric,FalseLock,Status
TSC-0025-TA,0,0,0,1,0,PASS
TSC-0026-TA,0,0,0,1,0,PASS
TSC-0027-TA,0,0,0,1,0,PASS
TSC-0028-TA,0,0,0,1,0,PASS
TSC-0029-TA,0,0,0,1,0,PASS
TSC-0030-TA,0,0,0,1,0,PASS
TSC-0031-TA,0.25,0.246256178877852,-0.00374382112214811,0.999980401828618,0,PASS
TSC-0032-TA,0.25,0.247526906110398,-0.00247309388960221,0.999990434021378,0,PASS
TSC-0033-TA,0.25,0.246703406003085,-0.00329659399691512,0.999984311696298,0,PASS
TSC-0034-TA,0.25,0.248020501890626,-0.00197949810937365,0.999992890970125,0,PASS
TSC-0035-TA,0.25,0.252773936421934,0.00277393642193396,0.999988607041895,0,PASS
TSC-0036-TA,0.25,0.253900542862193,0.00390054286219294,0.999975107925081,0,PASS
TSC-0037-TA,0.25,0.247395710952661,-0.00260428904733948,0.99998737207651,0,PASS
TSC-0038-TA,0.25,0.246085469696914,-0.00391453030308611,0.999974751647808,0,PASS
TSC-0039-TA,0.25,0.248851652706238,-0.00114834729376159,0.999998208677009,0,PASS
TSC-0040-TA,0.25,0.253977047597643,0.00397704759764345,0.999975405027996,0,PASS
TSC-0041-TA,2.5,2.50405009962542,0.00405009962542335,0.999976011794685,0,PASS
TSC-0042-TA,2.5,2.5004702073406,0.000470207340597106,0.99999963873873,0,PASS
TSC-0043-TA,2.5,2.49841915809672,-0.00158084190327701,0.999995598616972,0,PASS
TSC-0044-TA,2.5,2.50378050051628,0.00378050051627943,0.999974799100989,0,PASS
TSC-0045-TA,2.5,2.49952187508146,-0.000478124918541489,0.999999612319493,0,PASS
TSC-0046-TA,2.5,2.49505642273196,-0.00494357726803818,0.999951842301578,0,PASS
TSC-0047-TA,2.5,2.49936848493386,-0.000631515066138899,0.999999241712452,0,PASS
TSC-0048-TA,2.5,2.49969323950032,-0.000306760499680259,0.999999849349349,0,PASS
TSC-0049-TA,2.5,2.4950849943568,-0.00491500564319569,0.999958036828969,0,PASS
TSC-0050-TA,2.5,2.49683181572621,-0.00316818427378784,0.9999827618896,0,PASS
TSC-0051-TA,-3.75,-3.75061103346166,-0.000611033461656696,0.999999427838012,0,PASS
TSC-0052-TA,-3.75,-3.74988602849827,0.000113971501725985,0.99999998030005,0,PASS
TSC-0053-TA,-3.75,-3.752367681133,-0.00236768113299668,0.999990208291818,0,PASS
TSC-0054-TA,-3.75,-3.75272094811773,-0.00272094811772661,0.99998717749241,0,PASS
TSC-0055-TA,-3.75,-3.75488870809379,-0.00488870809378694,0.999966570954383,0,PASS
TSC-0056-TA,-3.75,-3.74522862407617,0.00477137592382526,0.999960710740385,0,PASS
TSC-0057-TA,-3.75,-3.7472982656414,0.00270173435860199,0.999989229870497,0,PASS
TSC-0058-TA,-3.75,-3.74589649220099,0.00410350779901236,0.999973373045471,0,PASS
TSC-0059-TA,-3.75,-3.75458069888137,-0.00458069888137214,0.999969827671909,0,PASS
TSC-0060-TA,-3.75,-3.75143285830036,-0.00143285830035866,0.999997185944542,0,PASS
TSC-0061-TA,-0.5,-0.496060948537489,0.00393905146251122,0.999974264638947,0,PASS
TSC-0062-TA,-0.5,-0.496810527967646,0.00318947203235365,0.999982347964179,0,PASS
TSC-0063-TA,-0.5,-0.496976993362248,0.00302300663775174,0.999982837931667,0,PASS
TSC-0064-TA,-0.5,-0.496529049941472,0.0034709500585276,0.999979691572707,0,PASS
TSC-0065-TA,-0.5,-0.504863945364989,-0.00486394536498924,0.999951710233446,0,PASS
TSC-0066-TA,-0.5,-0.502508226394581,-0.00250822639458081,0.999988884911959,0,PASS
TSC-0067-TA,-0.5,-0.496784301972053,0.00321569802794686,0.999982760995302,0,PASS
TSC-0068-TA,-0.5,-0.503346104791268,-0.0033461047912684,0.999979806602588,0,PASS
TSC-0069-TA,-0.5,-0.504612863951397,-0.00461286395139748,0.999962028200521,0,PASS
TSC-0070-TA,-0.5,-0.501111537174504,-0.00111153717450396,0.999997700525478,0,PASS
TSC-0071-TA,0,0,0,1,0,PASS
TSC-0072-TA,0,0,0,1,0,PASS
TSC-0073-TA,0,0,0,1,0,PASS
