CaseID,ProfileID,Offset_Hz,ExpectedPSD_dBcHz,MeasuredPSD_dBcHz,Error_dB,ChainID,MeasurementMethod,Status
PN-0005,OSC_FR1_A,10000,-95,-94.7174100315607,0.282589968439254,4,runtime_filter_transfer_psd,PASS
PN-0005,OSC_FR1_A,100000,-110,-110.704963136198,-0.704963136197875,4,runtime_filter_transfer_psd,PASS
PN-0005,OSC_FR1_A,1000000,-130,-129.539011264905,0.460988735094986,4,runtime_filter_transfer_psd,PASS
PN-0005,OSC_FR1_A,10000000,-145,-145.012812236804,-0.0128122368039669,4,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,1000,-85,-85.0258033041404,-0.0258033041404246,1,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,10000,-95,-94.7174100315607,0.282589968439254,1,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,100000,-110,-110.704963136198,-0.704963136197875,1,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,1000000,-130,-129.539011264905,0.460988735094986,1,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,10000000,-145,-145.012812236804,-0.0128122368039669,1,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,1000,-85,-85.0258033041404,-0.0258033041404246,2,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,10000,-95,-94.7174100315607,0.282589968439254,2,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,100000,-110,-110.704963136198,-0.704963136197875,2,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,1000000,-130,-129.539011264905,0.460988735094986,2,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,10000000,-145,-145.012812236804,-0.0128122368039669,2,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,1000,-85,-85.0258033041404,-0.0258033041404246,3,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,10000,-95,-94.7174100315607,0.282589968439254,3,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,100000,-110,-110.704963136198,-0.704963136197875,3,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,1000000,-130,-129.539011264905,0.460988735094986,3,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,10000000,-145,-145.012812236804,-0.0128122368039669,3,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,1000,-85,-85.0258033041404,-0.0258033041404246,4,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,10000,-95,-94.7174100315607,0.282589968439254,4,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,100000,-110,-110.704963136198,-0.704963136197875,4,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,1000000,-130,-129.539011264905,0.460988735094986,4,runtime_filter_transfer_psd,PASS
PN-0006,OSC_FR1_A,10000000,-145,-145.012812236804,-0.0128122368039669,4,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,1000,-85,-85.0258034648201,-0.0258034648201289,1,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,10000,-95,-94.7174074938355,0.282592506164463,1,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,100000,-110,-110.704968102426,-0.70496810242625,1,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,1000000,-130,-129.539008515262,0.460991484737548,1,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,10000000,-145,-145.012812288861,-0.0128122888613973,1,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,1000,-85,-85.0258034648201,-0.0258034648201289,2,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,10000,-95,-94.7174074938355,0.282592506164463,2,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,100000,-110,-110.704968102426,-0.70496810242625,2,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,1000000,-130,-129.539008515262,0.460991484737548,2,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,10000000,-145,-145.012812288861,-0.0128122888613973,2,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,1000,-85,-85.0258034648201,-0.0258034648201289,3,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,10000,-95,-94.7174074938355,0.282592506164463,3,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,100000,-110,-110.704968102426,-0.70496810242625,3,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,1000000,-130,-129.539008515262,0.460991484737548,3,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,10000000,-145,-145.012812288861,-0.0128122888613973,3,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,1000,-85,-85.0258034648201,-0.0258034648201289,4,runtime_filter_transfer_psd,PASS
