CaseID,SCO_ppm,InputSamples,OutputSamples,ExpectedDrift_samples,MeasuredDrift_samples,Error_samples,AliasPower_dBc,Status
TSC-0093,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0094,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0095,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0096,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0097,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0098,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0099,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0100,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0101,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0102,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0103,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0104,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0105,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0106,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0107,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0108,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0109,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0110,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0111,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0112,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0113,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0114,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0115,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0116,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0117,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0118,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0119,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0120,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0121,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0122,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0123,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0124,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0125,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0126,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0127,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0128,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0129,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0130,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0131,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0132,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0133,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0134,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0135,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0136,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0137,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0138,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0139,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0140,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0141,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0142,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0143,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0144,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0145,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0146,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0147,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0148,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0149,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0150,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
