CaseID,Direction,MappingType,ConfigurationType,Length,AdditionalPosition,LogicalPorts,REIndexSHA256,SequenceSHA256,MismatchCount,Status
DMRS-026,DL,A,2,1,0,0;1,46209b6150a0db58d0a8ab5101073037923bf222e3928cc3f5ae5b1698ba049c,86d7b2fc8b889befa51969bfe934bbb9863df4e1166c0a9727436d9caa31ef7a,0,PASS
DMRS-027,DL,A,2,1,0,0;2,8ff8f0fbde9149ae06ae089aca36346aab99aa9646ad7d7c0cf5172c877c5502,77a8dcd78403b272b2b65f2a010bac1ef1bfb7fe7578d5bd1bb5c107aceb2cde,0,PASS
DMRS-028,DL,A,2,1,1,0,332835f280ba3ba0624b13335941de370b6d9b185b81df5b136417d360b6d333,5fcb217b19c2e57a177e9704b9dbbfb9d69c4d5f08b0cfafca89bd82d82ac499,0,PASS
DMRS-029,DL,A,2,1,1,0;1,66ab6f9f9775b400f9eae84d5ae65138730606649011ac43d56a20e3d14a2581,2e80dbc48c480f6f5df01671702293a4ca9a13603b94a431a3f31ce353a2da6c,0,PASS
DMRS-030,DL,A,2,1,1,0;2,60c264ba74623eea906fead12b61005b03fce0bbd4763a43c1275a0a2a17daab,50d63086488567b7acd3cb27b0f0f76337c31175bc1009cae48c3f996efd622f,0,PASS
DMRS-031,DL,A,2,1,2,0,fe858c56a9ea1ee1cf640a65b5623b6da4024f9e8f6cbce241f667b9af2d3ffc,61896f6f7ab038e6378281b0c08716179ef1cd20a37400dfb850f37eb494b027,0,PASS
DMRS-032,DL,A,2,1,2,0;1,203ad2208dc1241d842a77ceb54ef6c40ad88432ad8bdce1e1d4f1dc23f25f8d,d8f50aeff19949967aab51eeddca715ae4ffdbc499decbe4a4b4ce05ba6b99bb,0,PASS
DMRS-033,DL,A,2,1,2,0;2,40b902455c5af1793df2149b7d5dc5c1aa26e4879c94263f59696913751aa61b,f19a1752c2ff337749bd62098531980124b4cc51f8251da1e7aa67fd2c8b009a,0,PASS
DMRS-034,DL,A,2,1,3,0,615642e64f2f4768fb5c05304e55327e1e877a20f663b79bc04b1c763510db98,9e048bdbe00eb4adee4fefdebab92f676caa23c307b999c562c657438faf76d8,0,PASS
DMRS-035,DL,A,2,1,3,0;1,bf303cc2ca540e5415f1bebd9d72a20a90ab8b4b23e4d98bc1d47a154cd28d2b,f5cf1036fedf239e4ee675ccad2dc53ff8c7a4b6e24ac22221c6eb9a8784bbf5,0,PASS
DMRS-036,DL,A,2,1,3,0;2,b961c1e5f2d2f30a7f5b4eb2b9ee1da17492b0edfa51dab79edf010669ad4e4c,06dbde44ebef31b7884bb5817a3c9f841d0ac6079f5e61e5f5be463c39ac571f,0,PASS
DMRS-037,DL,A,2,2,0,0,aaab9af53db8cbb1923815f96503831b78b5af77cf98dfba3a2c1701af30cf1c,fcde5b932fb5716c431510ad755cc2715e7b3b9e097cefe16150ce1711d74f1e,0,PASS
DMRS-038,DL,A,2,2,0,0;1,3ffcd4d8505f5c9d75ef9cb11ee111ab3a578a4dfc6509f50344469d9015c839,99a8b4f6c6c7afbe5a606abe749ab33341ac8741cb6a5bfd39b6b6bb71f151f2,0,PASS
DMRS-039,DL,A,2,2,0,0;2,7c5ca0045f1a3eb0e56b18bf7707c17790e1f5d3891488bf5fcadfc534016cc8,4f63aa5456f41b1895fd25c6404e7268bee3bbd7b65f1f395ee2069f5bf77ed3,0,PASS
DMRS-040,DL,A,2,2,1,0,cdd0ca2d890772460f44d5b8562e39d88ee7b5b47acfd4fdcf2bc2587ab96172,c630791477e27d288472636f6f4657a7c1fda77cdcb964027479722ed240702c,0,PASS
DMRS-041,DL,A,2,2,1,0;1,27b1bbc7bb1af099790a135742cdcf4cf2752c00ce53eb3da6385ca8e4fb4179,f985fd31994f1279dd9d834a9057e9c48beac6bcf9d2e431f7e74b7e70660a55,0,PASS
DMRS-042,DL,A,2,2,1,0;2,1279f10fe7389d106cb4c5563d9d916cbf94712128247d8b3ebad2e167484a16,d63e8583d9ae66d5f5e3e0ed96f93d6fe41a8160df52b918392ceeb0b9ed02c2,0,PASS
DMRS-043,DL,A,2,2,2,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-044,DL,A,2,2,2,0;1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-045,DL,A,2,2,2,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-046,DL,A,2,2,3,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-047,DL,A,2,2,3,0;1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-048,DL,A,2,2,3,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-049,DL,B,1,1,0,0,fe80b0a5e420d57e1efe38ff6da0f27d9720c1f63c3fde836f74b38625c4cd6a,b77e4f00170e1724bed285377d6629c4b7cffb811a0386c7301f1c00289546c2,0,PASS
DMRS-050,DL,B,1,1,0,0;1,c1b0d6663d4d10263b27601b34a6655eaa0468b11b42bfc332a9302e7d1ea8ac,96c3871aad23e2ad9b9c28b27b875140f4a22126e64697ea3cd842b324d15214,0,PASS
DMRS-051,DL,B,1,1,0,0;2,db2bdafd228a851a0c2b6f44270504d2df06d3a1fb9dca67c77c31e5b4821e4a,3881749daecafabcd0fbf207c1b8bfe727d5742a4baa1baf2d1528ce9849bcc3,0,PASS
DMRS-052,DL,B,1,1,1,0,569ece8db1f306acf5401750fde915a94349b9969447aa0aac12f324885fb66c,104cc68f1593f8b890009a263fe7e4a96494b523f70afd0a2a23f9ffe5199898,0,PASS
DMRS-053,DL,B,1,1,1,0;1,9141531924304ef4172c85c8861bb93f18ff4861e00ffa77613ee403a6faee3b,fd0f0e6b276579b4db00412b1aba47d819d219842c8b348e48b8886f51219035,0,PASS
DMRS-054,DL,B,1,1,1,0;2,6c241491d63817f93cb1f48faf70d674b13a91eddc0ddb82ea28806e4c5c1d06,ea0e7e9f2eede85c3456a6f37e579bac81d5b245e3d0b26e19eb24fc2b741cc0,0,PASS
DMRS-055,DL,B,1,1,2,0,78d04160e19db1d2c757fb52f7fe362b94c642840e6105bfd6be3406b6d5dce9,2b9dde5ede66508e005e808e9dde7b66b852d283f1b8b33c58bd654419cfec1b,0,PASS
DMRS-056,DL,B,1,1,2,0;1,dbfafd53428b43b461cbaa91405a9b56375de595e7333e0bfa5b5f6f3ce4f36c,6a5ee882e89525fff9d2cf6fc111b70e44fe20ef0d5e3b5459ea3df57cdd8b75,0,PASS
DMRS-057,DL,B,1,1,2,0;2,a5b2e33b22c0f3e7b249c83fb7e2c5804feaa9ac1f0658de107d3b2b8bc22f00,12953cc814e77b9675e66e21aef4f717ae8d1ad3c99ccf0277a3c63a993bc939,0,PASS
DMRS-058,DL,B,1,1,3,0,78d04160e19db1d2c757fb52f7fe362b94c642840e6105bfd6be3406b6d5dce9,8815cdef16de970f0d9d5a80170c836abea0a4df7787da2d7ccfa668aa8b4125,0,PASS
DMRS-059,DL,B,1,1,3,0;1,dbfafd53428b43b461cbaa91405a9b56375de595e7333e0bfa5b5f6f3ce4f36c,5482f48afb605f3b4ec737b7758a7d0c6bf61f91a7636cea15687f63de0148f6,0,PASS
DMRS-060,DL,B,1,1,3,0;2,a5b2e33b22c0f3e7b249c83fb7e2c5804feaa9ac1f0658de107d3b2b8bc22f00,b669bc46ec98ba7cccd4cbeb5a12fcd6e9f00afcf3bcb10ccd1afec031cbada3,0,PASS
DMRS-061,DL,B,1,2,0,0,c46278663155cfffb19c9622c931fee7dbc55be84aefed467ae7114ae9e3374d,eff2202ecb2fdad18132a008db82b19985bd8f3339bfef04d602493853cd78eb,0,PASS
DMRS-062,DL,B,1,2,0,0;1,599fbd81f25d0111ba5187c8f4b8e7ca4ea9cff5e43c512090a20d93d7711e8c,62eed00f4140cdcd956f2ddb8799b5cf56b75284325a29458832c80335b2dc56,0,PASS
DMRS-063,DL,B,1,2,0,0;2,762e963c8a26756e4948b0567a8b4adc636dfd6d96d1adea8b0a185a246a697d,f12c6f396400fd0b029523f46b12879b87a21829e5298deb8ecc3db2e3fa9302,0,PASS
DMRS-064,DL,B,1,2,1,0,64a929c958512a465b193c5bc227307d02402df76468b519d5b655ca75969ee6,0569bc2c2d6fe33b11da2785f5769f08cc4448f755c153de3cdb2b785c9369bf,0,PASS
DMRS-065,DL,B,1,2,1,0;1,d08e1ac0a531e4e4b634c523b739d7bad88a16ee5b314153ad0a671376b69d10,ec4faa025797d4ecd5e420861b643ec6e5be7a08401765931407951306ee5019,0,PASS
DMRS-066,DL,B,1,2,1,0;2,c26f9ceed523b9441cb0f24f1dd5bd68e4bf7da76509bf1fad983959662f056d,ba949a4410aa36cee8f39d3b4f37bfd6e1aefa743850875a8985744c6e7f62d6,0,PASS
DMRS-067,DL,B,1,2,2,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-068,DL,B,1,2,2,0;1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-069,DL,B,1,2,2,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-070,DL,B,1,2,3,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-071,DL,B,1,2,3,0;1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-072,DL,B,1,2,3,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-073,DL,B,2,1,0,0,8a95239c61f54790820e7e6795792ed2bfa857bf8d9bafec4b3eeb14691cfede,6f4efa5a9e5477b66f5af9627034787ca456704c45b3ba007cbaa776fbac8bee,0,PASS
DMRS-074,DL,B,2,1,0,0;1,d4efc210e38bcb01b75939306392cf289ee731cf9f02381af697bcaa014e7d8b,548f1341b0975e0c2c980879f15f71f58134672d4323e5568f7e4c443a86af73,0,PASS
DMRS-075,DL,B,2,1,0,0;2,308de2bcf5e9bc654447fab02a67e998ff8da17f51fca3bb91c1b5a26978153d,3681466d73679b4a181e62a480363314d29f9ac76f499433980d18768f72ce45,0,PASS
DMRS-076,DL,B,2,1,1,0,366ea75b8981e41c2697f03efe5add242d1f947cbb337ff804618b6fd753f925,d73d098c2c51cf55ece2affb554f589870157db5687cc60a9982cd0b57396865,0,PASS
DMRS-077,DL,B,2,1,1,0;1,6937d0fb191707c561fe472b5044d1a49bf1fbcc92adad7fbbe59eef964a1f98,cfcf98d06f45ca25da6572f55a5c84b180f7b5a18fefab814214ec758e3c76dc,0,PASS
DMRS-078,DL,B,2,1,1,0;2,bdc3cf6b7ab45253d42d8b7d76b5ca6d0ccf8009eb42396a69bc5586e9b454fa,a4a80e42a3d984b0338b70a350caa616e776fa0cdefa6b5785abf1446289ffd6,0,PASS
DMRS-079,DL,B,2,1,2,0,8b6889a5e7a9f911cf11730283aee532d2e95253378dbe8cbb0fc8d1a4afc433,745f5e82ead9ac0337fc1c4dbd9adf05803d760690f4d750c963d7c3fef33924,0,PASS
DMRS-080,DL,B,2,1,2,0;1,aaab24e0dc6ab78a24db81d96751180acf9cffa255d024728e1e7699aec666ef,3042ab45c8b424cccfb98d07e7b906eae1051a5164486573dfe612760cf11ae0,0,PASS
DMRS-081,DL,B,2,1,2,0;2,5f6c0f0b3bfd289461c2ae7ad4e759d2a88ad1ba2fb4e293572ca8dd4ed23f47,fcf4f8550489deb6d98676ba376bbbaa08ab3837ece61facccb2af6677d7728e,0,PASS
DMRS-082,DL,B,2,1,3,0,8b6889a5e7a9f911cf11730283aee532d2e95253378dbe8cbb0fc8d1a4afc433,a2908a96397d7175f43d3e72a65528c7c58e7eceb41c5bfc07c091f689d28f2d,0,PASS
DMRS-083,DL,B,2,1,3,0;1,aaab24e0dc6ab78a24db81d96751180acf9cffa255d024728e1e7699aec666ef,39dd18e53016559eb3614bbf4e44c856af9231fa7b3688d48bd8c0dc5a18ff22,0,PASS
DMRS-084,DL,B,2,1,3,0;2,5f6c0f0b3bfd289461c2ae7ad4e759d2a88ad1ba2fb4e293572ca8dd4ed23f47,43a0b50f187dd5659715017ae339f2ed0573c375a96bb479024b20c0eea0fc4e,0,PASS
DMRS-085,DL,B,2,2,0,0,59d01ffba605d8bfb2e87b06c16c8ee48cac137a1b84e2af8a46e5463b558c3f,1e00d1506dd50dcdfb3dfba9cf9a4c4702e60ccaca3a7ff20f9c1799b179d17d,0,PASS
DMRS-086,DL,B,2,2,0,0;1,5f7d1a320f205c71ba1d0c352d444cfdcc82b39fabafa6f4b1fb543c4a31e6e9,04888113d40f857adfa36defe5e6847129e867110fcc5b54df170fbf9aaec91e,0,PASS
DMRS-087,DL,B,2,2,0,0;2,e362d026a890967965dfcd3b1bfaa3d4b4ea065b0ba90e2c9f612672d345a14e,3184ad98ba82e062efbddb4aef69b81a7b386446ee3f47a70bcdc900b3a0fb32,0,PASS
DMRS-088,DL,B,2,2,1,0,144b2519e05a1271d749ff92af1b07eb7d105511b0c5568bd102f114e3140f1d,a02d3829fc8ba6f9848652d569a82ae67759747e22a22ea6d9a5e91319b3bfac,0,PASS
DMRS-089,DL,B,2,2,1,0;1,1d49f65ef99ac9bca8d0852b500a1c7bc0cd5f15349abc48a730752cc40e0e65,23b3e25bf2e0537cd1b6016592deaf0e077f8f7d3c42fe7c13d32bdc9d64dbf8,0,PASS
DMRS-090,DL,B,2,2,1,0;2,ae4f62bbc79a0e3c24b39f2e1a66a1ef3ddf9baf3f4400b95cdcb079ff7583dd,88495418e0dac62451385af4ff15498a272c489cd1c0193f07a50d5a7220c85a,0,PASS
DMRS-091,DL,B,2,2,2,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-092,DL,B,2,2,2,0;1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-093,DL,B,2,2,2,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-094,DL,B,2,2,3,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-095,DL,B,2,2,3,0;1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-096,DL,B,2,2,3,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-097,UL,A,1,1,0,0,0e84fcfae73b8b83a21721c291820cac4c392b305876a9a8e21e95feb56a98e4,18bd54790e424f61e6de1b1ef4031bdc937054df45a660fd6842c76bad93fafd,0,PASS
DMRS-098,UL,A,1,1,0,0;1,8af61d8c711d287ad14655242eeb7439a54b89b9efd51fe1569a07685eb2deb4,f2dea62788cbe87d6a3aa094489a4f21ccb56dc4424f8e03d0267b8c7089d953,0,PASS
DMRS-099,UL,A,1,1,0,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-100,UL,A,1,1,1,0,0507854e3a75fcefc4de969a845c480a32ec7282f86d67f5fcaca3e3ef1f3af4,69d1b29025b5667100c70b3ba9d61437204cb8767063d2b206ad3103b7918b02,0,PASS
DMRS-101,UL,A,1,1,1,0;1,c7d77553c0a983d3875a254ad55731b3867d86454036f1923f86bdceac309aed,8901ce87804e9539192f936ec47f34bbf695c5398e5644b45966a46aff0b267f,0,PASS
DMRS-102,UL,A,1,1,1,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-103,UL,A,1,1,2,0,0c6cd49ce858ed729b92a883d13826a3843ee6ba3a82d8db9f7c735195998fd7,4a6430e1ee7960e041bf21271b598bfb02bae1b5bc8f07dacbb4a5c2d0ddefc6,0,PASS
DMRS-104,UL,A,1,1,2,0;1,d0b130d7b29d92cbd70f5bf4c17c8ef2d706952dca34179143341b4a0e9ccefa,a96d8ddff88af76b811ea9a4253cb115b3a0791d1a3ecf47785f8f7a3db023fb,0,PASS
DMRS-105,UL,A,1,1,2,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-106,UL,A,1,1,3,0,ebeb1e49a86db92e9e22e928f8f316bd7e2fc5ea34986ba6a9e4872fe9c4821d,39eb39048fccbef6a6e576b1c4c6f751dfb8e5ddd1ee50e2b78bbf4541ba6fff,0,PASS
DMRS-107,UL,A,1,1,3,0;1,e647e9fc9f7d88f80a802dc160c31f4cf68f2242054e59218f129795d6c99df4,2087ffbd8223eb596bd7a6f1e62ff34a3b0c75af5492c415e2ad7b52c575f7a2,0,PASS
DMRS-108,UL,A,1,1,3,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-109,UL,A,1,2,0,0,263164256d69f9efdb3a04f918fdd9ea9ebf99f00d9994ca74810c246d370c44,b650df7bd3c71773bd0ea089aead130b19e41318ad244a98a4a4cd71e9d5acca,0,PASS
DMRS-110,UL,A,1,2,0,0;1,cf9be1536356e3d04fbe096cc40454ea7983bcc61778d39add6ccee4adcbd5c0,0a97072350544d9d1ac526583f532e0a08b99f67a4145aa7aec37d638d9cfa4c,0,PASS
DMRS-111,UL,A,1,2,0,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-112,UL,A,1,2,1,0,b38308ab283aa7c257c37128cc59921ddcc9a6f5931c4f487dd5c11a79266af1,a3066ba6f7c09994e2b7d155440ba7a5147c5eff0d4829aa15b2b0ca2d3c44e4,0,PASS
DMRS-113,UL,A,1,2,1,0;1,7402b670347c7f9b88077e8d42ec72d9663ccd950bac679d6048cec23eda09c1,91134a23ec3bbee3889458ded0d24d0ce294d320e8d0bbb6cba737745a88e8d4,0,PASS
DMRS-114,UL,A,1,2,1,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-115,UL,A,1,2,2,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-116,UL,A,1,2,2,0;1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-117,UL,A,1,2,2,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-118,UL,A,1,2,3,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
