CaseID,Quantity,MeasuredValue,ExpectedValue,AbsoluteError,Tolerance,ResourceID,BeamID,AgeSlots,Provenance,Status
MEAS-0045,SS-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0046,CSI-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0047,CSI-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0048,CSI-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0049,CSI-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0050,CSI-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0051,CSI-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0052,CSI-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0053,CSI-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0054,CSI-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0055,CSI-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0056,CSI-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0057,CSI-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0058,CSI-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0059,CSI-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0060,CSI-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0061,SS-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0062,SS-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0063,SS-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0064,SS-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0065,SS-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0066,SS-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0067,SS-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0068,SS-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0069,SS-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0070,SS-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0071,SS-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0072,SS-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0073,SS-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0074,SS-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0075,SS-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0076,CSI-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0077,CSI-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0078,CSI-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0079,CSI-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0080,CSI-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0081,CSI-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0082,CSI-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0083,CSI-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0084,CSI-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0085,CSI-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0086,CSI-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0087,CSI-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0088,CSI-SINR,4.437,4.437,3.2713e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0089,CSI-SINR,2.2185,2.2185,1.6356e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0090,CSI-SINR,1.549,1.549,1.4257e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0091,RSSI,-14.8625,-14.8625,1.8177e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0092,RSSI,-20.1773,-20.1773,3.9569e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0093,RSSI,-16.9037,-16.9037,2.59e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0094,RSSI,-13.1016,-13.1016,3.7505e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0095,RSSI,-11.1464,-11.1464,3.1512e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0096,RSSI,-16.9037,-16.9037,2.59e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0097,RSSI,-11.8522,-11.8522,4.5804e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0098,RSSI,-9.3855,-9.3855,1.2807e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0099,RSSI,-7.8728,-7.8728,1.7843e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0100,RSSI,-11.8522,-11.8522,4.5804e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0101,RSSI,-8.1361,-8.1361,4.5068e-11,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0102,RSSI,-6.1119,-6.1119,2.6477e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0103,RSSI,-2.8213,-2.8213,3.7748e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0104,RSSI,-8.1361,-8.1361,4.5068e-11,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0105,RSSI,-4.8625,-4.8625,1.8177e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0106,SRS-RSRP,-36.0206,-36.0206,2.7963e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0107,SRS-RSRP,-36.0206,-36.0206,2.7963e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0108,SRS-RSRP,-36.0206,-36.0206,2.7963e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0109,SRS-RSRP,-33.0103,-33.0103,3.6019e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0110,SRS-RSRP,-33.0103,-33.0103,3.6019e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0111,SRS-RSRP,-33.0103,-33.0103,3.6019e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0112,SRS-RSRP,-30,-30,0,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0113,SRS-RSRP,-30,-30,0,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0114,SRS-RSRP,-30,-30,0,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0115,SRS-RSRP,-26.9897,-26.9897,3.6019e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0116,SRS-RSRP,-26.9897,-26.9897,3.6019e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0117,SRS-RSRP,-26.9897,-26.9897,3.6019e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0118,SRS-RSRP,-23.9794,-23.9794,2.7962e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0119,SRS-RSRP,-23.9794,-23.9794,2.7962e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0120,SRS-RSRP,-23.9794,-23.9794,2.7962e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
