RunID,UEID,Direction,SNRDb,MeasuredSINRDb,EVMPercent,BLER,ThroughputMbps,MeasurementAgeSlots,Status
RSLA-RX-51,3,DL,5.101,5.0503,55.9094,1,58.68,1,PASS
RSLA-RX-52,4,UL,5.303,5.181,55.0743,1,59.07,1,PASS
RSLA-RX-53,5,DL,5.5051,5.4982,53.0994,1,59.46,1,PASS
RSLA-RX-54,6,UL,5.7071,6.0178,50.0163,1,60.21,1,PASS
RSLA-RX-55,7,DL,5.9091,5.7704,51.4611,1,59.73,1,PASS
RSLA-RX-56,8,UL,6.1111,6.1769,49.1084,1,60.09,1,PASS
RSLA-RX-57,1,DL,6.3131,6.3112,48.3549,1,60.15,1,PASS
RSLA-RX-58,2,UL,6.5152,6.5561,47.0105,1,60.51,1,PASS
RSLA-RX-59,3,DL,6.7172,6.773,45.8513,1,60.36,1,PASS
RSLA-RX-60,4,UL,6.9192,6.8776,45.3025,1,60.63,1,PASS
RSLA-RX-61,5,DL,7.1212,7.2312,43.495,1,60.96,1,PASS
RSLA-RX-62,6,UL,7.3232,7.406,42.6285,1,60.81,1,PASS
RSLA-RX-63,7,DL,7.5253,7.5236,42.0551,1,60.93,1,PASS
RSLA-RX-64,8,UL,7.7273,7.8219,40.6356,1,61.02,1,PASS
RSLA-RX-65,1,DL,7.9293,8.0481,39.5909,1,61.05,1,PASS
RSLA-RX-66,2,UL,8.1313,7.8855,40.3389,1,60.99,1,PASS
RSLA-RX-67,3,DL,8.3333,8.3753,38.1271,1,61.17,1,PASS
RSLA-RX-68,4,UL,8.5354,8.3374,38.294,1,61.02,1,PASS
RSLA-RX-69,5,DL,8.7374,8.78,36.3914,1,61.17,1,PASS
RSLA-RX-70,6,UL,8.9394,8.8995,35.8941,1,61.35,1,PASS
RSLA-RX-71,7,DL,9.1414,9.2167,34.6069,1,61.38,1,PASS
RSLA-RX-72,8,UL,9.3434,9.2146,34.6155,1,61.26,1,PASS
RSLA-RX-73,1,DL,9.5455,9.3788,33.9674,1,61.17,1,PASS
RSLA-RX-74,2,UL,9.7475,9.5941,33.1355,0,61.44,1,PASS
RSLA-RX-75,3,DL,9.9495,9.7817,32.4275,1,61.35,1,PASS
RSLA-RX-76,4,UL,10.1515,10.2774,30.6288,1,61.41,1,PASS
RSLA-RX-77,5,DL,10.3535,10.2299,30.7966,0,61.44,1,PASS
RSLA-RX-78,6,UL,10.5556,10.4158,30.1446,1,61.38,1,PASS
RSLA-RX-79,7,DL,10.7576,10.3367,30.4204,1,61.41,1,PASS
RSLA-RX-80,8,UL,10.9596,11.1531,27.6914,0,61.44,1,PASS
RSLA-RX-81,1,DL,11.1616,10.9441,28.3659,0,61.44,1,PASS
RSLA-RX-82,2,UL,11.3636,11.1983,27.5477,0,61.44,1,PASS
RSLA-RX-83,3,DL,11.5657,11.7912,25.7301,0,61.44,1,PASS
RSLA-RX-84,4,UL,11.7677,11.6946,26.0179,0,61.44,1,PASS
RSLA-RX-85,5,DL,11.9697,11.9607,25.2327,0,61.44,1,PASS
RSLA-RX-86,6,UL,12.1717,12.125,24.76,0,61.44,1,PASS
RSLA-RX-87,7,DL,12.3737,12.643,23.3266,0,61.44,1,PASS
RSLA-RX-88,8,UL,12.5758,12.6389,23.3376,0,61.44,1,PASS
RSLA-RX-89,1,DL,12.7778,12.8198,22.8565,0,61.44,1,PASS
RSLA-RX-90,2,UL,12.9798,12.9774,22.4456,0,61.44,1,PASS
RSLA-RX-91,3,DL,13.1818,13.3113,21.599,0,61.44,1,PASS
RSLA-RX-92,4,UL,13.3838,13.3206,21.5759,0,61.44,1,PASS
RSLA-RX-93,5,DL,13.5859,13.5884,20.9208,0,61.44,1,PASS
RSLA-RX-94,6,UL,13.7879,13.6041,20.8831,0,61.44,1,PASS
RSLA-RX-95,7,DL,13.9899,13.9199,20.1375,0,61.44,1,PASS
RSLA-RX-96,8,UL,14.1919,14.0649,19.8041,0,61.44,1,PASS
RSLA-RX-97,1,DL,14.3939,14.2881,19.3016,0,61.44,1,PASS
RSLA-RX-98,2,UL,14.596,14.5569,18.7135,0,61.44,1,PASS
RSLA-RX-99,3,DL,14.798,14.9228,17.9415,0,61.44,1,PASS
RSLA-RX-100,4,UL,15,14.9605,17.8638,0,61.44,1,PASS
