CaseID,Method,SINRPerRESHA256,EffectiveSINRDb,ExpectedSINRDb,AbsoluteErrorDb,CalibrationDatasetID,Status
EFF-0092,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,-4.8216e-16,0,4.8216e-16,EESM-ANALYTIC-EFF-0092,PASS
EFF-0093,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,6.085,6.085,9.2367e-11,EESM-ANALYTIC-EFF-0093,PASS
EFF-0094,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,1.3784,1.3784,3.4288e-11,EESM-ANALYTIC-EFF-0094,PASS
EFF-0095,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.4544,3.4544,4.4079e-10,EESM-ANALYTIC-EFF-0095,PASS
EFF-0096,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,2.7281,2.7281,2.1256e-10,EESM-ANALYTIC-EFF-0096,PASS
EFF-0097,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.87073,0.87073,3.2521e-10,EESM-ANALYTIC-EFF-0097,PASS
EFF-0098,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,-4.8216e-16,0,4.8216e-16,EESM-ANALYTIC-EFF-0098,PASS
EFF-0099,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,7.0228,7.0228,2.2031e-10,EESM-ANALYTIC-EFF-0099,PASS
EFF-0100,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,3.2544,3.2544,1.3114e-11,EESM-ANALYTIC-EFF-0100,PASS
EFF-0101,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.6371,3.6371,2.6722e-10,EESM-ANALYTIC-EFF-0101,PASS
EFF-0102,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,4.9192,4.9192,1.1437e-10,EESM-ANALYTIC-EFF-0102,PASS
EFF-0103,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.87073,0.87073,3.2521e-10,EESM-ANALYTIC-EFF-0103,PASS
EFF-0104,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,-4.8216e-16,0,4.8216e-16,EESM-ANALYTIC-EFF-0104,PASS
EFF-0105,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,7.0228,7.0228,2.2031e-10,EESM-ANALYTIC-EFF-0105,PASS
EFF-0106,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,3.2544,3.2544,1.3114e-11,EESM-ANALYTIC-EFF-0106,PASS
EFF-0107,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.6371,3.6371,2.6722e-10,EESM-ANALYTIC-EFF-0107,PASS
EFF-0108,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,4.9192,4.9192,1.1437e-10,EESM-ANALYTIC-EFF-0108,PASS
EFF-0109,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.87073,0.87073,3.2521e-10,EESM-ANALYTIC-EFF-0109,PASS
EFF-0110,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,-4.8216e-16,0,4.8216e-16,EESM-ANALYTIC-EFF-0110,PASS
EFF-0111,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,7.0228,7.0228,2.2031e-10,EESM-ANALYTIC-EFF-0111,PASS
EFF-0112,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,3.2544,3.2544,1.3114e-11,EESM-ANALYTIC-EFF-0112,PASS
EFF-0113,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.6371,3.6371,2.6722e-10,EESM-ANALYTIC-EFF-0113,PASS
EFF-0114,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,4.9192,4.9192,1.1437e-10,EESM-ANALYTIC-EFF-0114,PASS
EFF-0115,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.87073,0.87073,3.2521e-10,EESM-ANALYTIC-EFF-0115,PASS
EFF-0116,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,-4.8216e-16,0,4.8216e-16,EESM-ANALYTIC-EFF-0116,PASS
EFF-0117,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,7.0228,7.0228,2.2031e-10,EESM-ANALYTIC-EFF-0117,PASS
EFF-0118,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,3.2544,3.2544,1.3114e-11,EESM-ANALYTIC-EFF-0118,PASS
EFF-0119,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.6371,3.6371,2.6722e-10,EESM-ANALYTIC-EFF-0119,PASS
EFF-0120,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,4.9192,4.9192,1.1437e-10,EESM-ANALYTIC-EFF-0120,PASS
