RunID,Slot,Symbol,PRB,Subcarrier,ResourceType,ResourceID,OwnerUE,Port,OrthogonalityID,CollisionStatus,Status
RSLA_PHASE09_R18,0,2,9,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,10,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,10,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,10,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,10,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,10,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,10,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,11,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,11,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,11,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,11,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,11,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,11,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,12,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,12,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
