CaseID,Ports,ResourceType,Usage,Comb,CyclicShift,HoppingMode,REIndexSHA256,SequenceSHA256,MismatchCount,Status
SRS-016,1,periodic,beamManagement,4,4,none,45de3f9eb5231eccd8ca62cad6f81bb17518b1a2f6262c06d3ec5a045f0df6af,2eabc93c578a467776090fe7142a04a7a5d494bb589e19f9035c917c2206d9d9,0,PASS
SRS-017,1,periodic,beamManagement,4,5,intraResource,c919f3c986d75dcdc10179945fad8b64dae2727744e2e2f194e87eb9f42afa24,fbd4e8f998aa71967f85d886185ae88dcd61ace02d0fcfc1a2de727839b6f3f7,0,PASS
SRS-018,1,periodic,beamManagement,4,6,interSlot,dede1b6b2f3625b78125805056c5a29ad1015f1523ff7d9e714ee059332eaeed,90f44311c7fa8cc79a072fc0f0b73b360d2406236ab0101994f9ccf3921c7eb6,0,PASS
SRS-019,1,semiPersistent,codebook,2,3,none,130206b90f569ae1c6e2e1654fa51bf6a566cddee1daa70ae776421576c8817d,fcf727ed56da95b1bbe45e06150c5f2ce8c3877bc0112a1114973f0ec1eccb18,0,PASS
SRS-020,1,semiPersistent,codebook,2,4,intraResource,49fcbefcace0257fd0686ac99240f7abb6c03714def159686c403a78f0656044,851cab37fb237af2ebfee208ec6feb2667b54fd0c8b8242cec9d7032734ac64a,0,PASS
SRS-021,1,semiPersistent,codebook,2,5,interSlot,d5c05947aeb7440bc483a42a99cf747cd957263343715bdf5a410368e4b9dd7c,ba304b2b876feab02bffcfad34aa09deed1cdb2b1e7c4d6592332752f61a2da7,0,PASS
SRS-022,1,semiPersistent,codebook,4,10,none,cfbdc88dd572703d2150cb965a2fee0a38e17bd2617ad4e4cb26ba8e3d2fa83a,03c1438fe3f8015a87f7e341ffad258eb8309ef60490bb055ed6902043f46029,0,PASS
SRS-023,1,semiPersistent,codebook,4,11,intraResource,ce36f63c275943d9943d10cb7df9351b93f44d7481e4b9b1836dabd258942737,4d1fff35db683ee62bf049eaa339a92ecdf85a62206ffb644b335b123434a6ea,0,PASS
SRS-024,1,semiPersistent,codebook,4,0,interSlot,cb04de52eed3b35b95e148f9779dcd003bdce51c2536b6856020aaff5be4f44d,6aeeb756011e9e1d2d82538166cd7abc6e54c7d4cf208396695385f2dd7b9aed,0,PASS
SRS-025,1,semiPersistent,nonCodebook,2,1,none,aa020e33dbeaf01751986a725a7cc1f413908570e7765ad56db722d42793b61a,532413c4a36de6794eff1ff3094b63f624d8ecad8fe56cca72158fa7318d4911,0,PASS
SRS-026,1,semiPersistent,nonCodebook,2,2,intraResource,2ce8f57bb407b98399a8785bcc8eccfe848bca0c3fdcf40c4795225e15de5f83,bcc136e690792345e82b30a64a9e13d74205735e19aa6493a332f05e409a7b9c,0,PASS
SRS-027,1,semiPersistent,nonCodebook,2,3,interSlot,c6d4a8e3445e5cae4d15ef1bfe95c6e9bab399ac29e7d2f97acb5b35cf9c7f4b,a658b1a00d90bbd2805d6968b5b1c85c811cfdffa1f62719379598f4f6f6f512,0,PASS
SRS-028,1,semiPersistent,nonCodebook,4,4,none,68183c0a07700e8f440cb54c90c62585e1a4be3a8e675108cc6631a7315bb64d,45f8dbaed06c002e2ec13d642b849bd521418774b6cf73abd8edfc197b3b9ef1,0,PASS
SRS-029,1,semiPersistent,nonCodebook,4,5,intraResource,48fc94a85f6d7e666481de421fa363a2a93985c87278eb18f67c366bcc0f4abd,8407e2ed3c34e574be4ea9c99e249b7396f148f5c63ac1b64071fdc8595711f3,0,PASS
SRS-030,1,semiPersistent,nonCodebook,4,6,interSlot,b3a49178752dc7558123e7ab8e0a308b9bc9b6c9ea304b514ef17c3108697d94,c6629327c84d3ad8fede33df18aeaadb7f9beefbc1551cf498875c289c3c21b3,0,PASS
SRS-031,1,semiPersistent,beamManagement,2,7,none,130206b90f569ae1c6e2e1654fa51bf6a566cddee1daa70ae776421576c8817d,9d86931ef2ef13074e15da3ee62ef1c87d2830d99c2a51f686c3de1c19c2ece9,0,PASS
SRS-032,1,semiPersistent,beamManagement,2,0,intraResource,c8e13c7ad6b5d5dfadd9b5b43535ebb5e10737ded61df79b1d84b30a480b2900,b47c830d1375d101be2133e35f14c0b8c508ac497338e16d946137ec1a46f5c9,0,PASS
SRS-033,1,semiPersistent,beamManagement,2,1,interSlot,7ae2bcf22bf4bbc66bee0852fffdd3259d249ad2e9cac36bf6ebcb5b4f4f4085,152e89516145ad161d6df70ae7e52a9cb7ee985f6c2b2edc0073d70509ff5df3,0,PASS
SRS-034,1,semiPersistent,beamManagement,4,10,none,cfbdc88dd572703d2150cb965a2fee0a38e17bd2617ad4e4cb26ba8e3d2fa83a,58795273fb123047d44f6bdcb5dc40be773ce3d6df586a13061bdb57179c4ca2,0,PASS
SRS-035,1,semiPersistent,beamManagement,4,11,intraResource,ce36f63c275943d9943d10cb7df9351b93f44d7481e4b9b1836dabd258942737,303670f6de320e907fe963286056e40924dcb910dda7828106d11c741315ec76,0,PASS
SRS-036,1,semiPersistent,beamManagement,4,0,interSlot,45d03f050305fd6aa69dc8419df3d6f3e6e3c98c3ce6fe6d3422991b91a868dc,ab01b8546369b59399b6867ceb72720f82ebe8a6085ab835e0a4a903687ff82f,0,PASS
SRS-037,1,aperiodic,codebook,2,5,none,ce2afc496f806b424d76f84d3cef9606620d7641ac1308acf43e0199fa33ae8e,d879a9389b1a187e523953493c6173693abaa5697052ac2bde1dc8154846d92b,0,PASS
SRS-038,1,aperiodic,codebook,2,6,intraResource,a5c45862cb20e72f5455d64d287a66569432a734b67746f79ee9bdbd10952688,c2ede49ef96a082809cc513dde8c8d5241ecacb09945375ea13a0e01d4c2407f,0,PASS
SRS-039,1,aperiodic,codebook,2,7,interSlot,c6d4a8e3445e5cae4d15ef1bfe95c6e9bab399ac29e7d2f97acb5b35cf9c7f4b,973f5de9a4b0c42c5d2b9354213973b868ddd88f61866b8dc4c94bc7f1f74ba8,0,PASS
SRS-040,1,aperiodic,codebook,4,4,none,dd139cfa7923a040f638141fa826687afc54c2ab85f6b0571b5e0678d2ee7c45,09459db9e3cddacf647bd5f71858db6a0e382727e509f75d3216265b46b4a8eb,0,PASS
SRS-041,1,aperiodic,codebook,4,5,intraResource,db60f917450530faaa262a8bfeda6a33d308ea003f874e5af704bc691efc955f,3b249674ae6c31dc4fea4769b8e01e049fa3d0ad78c27a47b9c7a15493f38bf9,0,PASS
SRS-042,1,aperiodic,codebook,4,6,interSlot,b228774d41d65cc3ea7f950eb0ecc2bb4360724b03ea3786b28cca7ca00e5ee8,cc48eb540b0effdc50768eba06609b848eba780920a3bf75d92ca6ab59563387,0,PASS
SRS-043,1,aperiodic,nonCodebook,2,3,none,130206b90f569ae1c6e2e1654fa51bf6a566cddee1daa70ae776421576c8817d,6ba86b4c97e81bbc4a5b27a32062c94232ca554780a379c2dfd0d979fef5ad79,0,PASS
SRS-044,1,aperiodic,nonCodebook,2,4,intraResource,989a231e5abff929274fe422939cff0f248d3e474780c417f02abc17eaf5f705,77f1f0779aef80455f639b29199989a4a3711b2ce839a47b1cf592d6000a6fa5,0,PASS
SRS-045,1,aperiodic,nonCodebook,2,5,interSlot,18699bf512510f61aaa3ebe93e2d5a9c2574dcfc7fb887b190246397ec0dd0db,9aab0e986e76b2e2489b124a2b11e57a0eec6925788e5c340d97bdbe313c432e,0,PASS
SRS-046,1,aperiodic,nonCodebook,4,10,none,ff11cf99367ad19ab49039fe8d624bccd27ecb5f34a1647f11207d53ee5ac068,03de5aaa72c0eddc4571ba252f2ddc3583c528ec107993b6dbd8e4681b026d11,0,PASS
SRS-047,1,aperiodic,nonCodebook,4,11,intraResource,ce36f63c275943d9943d10cb7df9351b93f44d7481e4b9b1836dabd258942737,d3057cad062fe87c00d34a81bb7b76f099e027aef64565c7e5689050abb2df84,0,PASS
SRS-048,1,aperiodic,nonCodebook,4,0,interSlot,ed62d32f0901b7f2ca06fffbef9703c2ed3f08d0d03e596b67bdd60756180f27,6de742748fe573a2eb876af2ff5c2d6d406a029e4e55e305ca917c59ae908130,0,PASS
SRS-049,1,aperiodic,beamManagement,2,1,none,e26fd1d1f8a5ebc0b3f14ff0ac6f83a564feaf0589ef181c4f2b93378c1120a6,aca58ffc1d58746505858454cf7b4a52fbbfef70df9586fa5bb7d5b05b46fb3e,0,PASS
SRS-050,1,aperiodic,beamManagement,2,2,intraResource,b5ac852546e9918d74d64b1ffe385ab17992140142f8c888dfba83664ccc3387,5f4d6799ff537dd0279d96f3d0ec6d4733da3557597872c217eaf756e3fa21ed,0,PASS
SRS-051,1,aperiodic,beamManagement,2,3,interSlot,c6d4a8e3445e5cae4d15ef1bfe95c6e9bab399ac29e7d2f97acb5b35cf9c7f4b,7f3be70acd9a831a0dba50295f1febc6433f3c42712a0e84e0f40fc2b4255b24,0,PASS
SRS-052,1,aperiodic,beamManagement,4,4,none,32beff5feb19080f6874bfaf4e91783a90d642f667f0e81689ccd9e8a9652b96,4bc73d0663709579fb3de4bbdce17f78ece6982990eed70d22decd024d89068b,0,PASS
SRS-053,1,aperiodic,beamManagement,4,5,intraResource,15acda8192f4063401946e78bb3f7ed76f044cac6106a096bee747b5a73f3e6f,f8d8a894241018a9b42ba3385d91cf9d8b4de84336b7142e6b73806b85ecbe3a,0,PASS
SRS-054,1,aperiodic,beamManagement,4,6,interSlot,8674f58aa2e37cb519a632695ce7a6bae5e2739ff832ebbd816a1b2a52549f76,0a7ce1c395055ae0fa04515838def4f1af4bc4dc36e42bf4d80eac21bfcab96d,0,PASS
SRS-055,2,periodic,codebook,2,7,none,165118b5946dfc003de2a3d63cdbae50816060d87761752ede7ba87dbbf2cff6,3d642a6613c3045e73e99675f8519e74e48f334d284bc22636176d8b60756485,0,PASS
SRS-056,2,periodic,codebook,2,0,intraResource,ef798e0bbf5fb11ac6523d9c23d82f5f315085046a9ea18f8eb765ec14aec39b,0fd1411065d6d3fa33a64c090ef59d68b06325130f50bcb530cc84675c6004aa,0,PASS
SRS-057,2,periodic,codebook,2,1,interSlot,921b194fb71c680d35fa84270a11466ffb160c34f02c2557f5d61b4c4ace915c,7181f49daa98e22e783d0000772774df71676eafaa5f0a64b799533806343fe0,0,PASS
SRS-058,2,periodic,codebook,4,10,none,c6f7621ad8b935d4b2421250bb5e4f8b87772d9c0ea70f457a341ce565dc1f16,d58691f2599114b961e994baae990e1f45c2382fe89935797f9ebbe025e801e0,0,PASS
SRS-059,2,periodic,codebook,4,11,intraResource,da91ccc42059000024148e2d32b47388518de715eca501ba826172cf13c60b19,6b1abc88fa6fc4bdf7becff14a6f97377f242cd61aca5f530d9e28446e30784b,0,PASS
SRS-060,2,periodic,codebook,4,0,interSlot,ba02b6c2893c9c14bd107ff4c9a2ed8168df8d9903c3f9ef76ed1480b203931b,98677508ec7b2cb5e729338d4f49ae5ef5bc253412445853a29d7ac2fcb19e8c,0,PASS
SRS-061,2,periodic,nonCodebook,2,5,none,2d01ec9ef4d41d555799a9e94d6f660a37d0711fb38ff8b75c4cb03306bf1118,4ce495be779e53d3d14b848638f35e2b32202e23e71572423b2f41d812a3d033,0,PASS
SRS-062,2,periodic,nonCodebook,2,6,intraResource,75909ffb2a43a8a18281743d490076ebd8d2ff5cad40f210eccff30be0485d57,b5817b27aa0ba9a792b2a6785273309516d4425721af025382edb057ff5a31ef,0,PASS
SRS-063,2,periodic,nonCodebook,2,7,interSlot,d239ea915c2e7278378ff846fcd600c7987b529049cc663301b968cdae5ff233,77372a741c3f9cb027121a0b0a1d0dd3979fcd6ac1f5a356a540ceaab9ac8eb6,0,PASS
SRS-064,2,periodic,nonCodebook,4,4,none,0c3fc21b7bbd087f7b41323752de718aaf3677a73dd23777c9fdea3a3056b384,597adfe2cb9fa486ddd1e5dbc4c8636a20c224a4039c92f686840accc5e24ccd,0,PASS
SRS-065,2,periodic,nonCodebook,4,5,intraResource,9d0332604d96fd34f518f1f78f2e7e6ed4532853ee872761dbcc7de7834a399c,057dbcd920f8863966f1104a84fe3c3fb28291cadf1754329a4ff3708fdc2d5a,0,PASS
SRS-066,2,periodic,nonCodebook,4,6,interSlot,8f68f9bae6617d1e00106536f629cacb771ab635c17a93643ff607bccd6ec039,048c3e5ac162fe9061a166d3019c8bf2a0ff13248fd6569b49520e82493ac721,0,PASS
SRS-067,2,periodic,beamManagement,2,3,none,91c8c15d79f93017c76cb69acf9e8c455024036eb61c3f26d5251124c13fd905,d2320d63f45307193eae64f44ca4dffa078f05bb85d7ffe8e93aa88c2a303ba6,0,PASS
SRS-068,2,periodic,beamManagement,2,4,intraResource,53db84395d492c3a30cb8aa91265f2ec7191431f572defd6e4b6166351eb8f72,4f86dd984d1b7411b1fbd75f4103f0b77cd511c6c106e3ff58d1ff35d0dfca74,0,PASS
SRS-069,2,periodic,beamManagement,2,5,interSlot,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
SRS-070,2,periodic,beamManagement,4,10,none,1dce5e76983c0a7a3aa1b2caffeed180bbad8d850e50368e54d6fcc52a75245b,2fc1cad81e30be7b1b739023cb09692299046d7e2f8385af2ca7155ee66f362e,0,PASS
SRS-071,2,periodic,beamManagement,4,11,intraResource,da91ccc42059000024148e2d32b47388518de715eca501ba826172cf13c60b19,cde9129eb06718207c9b99e35b3bce3a1527f95cf48800922a8264e519a4bff9,0,PASS
SRS-072,2,periodic,beamManagement,4,0,interSlot,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
SRS-073,2,semiPersistent,codebook,2,1,none,645c9ee0638998e59e5fb92d91d8eaa416d2cfcfbebe964c3327a9c9965101e6,df3727c6793924c2227fa5cf5936b89209128fbf011d1d77c442e49e37c8d293,0,PASS
SRS-074,2,semiPersistent,codebook,2,2,intraResource,75909ffb2a43a8a18281743d490076ebd8d2ff5cad40f210eccff30be0485d57,88deabc13358d99ed4feddb4f19faa4e24b9132b374a290543dfc3473488310f,0,PASS
SRS-075,2,semiPersistent,codebook,2,3,interSlot,d239ea915c2e7278378ff846fcd600c7987b529049cc663301b968cdae5ff233,a605b7a3aec925ab91503415f165e293fc2f3ed4409361ceeb091f0aa01e2c32,0,PASS
SRS-076,2,semiPersistent,codebook,4,4,none,883cb858fba8605ef90b749d4a6c44187815a8bb63683c5e1b1960a563a71491,b39b5d66188bcf3696603ffeb51c4738657be427a24242a1c78c40943ba396a8,0,PASS
SRS-077,2,semiPersistent,codebook,4,5,intraResource,1978008ae4a09037587dba09d47074b71ce1392d9f6dec816cc8baf7872ed723,35169ff6bb59e3ef50f9f2a05b56ea6982992fed3cd642e4605f8ef5db207c13,0,PASS
SRS-078,2,semiPersistent,codebook,4,6,interSlot,8f68f9bae6617d1e00106536f629cacb771ab635c17a93643ff607bccd6ec039,d87cd4424a4ba16d502ee483dafd229d00d3097e892010a2456f09857ba3a648,0,PASS
SRS-079,2,semiPersistent,nonCodebook,2,7,none,91c8c15d79f93017c76cb69acf9e8c455024036eb61c3f26d5251124c13fd905,da3c293189bf88e47f650d586e82eca4588009882f43a118efd5e4e80f3db932,0,PASS
SRS-080,2,semiPersistent,nonCodebook,2,0,intraResource,38dee4d216d93450b2cd27fac69cf4114ed87305a5fe380c977729e34b1f4549,85b657e459ce991ad07d13bb84df29e1a1b1850c4fb0ed8b218f8f3c584796d6,0,PASS
SRS-081,2,semiPersistent,nonCodebook,2,1,interSlot,f96b0ab6f3ab23b2b9256bb017fb3eaa25b86be15f743eb33392a349e1162199,65e3f8772cec7c673e5fa74c894de7dc23482adddd7be743c83900e7f7ed509c,0,PASS
SRS-082,2,semiPersistent,nonCodebook,4,10,none,2296ebb833963c9534270b1ce6ec450556edcc44570d34988cff2e1f02f35e77,ea1dbfc9f9176f181d68512b407312596e8e0f3f1b1b352fdc1195e577cb28d7,0,PASS
SRS-083,2,semiPersistent,nonCodebook,4,11,intraResource,da91ccc42059000024148e2d32b47388518de715eca501ba826172cf13c60b19,3433467d690e8689893f8d9480fc54680e8e9fe8b4edef45d8d12f5c1b987e52,0,PASS
SRS-084,2,semiPersistent,nonCodebook,4,0,interSlot,071b66c1fae5188dbeada49555a7ec33cd886034d33dbb029fbc92cdb4816596,bb6efb10aa33ef179b9cc2ab26e70f1db087979e004eda733f613844966768e9,0,PASS
SRS-085,2,semiPersistent,beamManagement,2,5,none,5cf398f74c82e19ca26e12d459f3d9b3388b38c7dc7351877d6d0a732e84995e,6e0f7b1178cabea0557ec8f575083217d9f0ed3305508c150d45ddd40963d60f,0,PASS
SRS-086,2,semiPersistent,beamManagement,2,6,intraResource,75909ffb2a43a8a18281743d490076ebd8d2ff5cad40f210eccff30be0485d57,0e76e4f48db3c4f83e801c082d91d2557b72f945801998fbdcd828e6f60c5912,0,PASS
SRS-087,2,semiPersistent,beamManagement,2,7,interSlot,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
SRS-088,2,semiPersistent,beamManagement,4,4,none,b64b3f3f3e7d05ab5ba39a47b93f8a063fff2e43517dcd62bbc064cfc7d4cade,e4363609d0ebdedd5d882d7cd640cde183bbf0b937fe783a721b2dcb0b5ba1f1,0,PASS
SRS-089,2,semiPersistent,beamManagement,4,5,intraResource,22962765f7eb402a7b8c680a9a9df5d0d68179dbf9e9962a935f2414a4a7aabd,a43a7db375ddb58f8765666ae76bbc1b0f43b96703996edcaa388b97335a54eb,0,PASS
SRS-090,2,semiPersistent,beamManagement,4,6,interSlot,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
SRS-091,2,aperiodic,codebook,2,3,none,91c8c15d79f93017c76cb69acf9e8c455024036eb61c3f26d5251124c13fd905,5f64794cc0e6bf7998f3d4e646348df5998b2fc945eebb903330a948775a93fc,0,PASS
SRS-092,2,aperiodic,codebook,2,4,intraResource,5e9957bd0fda04ac15783b1c6c5bc56c820fc6eb0ea194fb9a82f9f3460d72f1,1adc18ca11f88a50d061207c08ea99cf27159a97d51cf04b1f4321311e1b2644,0,PASS
SRS-093,2,aperiodic,codebook,2,5,interSlot,cf8646a660d136afc63cd4802240af8d4ddccdfd21242fe9edbecb127428e4f0,4d44d5302778db16eabc28899622e3125136fbdcb2eeaf25aad3d5535079b2d8,0,PASS
SRS-094,2,aperiodic,codebook,4,10,none,c6f7621ad8b935d4b2421250bb5e4f8b87772d9c0ea70f457a341ce565dc1f16,6d95b9e298320a33b45ddfb9fc86715d84abea43d678cdfd4eb21ea88e71ab9e,0,PASS
SRS-095,2,aperiodic,codebook,4,11,intraResource,da91ccc42059000024148e2d32b47388518de715eca501ba826172cf13c60b19,6379162dfc29e1e24b1f9916114e1031de5954de42f35ffeb28d15217fe7ce17,0,PASS
SRS-096,2,aperiodic,codebook,4,0,interSlot,9c0ed63a54340c4064acda6b102f6a9b097c2d09309bec1747a01a1bdfb33435,b565071b8cd59ab92e6e5b0e93d000986526232d72427fbda18cf87e486c19a2,0,PASS
SRS-097,2,aperiodic,nonCodebook,2,1,none,e14ac87833fa0c68c22121c25d8daf3028d42bcf2b0c0c3386bd74e1818239ab,b7e5ca8ae1b06cb56914d9fe62da90a2629d44c9140ace727eb7407fbff8f23f,0,PASS
SRS-098,2,aperiodic,nonCodebook,2,2,intraResource,75909ffb2a43a8a18281743d490076ebd8d2ff5cad40f210eccff30be0485d57,63173bbb375546ca639284c497ee8d66f0c3abc37fd9cee135aa541297d0c25a,0,PASS
SRS-099,2,aperiodic,nonCodebook,2,3,interSlot,d239ea915c2e7278378ff846fcd600c7987b529049cc663301b968cdae5ff233,9ecc7b7e2a21ffe197def220cd90d57711c5e3540943b5dddf97ff8edae9b63e,0,PASS
SRS-100,2,aperiodic,nonCodebook,4,4,none,e36ccb903676cc0ff2c8150b73da2632bd18488988adb5822049b4548048f36a,15483fdc36b6cd576ce80d0b152e8f7e10f4d0990227c54e568e049f12a597c7,0,PASS
SRS-101,2,aperiodic,nonCodebook,4,5,intraResource,ffdc32dd4875899092c6fa0e64dc1246ef255e5848124941c1f5b3a247d8ec32,17a9a4d9b1d9e5304b1a32a8200dadba60c2a65ed9aa1c3f87629227f463877b,0,PASS
SRS-102,2,aperiodic,nonCodebook,4,6,interSlot,a3f863099201c1639c282d18a655aad9636f3d2f42d94cd742e64bc9c8b956ff,dd02a4a8bb441c8df7819d33fdc2ceba27cc499f7c115c462e6e50de464f5cef,0,PASS
SRS-103,2,aperiodic,beamManagement,2,7,none,91c8c15d79f93017c76cb69acf9e8c455024036eb61c3f26d5251124c13fd905,dbd3e845cd8ca3448389b8c8001dbbe2ad1e1237b0c9825a7a72dabb55048bf4,0,PASS
SRS-104,2,aperiodic,beamManagement,2,0,intraResource,aaf184c52e961cbd05dedab1e641df921681b20bb871368e97d34376b9f5e30f,2210a866161f3ae6bbeb47e68677d37624bfe1535e3f1bed4b6a4246fe8b49c6,0,PASS
SRS-105,2,aperiodic,beamManagement,2,1,interSlot,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
SRS-106,2,aperiodic,beamManagement,4,10,none,85f37071d51760a8a0f7aef9b325695ad908752b9a77cc6612b4ba93f6b08bf9,92a91809365c3ce7d3bc73a9cb49a3dd96d1ada5150b2e242d07be47bce5caa5,0,PASS
SRS-107,2,aperiodic,beamManagement,4,11,intraResource,da91ccc42059000024148e2d32b47388518de715eca501ba826172cf13c60b19,66ef982648e7769ac91879292f9793db6e14c48d2793174729efbd2fc58d8913,0,PASS
SRS-108,2,aperiodic,beamManagement,4,0,interSlot,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
SRS-109,4,periodic,codebook,2,5,none,e96f03daad84b10ba846c5f9086ee43817feb485cf21dd34fc842279c44aa67f,d40e755e948febb0a93b7540739f4d3ce23990e220196f782429e3ed1bae149f,0,PASS
SRS-110,4,periodic,codebook,2,6,intraResource,1fbd19841dc338f52e39b54ccc1d7270aa0c12a4bbc6bacce92d868d4bcdf522,55ef8f13581221795e112eae68fec044b821167b9229450b2417915ea9669714,0,PASS
SRS-111,4,periodic,codebook,2,7,interSlot,10d420a8e61c87b3695f0625cbcdbc3e10c194641bac7076195562e0130f7994,98ab81747ce7b2f59f6edce5e8140d656e6800e61a3ee5c9f744331d4bbb5b1b,0,PASS
SRS-112,4,periodic,codebook,4,4,none,dac43c286db03fe4fe545727213376832e206ce6e3edfe66006a85baf1c20ad7,9b8d34a5cdea199fb8ff911bad2de74ad1cebcf407b9d01ad6edc6481e320d7b,0,PASS
SRS-113,4,periodic,codebook,4,5,intraResource,06ca16c0c2f7fea22b2c3acc1abb4c8a8a1c7aec5b41e3b354f8d7e3ae06824d,ce15ce1818670f4870f91c5aaa3cb13277999e1dbc367c922b7e72c98b497833,0,PASS
SRS-114,4,periodic,codebook,4,6,interSlot,09a5681698042446e3406e9249ede8f1413a9745afde6677b628e9359c536af2,5344eb05769bffc60c29c7b2de08ea6186bfaa05a51de0bcc7e0911c57602e38,0,PASS
SRS-115,4,periodic,nonCodebook,2,3,none,4b72aea93a7195b292d84fc33671d15cff314b5ca2193173aca78572ccae2f03,f8002726a99140baeea3a1d84fefcbb314384c91abe9bfb601cf3d8c2905b961,0,PASS
SRS-116,4,periodic,nonCodebook,2,4,intraResource,12ad81b58f1ae600ed34eceb5899f4c405d9edf57a208da27ca176780e9e5868,07d9a6382b5f6c6095863663e3d9b8384d5d4616909893315fcceba01ef4e4ce,0,PASS
