CaseID,Direction,TimeDensity,FrequencyDensity,CPEBeforeRad,CPEAfterRad,EVMBeforePercent,EVMAfterPercent,BLER,Status
PTRS-072,UL,4,4,0.2,2.246e-17,19.9667,2.9946e-15,0,PASS
PTRS-073,UL,1,2,0,0,0,0,0,PASS
PTRS-074,UL,1,2,0.04,8.5818e-18,3.9997,9.9467e-16,0,PASS
PTRS-075,UL,1,2,0.1,2.0981e-16,9.9958,2.0983e-14,0,PASS
PTRS-076,UL,1,2,0.2,1.6124e-16,19.9667,1.6245e-14,0,PASS
PTRS-077,UL,1,4,0,0,0,0,0,PASS
PTRS-078,UL,1,4,0.04,1.5496e-17,3.9997,1.6285e-15,0,PASS
PTRS-079,UL,1,4,0.1,7.1045e-17,9.9958,7.1113e-15,0,PASS
PTRS-080,UL,1,4,0.2,5e-17,19.9667,5.3779e-15,0,PASS
PTRS-081,UL,2,2,0,0,0,0,0,PASS
PTRS-082,UL,2,2,0.04,1.5496e-17,3.9997,1.6285e-15,0,PASS
PTRS-083,UL,2,2,0.1,7.1045e-17,9.9958,7.1113e-15,0,PASS
PTRS-084,UL,2,2,0.2,5e-17,19.9667,5.3779e-15,0,PASS
PTRS-085,UL,2,4,0,0,0,0,0,PASS
PTRS-086,UL,2,4,0.04,2.2365e-17,3.9997,2.2912e-15,0,PASS
PTRS-087,UL,2,4,0.1,-1.2253e-17,9.9958,1.1174e-14,0,PASS
PTRS-088,UL,2,4,0.2,4.9968e-17,19.9667,5.3739e-15,0,PASS
PTRS-089,UL,4,2,0,0,0,0,0,PASS
PTRS-090,UL,4,2,0.04,1.5521e-17,3.9997,1.6315e-15,0,PASS
PTRS-091,UL,4,2,0.1,2.9398e-17,9.9958,2.9562e-15,0,PASS
PTRS-092,UL,4,2,0.2,5.0215e-17,19.9667,5.398e-15,0,PASS
PTRS-093,UL,4,4,0,0,0,0,0,PASS
PTRS-094,UL,4,4,0.04,2.246e-17,3.9997,2.3016e-15,0,PASS
PTRS-095,UL,4,4,0.1,-2.6113e-17,9.9958,1.1409e-14,0,PASS
PTRS-096,UL,4,4,0.2,2.246e-17,19.9667,2.9946e-15,0,PASS
