CaseID,DecisionSlot,AcquisitionLimitSlots,FirstValidReportSlot,DecisionSource,BootstrapUsed,TransitionedToMeasured,Status
BOOT-099,1,4,8,BOOTSTRAP,true,false,PASS
BOOT-100,3,8,20,BOOTSTRAP,true,false,PASS
BOOT-101,5,16,,BOOTSTRAP,true,false,PASS
BOOT-102,9,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-103,17,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-104,25,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-105,0,4,8,BOOTSTRAP,true,false,PASS
BOOT-106,1,8,20,BOOTSTRAP,true,false,PASS
BOOT-107,3,16,,BOOTSTRAP,true,false,PASS
BOOT-108,5,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-109,9,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-110,17,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-111,25,4,8,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-112,0,8,20,BOOTSTRAP,true,false,PASS
BOOT-113,1,16,,BOOTSTRAP,true,false,PASS
BOOT-114,3,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-115,5,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-116,9,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-117,17,4,8,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-118,25,8,20,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-119,0,16,,BOOTSTRAP,true,false,PASS
BOOT-120,1,4,0,MEASURED_DECODED_REPORT,false,true,PASS
