CaseID,Row,Ports,Density,CDMType,ResourceType,TriggerType,REIndexSHA256,SequenceSHA256,MismatchCount,Status,ActualDisposition,ActualError,WaveformGenerated
CSIRS-011,1,1,three,noCDM,ZP,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-012,1,1,three,noCDM,ZP,aperiodic,de1482285e0b51ba928169959f1818a8ab6f9d8ed3ac8b64d0d41f563ef4e20e,b964fb6e5ac5e53f1ef64da0dac95541462cfe0d91fb238cb82c90f7453cdce8,0,PASS,EXECUTE,,true
CSIRS-013,1,1,three,noCDM,CSI-IM_ASSOCIATED,periodic,ba2162c90c370952b5dfd6ec0bacf098241e885de9e3511cca796c9b8c5f9e26,b964fb6e5ac5e53f1ef64da0dac95541462cfe0d91fb238cb82c90f7453cdce8,0,PASS,EXECUTE,,true
CSIRS-014,1,1,three,noCDM,CSI-IM_ASSOCIATED,periodic,ea505250d59a4836313a7c6c3e0de18289a5c347151cef78cb14b23f266935fb,b964fb6e5ac5e53f1ef64da0dac95541462cfe0d91fb238cb82c90f7453cdce8,0,PASS,EXECUTE,,true
CSIRS-015,1,1,three,noCDM,CSI-IM_ASSOCIATED,semiPersistent,bbd98244d045fe789b57d04014b69a126d1451f55c52720f2a00770646dd23a8,b964fb6e5ac5e53f1ef64da0dac95541462cfe0d91fb238cb82c90f7453cdce8,0,PASS,EXECUTE,,true
CSIRS-016,1,1,three,noCDM,CSI-IM_ASSOCIATED,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-017,1,1,three,noCDM,CSI-IM_ASSOCIATED,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-018,1,1,three,noCDM,CSI-IM_ASSOCIATED,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-019,2,1,one,noCDM,NZP,periodic,e1bcd74b5217e1c9c11f98b36021b3c4bb1070b75892504f1f5fd09483463262,5c024010b975c32d44670221918c7154451f63a15c693b4f6865d650c88aa0da,0,PASS,EXECUTE,,true
CSIRS-020,2,1,one,noCDM,NZP,periodic,e341b951ea7a30eaee2363a979d620113dbe852d4d743be6ea935a113e5398d8,cf2496159119b535d7b8102761831b02da47882c83a5c40ddaf694356c199a12,0,PASS,EXECUTE,,true
CSIRS-021,2,1,one,noCDM,NZP,semiPersistent,eaa8cc73a8338f7596aaf273890d684dee91bcfb8b7b5e2585beff43288aa343,2075ffd04a9204cabc8b49329d0fac7b55a825c83ae09cc828ce3852a55f087c,0,PASS,EXECUTE,,true
CSIRS-022,2,1,one,noCDM,NZP,semiPersistent,6df2078e35d92ee907754704a50e30702048f3b57ee6e822e35c5a2be43c0e59,1196d5ebf33c45d653e75344569e22ca9620d297e0e5e946e7bcf30530a5bba6,0,PASS,EXECUTE,,true
CSIRS-023,2,1,one,noCDM,NZP,aperiodic,bd937f699709c1c829ec49efde05be373463fe8000b83670e7aa6a11ded3f1c4,557e0378ee5be4246e17b5ecf549017956db66a0e8b9293fc7ca8c3a0309c187,0,PASS,EXECUTE,,true
CSIRS-024,2,1,one,noCDM,NZP,aperiodic,be719a26c90d5cc14bb08dda389751ff4898133df58a66fd3a69cdd1f1edb175,534133c016b24eac86d30e110e8b2ab91099711d4d1b8414ae77a9be87b499f9,0,PASS,EXECUTE,,true
CSIRS-025,2,1,one,noCDM,ZP,periodic,84a803bd790253918c049bc3fd07362e4d94660e669648a586bc35940796e10d,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-026,2,1,one,noCDM,ZP,periodic,536cea5d55501d45f5551211354c72bcbe30870c2ddd9ef89258d97a253db081,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-027,2,1,one,noCDM,ZP,semiPersistent,0ac0423957736c744d724af1b75fd0c7d0f5b48ff412caabd21bd44012271f7f,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-028,2,1,one,noCDM,ZP,semiPersistent,49106ec69d4493b8d095e22adb5e6c7c5e82b8c06c20b9cf58606484c0c928f1,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-029,2,1,one,noCDM,ZP,aperiodic,dbd4ebc57c3cdbb65d0f89c4859965deb24c4df86aeb6cec84a94a74b153c5b1,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-030,2,1,one,noCDM,ZP,aperiodic,3f456a98b25dba41f1d1a126065e305fc487821a0d85a98dcdd39cc6c8c76d93,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-031,2,1,one,noCDM,CSI-IM_ASSOCIATED,periodic,e1bcd74b5217e1c9c11f98b36021b3c4bb1070b75892504f1f5fd09483463262,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-032,2,1,one,noCDM,CSI-IM_ASSOCIATED,periodic,e341b951ea7a30eaee2363a979d620113dbe852d4d743be6ea935a113e5398d8,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-033,2,1,one,noCDM,CSI-IM_ASSOCIATED,semiPersistent,eaa8cc73a8338f7596aaf273890d684dee91bcfb8b7b5e2585beff43288aa343,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-034,2,1,one,noCDM,CSI-IM_ASSOCIATED,semiPersistent,6df2078e35d92ee907754704a50e30702048f3b57ee6e822e35c5a2be43c0e59,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-035,2,1,one,noCDM,CSI-IM_ASSOCIATED,aperiodic,bd937f699709c1c829ec49efde05be373463fe8000b83670e7aa6a11ded3f1c4,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-036,2,1,one,noCDM,CSI-IM_ASSOCIATED,aperiodic,be719a26c90d5cc14bb08dda389751ff4898133df58a66fd3a69cdd1f1edb175,0ba799975f1b91022a7db7eee9676dcf9bc2eb8595152b22fd3c0d951b8e60b6,0,PASS,EXECUTE,,true
CSIRS-037,3,2,one,fd-CDM2,NZP,periodic,025e0ccd26cfab168af881c2a4e3220bca2717ffeaf3dc03ff9f9b72821d9509,6ec1d068f5d0e84fac7463d14c4da54c860e36716110d71bd376068d3c5c7a6a,0,PASS,EXECUTE,,true
CSIRS-038,3,2,one,fd-CDM2,NZP,periodic,cee327fbe9f0e9bb0788a1cae4f0c6fe417e13c2af0eabe252f566aa4812af39,f2722c4e15715717f8e004e3839f67e658b7b461320b59160bb8d60bccea290a,0,PASS,EXECUTE,,true
CSIRS-039,3,2,one,fd-CDM2,NZP,semiPersistent,6b405e920c7413dfe53d4acc559ebf772db2e6ad5f98750da8ff5f40b12bf718,178104b8c416497b1c78616b5172c64a0e4d5525f6b27487be2baa4ec2d85808,0,PASS,EXECUTE,,true
CSIRS-040,3,2,one,fd-CDM2,NZP,semiPersistent,2974888f5c7661bec19b6fffc362a299e5904a3d72d59b50ebd187784c40eaf6,dc54ad043c845f2c46f73482f3a732f989c732a00d7c87cf1d22d0c501e06fbb,0,PASS,EXECUTE,,true
CSIRS-041,3,2,one,fd-CDM2,NZP,aperiodic,6d0a88fd69de3d6abf87e63ae704d2db881f184e98421c264b8ad6b9e3df30ab,fd4b7475787048e68a840261ea321b4e09032fbcbf963d53176ee2bb015512d2,0,PASS,EXECUTE,,true
CSIRS-042,3,2,one,fd-CDM2,NZP,aperiodic,3249417a4a554578536827b00d70e27c8ab6b75b44831e52c39a78556294e834,361f3dfc35043ac63c15fe7e2b63dbd589b06028e03af5354bcece80c49f295d,0,PASS,EXECUTE,,true
CSIRS-043,3,2,one,fd-CDM2,ZP,periodic,1199c8d4cd320008e697343a45e14cc26b908811f99dae12360bef1d43e44764,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-044,3,2,one,fd-CDM2,ZP,periodic,0fa0b630b65ee2a83f91f8bb3f980a8d174dfcf2fe10d4c39d0a36ce821edde4,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-045,3,2,one,fd-CDM2,ZP,semiPersistent,59d99ec147cedd99107ffbcf61f7e0be780a2c93fdd28f46d2f4145fa583e679,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-046,3,2,one,fd-CDM2,ZP,semiPersistent,bc8755df0192d81a734853569df55591c8b125e074c80e2624933e54aff5e9b8,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-047,3,2,one,fd-CDM2,ZP,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-048,3,2,one,fd-CDM2,ZP,aperiodic,96d90ab3d2663dbd52cdb476f790ff2683698e25a69be94c34555973cbda61a2,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-049,3,2,one,fd-CDM2,CSI-IM_ASSOCIATED,periodic,025e0ccd26cfab168af881c2a4e3220bca2717ffeaf3dc03ff9f9b72821d9509,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-050,3,2,one,fd-CDM2,CSI-IM_ASSOCIATED,periodic,cee327fbe9f0e9bb0788a1cae4f0c6fe417e13c2af0eabe252f566aa4812af39,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-051,3,2,one,fd-CDM2,CSI-IM_ASSOCIATED,semiPersistent,6b405e920c7413dfe53d4acc559ebf772db2e6ad5f98750da8ff5f40b12bf718,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-052,3,2,one,fd-CDM2,CSI-IM_ASSOCIATED,semiPersistent,2974888f5c7661bec19b6fffc362a299e5904a3d72d59b50ebd187784c40eaf6,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-053,3,2,one,fd-CDM2,CSI-IM_ASSOCIATED,aperiodic,6d0a88fd69de3d6abf87e63ae704d2db881f184e98421c264b8ad6b9e3df30ab,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-054,3,2,one,fd-CDM2,CSI-IM_ASSOCIATED,aperiodic,3249417a4a554578536827b00d70e27c8ab6b75b44831e52c39a78556294e834,a3e4a0919c1af1920f5b3e8426f8d217a039f8edc1a3a6485ebd8234c20f230b,0,PASS,EXECUTE,,true
CSIRS-055,4,4,one,fd-CDM2,NZP,periodic,3b012741279d8c1304129d4d36ebaa0d5d0c173ba17aa2441e51a95606efd45a,662bf81a0df4cfeebb2c172408d5b59a92d522f67d66c80171fe78c587ed44db,0,PASS,EXECUTE,,true
CSIRS-056,4,4,one,fd-CDM2,NZP,periodic,a9be50fffb194a744b6eaa3e3ca3fc40ba9c48bccab38d5cf5c80e4f0077062e,9112421ff72e86adb0ea9bbdf7b64b0736a3d968e84e3e4b1d5e24037e03f056,0,PASS,EXECUTE,,true
CSIRS-057,4,4,one,fd-CDM2,NZP,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-058,4,4,one,fd-CDM2,NZP,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-059,4,4,one,fd-CDM2,NZP,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-060,4,4,one,fd-CDM2,NZP,aperiodic,ec36b7abf323a7568a923fe9adfdfdec26aa6e19642e5fcf81623a889261fd64,9639a0ec265db4cdeee3969f04256460301fe857179d041aee456cf4f86e50da,0,PASS,EXECUTE,,true
CSIRS-061,4,4,one,fd-CDM2,ZP,periodic,aee5cb19d3181e12b6dedfb64c467d298f9cda82a32f03f5ce440be9b82b4499,c501cfedd47d9644552110607dbb0dfe459db2cf6bb49da6e921ee9419ed7bd7,0,PASS,EXECUTE,,true
CSIRS-062,4,4,one,fd-CDM2,ZP,periodic,636e17e608d81d3cfbd1ac9e544f61296f05d21eeb153a045709dca7423e7ce7,c501cfedd47d9644552110607dbb0dfe459db2cf6bb49da6e921ee9419ed7bd7,0,PASS,EXECUTE,,true
CSIRS-063,4,4,one,fd-CDM2,ZP,semiPersistent,e38b74005afa174c3656f4f8bd43f1a170911b6385a46cd2979e4bdfc3767f52,c501cfedd47d9644552110607dbb0dfe459db2cf6bb49da6e921ee9419ed7bd7,0,PASS,EXECUTE,,true
CSIRS-064,4,4,one,fd-CDM2,ZP,semiPersistent,5cec3f993166fd57c77b93e9173c9aa84feb2416ab21374431bb8e2d7b27e4c9,c501cfedd47d9644552110607dbb0dfe459db2cf6bb49da6e921ee9419ed7bd7,0,PASS,EXECUTE,,true
CSIRS-065,4,4,one,fd-CDM2,ZP,aperiodic,217f6b13eeb2832f488ceb4c1975933a7509cbd1b515093bf57973d3258866e8,c501cfedd47d9644552110607dbb0dfe459db2cf6bb49da6e921ee9419ed7bd7,0,PASS,EXECUTE,,true
CSIRS-066,4,4,one,fd-CDM2,ZP,aperiodic,7e89c5e11c353902e1c1f4b4463ae6570879fd097105b9b85a45a0b19882c05e,c501cfedd47d9644552110607dbb0dfe459db2cf6bb49da6e921ee9419ed7bd7,0,PASS,EXECUTE,,true
CSIRS-067,4,4,one,fd-CDM2,CSI-IM_ASSOCIATED,periodic,3b012741279d8c1304129d4d36ebaa0d5d0c173ba17aa2441e51a95606efd45a,c501cfedd47d9644552110607dbb0dfe459db2cf6bb49da6e921ee9419ed7bd7,0,PASS,EXECUTE,,true
CSIRS-068,4,4,one,fd-CDM2,CSI-IM_ASSOCIATED,periodic,a9be50fffb194a744b6eaa3e3ca3fc40ba9c48bccab38d5cf5c80e4f0077062e,c501cfedd47d9644552110607dbb0dfe459db2cf6bb49da6e921ee9419ed7bd7,0,PASS,EXECUTE,,true
CSIRS-069,4,4,one,fd-CDM2,CSI-IM_ASSOCIATED,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-070,4,4,one,fd-CDM2,CSI-IM_ASSOCIATED,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-071,4,4,one,fd-CDM2,CSI-IM_ASSOCIATED,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-072,4,4,one,fd-CDM2,CSI-IM_ASSOCIATED,aperiodic,ec36b7abf323a7568a923fe9adfdfdec26aa6e19642e5fcf81623a889261fd64,c501cfedd47d9644552110607dbb0dfe459db2cf6bb49da6e921ee9419ed7bd7,0,PASS,EXECUTE,,true
CSIRS-073,5,4,dot5even,fd-CDM2,NZP,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-074,5,4,dot5even,fd-CDM2,NZP,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-075,5,4,dot5even,fd-CDM2,NZP,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-076,5,4,dot5even,fd-CDM2,NZP,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-077,5,4,dot5even,fd-CDM2,NZP,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-078,5,4,dot5even,fd-CDM2,NZP,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-079,5,4,dot5even,fd-CDM2,ZP,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-080,5,4,dot5even,fd-CDM2,ZP,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-081,5,4,dot5even,fd-CDM2,ZP,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-082,5,4,dot5even,fd-CDM2,ZP,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-083,5,4,dot5even,fd-CDM2,ZP,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-084,5,4,dot5even,fd-CDM2,ZP,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-085,5,4,dot5even,fd-CDM2,CSI-IM_ASSOCIATED,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-086,5,4,dot5even,fd-CDM2,CSI-IM_ASSOCIATED,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-087,5,4,dot5even,fd-CDM2,CSI-IM_ASSOCIATED,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-088,5,4,dot5even,fd-CDM2,CSI-IM_ASSOCIATED,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-089,5,4,dot5even,fd-CDM2,CSI-IM_ASSOCIATED,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-090,5,4,dot5even,fd-CDM2,CSI-IM_ASSOCIATED,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-091,6,8,one,cdm4-FD2-TD2,NZP,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-092,6,8,one,cdm4-FD2-TD2,NZP,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
