RunID,ExperimentID,Mode,TimingMismatchFractionCP,PhaseMismatchDeg,PowerDeltaDB,CombinedSINRDB,BLER,CoherentGainDB,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T123109Z,F40_P04_T,CJT,0.25,0,0,3.685587501853909,0.67949999999999999,3.0102999566398121,PASS,F40,treatment,timing_fraction_cp,0.25,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P05_B,CJT,0,0,0,6.5774333652054189,0.46150000000000002,3.0102999566398121,PASS,F40,baseline,timing_fraction_cp,0,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P05_T,CJT,0.25,0,0,5.6653357812421792,0.53100000000000003,3.0102999566398121,PASS,F40,treatment,timing_fraction_cp,0.25,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P06_B,CJT,0,0,0,6.7877678147807829,0.44900000000000001,3.0102999566398121,PASS,F40,baseline,timing_fraction_cp,0,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P06_T,CJT,0.25,0,0,5.8756702308175459,0.52200000000000002,3.0102999566398121,PASS,F40,treatment,timing_fraction_cp,0.25,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P01_B,CJT,0,0,0,-7.5426023237745223,1,3.0102999566398121,PASS,F41,baseline,trp_power_delta_db,0,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P01_T,CJT,0,0,10,-8.5802081706746947,1,1.9726941097396409,PASS,F41,treatment,trp_power_delta_db,10,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P02_B,CJT,0,0,0,-2.8920413334050914,0.99050000000000005,3.0102999566398121,PASS,F41,baseline,trp_power_delta_db,0,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P02_T,CJT,0,0,10,-3.9296471803052628,0.996,1.9726941097396409,PASS,F41,treatment,trp_power_delta_db,10,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P03_B,CJT,0,0,0,1.3694091582317762,0.84799999999999998,3.0102999566398121,PASS,F41,baseline,trp_power_delta_db,0,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P03_T,CJT,0,0,10,0.33180331133160523,0.89649999999999996,1.9726941097396409,PASS,F41,treatment,trp_power_delta_db,10,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P04_B,CJT,0,0,0,4.4760332737088389,0.62749999999999995,3.0102999566398121,PASS,F41,baseline,trp_power_delta_db,0,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P04_T,CJT,0,0,10,3.4384274268086696,0.69450000000000001,1.9726941097396409,PASS,F41,treatment,trp_power_delta_db,10,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P05_B,CJT,0,0,0,6.3356058221766824,0.48049999999999998,3.0102999566398121,PASS,F41,baseline,trp_power_delta_db,0,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P05_T,CJT,0,0,10,5.2979999752765128,0.55800000000000005,1.9726941097396409,PASS,F41,treatment,trp_power_delta_db,10,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
