RunID,ExperimentID,Rank,Layer,MeasuredSINRDB,EVMPercent,BLER,GoodputMbps,RankCollapsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,XPRDB,CodewordCount,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F02_P05_T,8,2,-2.6640949250782433,179.60653202864799,0.97650000000000003,0.0090240000000000008,false,PASS,F02,treatment,rank,8,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P05_T,8,3,-2.8140949250782432,179.70653202864798,0.97650000000000003,0.0090240000000000008,false,PASS,F02,treatment,rank,8,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P05_T,8,4,-2.9640949250782436,179.80653202864801,0.97650000000000003,0.0090240000000000008,false,PASS,F02,treatment,rank,8,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P05_T,8,5,-3.1140949250782435,179.906532028648,0.97650000000000003,0.0090240000000000008,false,PASS,F02,treatment,rank,8,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P05_T,8,6,-3.2640949250782434,180.006532028648,0.97650000000000003,0.0090240000000000008,false,PASS,F02,treatment,rank,8,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P05_T,8,7,-3.4140949250782433,180.10653202864799,0.97650000000000003,0.0090240000000000008,false,PASS,F02,treatment,rank,8,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P05_T,8,8,-3.5640949250782432,180.20653202864798,0.97650000000000003,0.0090240000000000008,false,PASS,F02,treatment,rank,8,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P06_B,1,1,-10.759148578773488,500.91629480860394,1,0,false,PASS,F02,baseline,rank,1,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P06_T,8,1,-1.6939906479279012,176.40352652931719,0.96199999999999997,0.014592000000000003,false,PASS,F02,treatment,rank,8,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P06_T,8,2,-1.8439906479279011,176.50352652931718,0.96199999999999997,0.014592000000000003,false,PASS,F02,treatment,rank,8,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P06_T,8,3,-1.9939906479279013,176.60352652931718,0.96199999999999997,0.014592000000000003,false,PASS,F02,treatment,rank,8,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P06_T,8,4,-2.1439906479279012,176.7035265293172,0.96199999999999997,0.014592000000000003,false,PASS,F02,treatment,rank,8,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P06_T,8,5,-2.2939906479279011,176.8035265293172,0.96199999999999997,0.014592000000000003,false,PASS,F02,treatment,rank,8,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P06_T,8,6,-2.443990647927901,176.90352652931719,0.96199999999999997,0.014592000000000003,false,PASS,F02,treatment,rank,8,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
