RunID,ExperimentID,Receiver,Samples,AgeSlots,ConditionNumber,MinEigenvalue,ShrinkageFactor,MeasuredSINRDB,BLER,FallbackUsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,InterferenceLevelDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F27_P03_B,MMSE,32,0,2.4461231179579124,0.070765800957996824,0,-1.4862795777560984,0.96150000000000002,false,PASS,F27,baseline,shrinkage,none,5,6.4862795777560986,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P03_T,MMSE,32,0,2.1709850322479736,0.076905964601566817,0.12,-1.4862795777560984,0.96150000000000002,false,PASS,F27,treatment,shrinkage,LedoitWolf,5,6.4862795777560986,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P04_B,MMSE,32,0,2.3079891609703993,0.060888499074585552,0,1.4415390889524331,0.83699999999999997,false,PASS,F27,baseline,shrinkage,none,10,8.5584609110475665,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P04_T,MMSE,32,0,2.0672716747137718,0.065666988883624391,0.12,1.4415390889524331,0.83699999999999997,false,PASS,F27,treatment,shrinkage,LedoitWolf,10,8.5584609110475665,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P05_B,MMSE,32,0,2.4736669702010743,0.04551629649875976,0,3.4546899288382766,0.69799999999999995,false,PASS,F27,baseline,shrinkage,none,15,11.545310071161722,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P05_T,MMSE,32,0,2.1914765550777244,0.049540848264125831,0.12,3.4546899288382766,0.69799999999999995,false,PASS,F27,treatment,shrinkage,LedoitWolf,15,11.545310071161722,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P06_B,MMSE,32,0,1.1655942354384068,0.040332908940599425,0,4.1729018376912892,0.63600000000000001,false,PASS,F27,baseline,shrinkage,none,20,15.827098162308712,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P06_T,MMSE,32,0,1.144289318423819,0.040733642773740933,0.12,4.1729018376912892,0.63600000000000001,false,PASS,F27,treatment,shrinkage,LedoitWolf,20,15.827098162308712,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P01_B,MMSE,32,0,1,1,0,-10.544119576746228,1,false,PASS,F28,baseline,receiver,MMSE,-5,5.5441195767462279,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P01_T,IRC,64,0,2.1466878574578052,0.070472150820285226,0.080000000000000002,-10.470117620927139,1,false,PASS,F28,treatment,receiver,IRC,-5,5.4701176209271392,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P02_B,MMSE,32,0,1,1,0,-5.7382731230531867,0.998,false,PASS,F28,baseline,receiver,MMSE,0,5.7382731230531867,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P02_T,IRC,64,0,3.309072588363358,0.062119849590929192,0.080000000000000002,-5.5101993712778743,0.998,false,PASS,F28,treatment,receiver,IRC,0,5.5101993712778743,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P03_B,MMSE,32,0,1,1,0,-1.5036864272836961,0.95899999999999996,false,PASS,F28,baseline,receiver,MMSE,5,6.5036864272836965,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P03_T,IRC,64,0,4.3930279926459912,0.046575784447747792,0.080000000000000002,-0.86150834728589931,0.94199999999999995,false,PASS,F28,treatment,receiver,IRC,5,5.8615083472858993,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P04_B,MMSE,32,0,1,1,0,2.101625126331045,0.79500000000000004,false,PASS,F28,baseline,receiver,MMSE,10,7.8983748736689545,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P04_T,IRC,64,0,4.3794342169767262,0.056040164692755509,0.080000000000000002,3.6727197739827684,0.68799999999999994,false,PASS,F28,treatment,receiver,IRC,10,6.3272802260172316,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
