RunID,ExperimentID,SRSAgeSlots,SoundedBandwidthRB,SelectedRI,SelectedTPMI,AppliedTPMI,TPMIAccuracy,MeasuredSINRDB,BLER,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F23_P05_T,0,100,2,0,0,1,3.3344753159758391,0.70750000000000002,PASS,F23,treatment,reciprocity,calibrated,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P06_B,0,100,2,0,0,1,3.7167387048434146,0.874,PASS,F23,baseline,reciprocity,uncalibrated,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P06_T,0,100,2,0,0,1,4.257022375984687,0.64000000000000001,PASS,F23,treatment,reciprocity,calibrated,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P01_B,0,100,1,0,0,1,-8.7202619253631894,1,PASS,F47,baseline,ul_beam,configured,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P01_T,0,100,3,6,6,1,-11.920240272762804,1,PASS,F47,treatment,ul_beam,measured_srs,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P02_B,0,100,1,0,0,1,-3.9264909113850681,0.99299999999999999,PASS,F47,baseline,ul_beam,configured,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P02_T,0,100,3,5,5,1,-7.1264692587846783,1,PASS,F47,treatment,ul_beam,measured_srs,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P03_B,0,100,1,0,0,1,0.35783242479392713,0.89249999999999996,PASS,F47,baseline,ul_beam,configured,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P03_T,0,100,3,2,2,1,-2.8421459226056851,0.97850000000000004,PASS,F47,treatment,ul_beam,measured_srs,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P04_B,0,100,1,0,0,1,3.4266484146190646,0.71150000000000002,PASS,F47,baseline,ul_beam,configured,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P04_T,0,100,2,18,18,1,1.9875826577762667,0.8095,PASS,F47,treatment,ul_beam,measured_srs,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P05_B,0,100,1,0,0,1,5.312128366614572,0.5625,PASS,F47,baseline,ul_beam,configured,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P05_T,0,100,3,3,3,1,2.1121500192149605,0.80049999999999999,PASS,F47,treatment,ul_beam,measured_srs,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P06_B,0,100,1,0,0,1,5.8864895358022151,0.51000000000000001,PASS,F47,baseline,ul_beam,configured,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47_P06_T,0,100,4,3,3,1,1.4371238223196039,0.85399999999999998,PASS,F47,treatment,ul_beam,measured_srs,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
