RunID,FamilyID,Wave,ExperimentsExpected,ExperimentsExecuted,HardRulesPassed,HardRulesFailed,StatisticalRulesPassed,InconclusiveCount,BlockedCount,PrimaryConclusion,Status
PUCCH_IMPACT_R18,F28,B,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F29,B,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F30,C,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F31,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F32,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F33,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F34,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F35,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F36,B,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F37,B,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F38,C,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F39,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F40,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F41,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F42,C,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F43,C,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F44,C,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F45,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F46,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F47,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F48,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F49,B,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F50,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
