Occasion,AbsoluteSlot0,StartSample,EndSampleExclusive,IQFirstRow,IQRowCount,ReceiveBranches,HARQBits,SignalPresent,Detected,FalseACKBits,DetectionMetric,DetectionThreshold,DetectionThresholdSource,NoiseStreamSeed,InjectedSampleNoiseVariance,ConfiguredReferenceEsN0_dB,RFAppliedStageCount,TimingSource,Source,ReceiverImplementation,ReceptionAssignmentDigest,ReceiverContextDigest,IQSHA256
6,29,222720,230400,38401,7680,2,1,0,0,0,0.31639978144435,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,ddf3bbcaef7bb44ef0a801ac59e76d081a530f5869331d2d132eafe077f5786d,938345891997111b3c157639ecdd4645a89c7cd79b0c21bf9a463eb013c6eafb,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
6,29,222720,230400,38401,7680,2,2,0,0,0,0.31639978144435,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,f32b1d573e69159d04eda33f875a1df2f10bd66911a32e40466c305f60dd7053,912a46bd967eeae02dc03c35a1ed89c09b61799dee429306e313d02609e01714,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
7,34,261120,268800,46081,7680,2,1,0,0,0,0.295599437870243,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,cfdb5eb0afcf334e5497c87bc4204ae9f3110088d7e01c504f23710a89667a57,fc2646d1351565d162fa43f85b6664337feb584536d65e1d235df77498cc278d,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
7,34,261120,268800,46081,7680,2,2,0,0,0,0.314626299898014,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,5d5577bd17310b5f3d29334dc8590a6f16c951e3b1cbdfc0ea1d5274c9db9941,b07322863c8f758121de209aae9fd6930cdf4927d0a383f7d8d241fcd490877d,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
8,39,299520,307200,53761,7680,2,1,0,0,0,0.273224639698549,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,1951ab0d977e33ea65c1e453ff3fcdf892dea7f3e5720a14d0a1940824bfcaa9,bb9352042ad20c8f9f070fbee19e947a47919ac67011cc9f353978779b052817,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
8,39,299520,307200,53761,7680,2,2,0,0,0,0.326204122816759,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,fdc8f9af5bc0eb993b1cbdf68109389ffc8336ba3640302df1f2639c081a87c0,66c455ff89b257621a102fa584c2bae69eef4515ad73f03648faef493a860940,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
9,44,337920,345600,61441,7680,2,1,0,0,0,0.281051360652045,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,3ee0f820555916868b31c66d5f4ec5d6a59c76d6538377d27e1c8fc788d073bd,a14053231b278dad48fcbbf24cdb5b6dc79a11d2e6866a59f0710fff7f39d9ec,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
9,44,337920,345600,61441,7680,2,2,0,0,0,0.281051360652045,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,e2f2d1e69199921063c78345d4a8f63f4236ab7ed7f1fe4354b29a60c42cf5a7,062d2a317008dd68351ff7bd8c5be494f4c5a836d0405b28c051887f6ff2bc4d,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
10,49,376320,384000,69121,7680,2,1,0,0,0,0.276407457001333,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,60c5920861447118672b81ea64afd8d678eb3407c9e3bd73849d604995412971,88d7e856171b647c12df99ae0143e8e2da05e2b3aae222b71d931134e3bd8ffb,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
10,49,376320,384000,69121,7680,2,2,0,0,0,0.276407457001333,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,88d6fc363d3f084bb945c3b6c51cf630010a5698142ea455e9d3956d4dc30b62,91e81c6ee265688c27b3dabb68a14623308cbc6be4be4bf5289b4fa5bf7f6c56,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
11,54,414720,422400,76801,7680,2,1,0,0,0,0.263662292928927,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,fafb78c3699e6df1f99839104913d0d0b420fcdae58c2c66845c42a102be8e04,78e9353153b748a4b3c4656d1a5a3977a4bbdf150bab326270a431aaf1c389e2,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
11,54,414720,422400,76801,7680,2,2,0,0,0,0.276568077795643,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,1bc7af8612a7401cc3160787fa7ef03a3348146e29f82a1c13210de558ac4401,55f864b9a9fdffc3c7a99be43ea703db263ac2bed4c39ac7c70279757171b10c,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
12,59,453120,460800,84481,7680,2,1,0,1,1,0.429243100744957,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,45f904694c51cda2ee8e052b13fc5076abdad6d5fcabfb84bbadedcedc61ab71,711b8540d0e594989a2168f6dbe2935ed9a6d470f48c7e42ffe1ffbcf98f834c,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
12,59,453120,460800,84481,7680,2,2,0,1,2,0.429243100744957,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,b7887d9e57b5c7a9fb89104ec8dbde97a6f46e1685e1c495ff60d37724753534,2060e4449a14c94f154c191e5df2d247bdad785a99a6787b94e941e40c8cf7c8,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
13,64,491520,499200,92161,7680,2,1,0,0,0,0.262160610474465,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,103b1a766d34e2f2a0ba9b20c6eaeccd6d3da33f38faaea83ae5b2903c7153d1,c0ec2bb3a26c0d5d23849d2dfde702dabfac4bc6dedeac7796ee8310e820d6d3,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
13,64,491520,499200,92161,7680,2,2,0,0,0,0.320366833563633,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,669f3c92f079914007f4155b2d91d379f4b7b23fdd19f4a1179ac193203b013b,de1ab9ab68aca7c303f64b6cf141ee465774dbc8eea93f3d4ff1e3f35f745fe2,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
14,69,529920,537600,99841,7680,2,1,0,0,0,0.250045597650287,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,2b1e1b4918cca03de9e4f57d865863421ee4b9e64a587bcda1b2d3484cb78aeb,1484372b3dcef5a49e08d67db9f8c3773563fbe985a9b34063560996c5b27d5e,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
14,69,529920,537600,99841,7680,2,2,0,1,1,0.444293761973747,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,70e62076effb709a8343b0e60d74edccdd3392114bdd315120bd39d23fa04cdb,73e58cfe2dd6e0329c60583b9b69b5587f80e99580135575503d860165e6cbde,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
15,74,568320,576000,107521,7680,2,1,0,0,0,0.261082681539662,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,81919f47e38359692031628c2077133863950370fa788df287254563a34de749,5f9fcb293cd137b62aec8697ad789ef7a404a219816a6d8014597bc78da2b8a0,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
15,74,568320,576000,107521,7680,2,2,0,0,0,0.277624117922271,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,d5918dc2c7d22fa061147f41ec891d93e0a109df0546a2a71f43849691922e1e,99d6245a7a196773a2ad6f451d9d42522855c2a660bfd284d4112aa301b4f878,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
16,79,606720,614400,115201,7680,2,1,0,0,0,0.254937025942574,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,b003efbd81acd86a9a9e2cbccaa7079064e15242b3e264fae4895c7374ff4dc3,832dd4a3ceaebfb6360f41f7646b47e068b5b80663d7b5d1def673eaff095c86,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
16,79,606720,614400,115201,7680,2,2,0,0,0,0.254937025942574,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,1963607d7847898888243e827d7e620216bcd9705e1b96502c707803860ee70d,42622403123e0ef113efac1ed169a768e977e317b35bc2f90fd48d599d28e53d,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
17,84,645120,652800,122881,7680,2,1,0,0,0,0.329051858856418,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,49b6b0d534fc00eaddcd50c7046e6ce0429eb224b744d24d153d746676d79628,721e631b71e32abe31fa7b91d3b5b92c008041a08ad2366dcaa77d39ea9ac144,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
17,84,645120,652800,122881,7680,2,2,0,0,0,0.340010957778494,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,7651b18a0079f13ac8b9dcb4e661ee0307469d838b28cde37a23bed44cfce3f3,5dd4c290bcd27037dfb042dafff43e89085b8fa8f51d90b2782d28bb8d20c2a9,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
18,89,683520,691200,130561,7680,2,1,0,0,0,0.261982920522228,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,2119282140270f774026423b10dc80530648d13a6333adde95773f3e3d503c8a,97450cc631bdd28689b4406df8a1cdcfab0399eacb5d50b5b19fb8ca196d3dac,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
18,89,683520,691200,130561,7680,2,2,0,0,0,0.292957586579421,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,30eda714dce61c030f66f7da5d9a8b565f327e9d78661229260bcde62424c63f,7b11eaafb64d4510d4e636dbcfe6ee7be43e09bd993fdae5a30eb709a3003193,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
19,94,721920,729600,138241,7680,2,1,0,0,0,0.213958411932751,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,de24eb011d2214fce91ed891cb00d19a2f59a623acd647b8fca060f425463c1e,4d425cc20f066f5b077b9398940ea009f91f7129d75625707cfd64373537d438,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
19,94,721920,729600,138241,7680,2,2,0,0,0,0.30500785821048,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,779a15126bcd85d524f0b237045b1e34ef174d4deb9f5ffd375e05bae776e1dc,e2a83e21ff4bd675694c99603d3c9f3f646644caafccf17de78adc674117baf5,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
20,99,760320,768000,145921,7680,2,1,0,0,0,0.318403624682605,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,6256a105ca46926b382cd7a4379897e99697f6fd04505bd75cc8f9cb8dc43e29,a326c1f330892e289a3ab34629d7d9fca58e29b4507aeac621b27a616e612f46,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
20,99,760320,768000,145921,7680,2,2,0,0,0,0.385153343447316,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,301e6d44f6988820770a5df99fa279c44e2fd669f17f4e092a44541667604d57,bcd43f43425b86d3839257cc800e10f4d8702b11333620a4aae5973d6c65e3e2,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
21,104,798720,806400,153601,7680,2,1,0,0,0,0.298487314015321,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,43d522981640339d1a09dc507d191d5fd48cb7d88e976881468c55c913bde1a0,028f733b5d000d369ee8b966f65fb044a65d9bcf1cdcf70046f07f713f29f6f8,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
21,104,798720,806400,153601,7680,2,2,0,0,0,0.298487314015321,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,e8e4dcb927892a0a4c3dce0288589421788525da319b238e3f551b9f5d56c1f8,447b0a2129efffe6621555a5a4cd77e666ceae2df43990f7947a72abf08447e0,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
22,109,837120,844800,161281,7680,2,1,0,0,0,0.299953081811452,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,1b523a00225bb120c8ddc97ce3df65058ef42280ad4954a264e89544fcfd181b,85dc045e09956fd4912a6663bd639a43156c8c5e17bc844c9aff950f4faa48d6,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
22,109,837120,844800,161281,7680,2,2,0,0,0,0.299953081811452,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,b75e2471e75633afccfb582c573727cc7397ffc27db0754b175fa4a98c1ba3ca,780425bc30eef1fe8a819b6cc2fbfa6759e0e7b2c2d25bdc3d7467bbd56ab6f9,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
23,114,875520,883200,168961,7680,2,1,0,0,0,0.268623993149529,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,f1ea6c15fdbc0d3a9dc8c3bb7932a81aa089ebde35564a83dc08eed15b4b45fe,a699608308136e2527cbf68730381c62f4b1ebf76de47774ada3b6e1d926c25f,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
23,114,875520,883200,168961,7680,2,2,0,0,0,0.292737572793773,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,58e3312f9ef4de5b18c1fdc15ff60f54cc70d78776d58cfd6fcb5611b6d9b6de,6be4369f82c9cf74d3002a1f9f79f70fd02c5c5749f9c2080c0c553518c7ff7e,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
24,119,913920,921600,176641,7680,2,1,0,0,0,0.337917864640536,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,e4f5244931045c55e9d197043b6791fbae7d10430acd86d6907c4294046fc03a,7555d8d0494533f7038fe5ea52212d3433362d4544a73cb3d64c70ee6e3ce5e5,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
24,119,913920,921600,176641,7680,2,2,0,0,0,0.337917864640536,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,53f54b11b88cae31032c54ebf13b33eb337fc21aec0298c8dac6ba094b35c2cb,2cbacddb1d1636a63f13f5b2ea7af1a7f0334f1e663a141f9acccda749f550ef,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
25,124,952320,960000,184321,7680,2,1,0,0,0,0.320333486146363,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,dd56eb9c073652fac4e4da98da3cdec05bb08f8b650169e101739bc959205e5f,7afa0592def943b287e01c4174834e8732d74a81bed3afc767cd66063d00dc77,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
25,124,952320,960000,184321,7680,2,2,0,0,0,0.320333486146363,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,d80f9555cf6ab9b411c9dd1c30ceb9285c816fced5470e4a6c928c0390a99d58,681f2dd258faad6d1e9c721394df277a05b0f8aba3be5f5ec10f41da88e3467f,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
