CaseID,BWPID,PRB,Subcarrier,FFTBin,IsDC,Owner,Status
MAP-300-512,BWP-1,7,-51,461,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-50,462,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-49,463,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-48,464,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-47,465,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-46,466,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-45,467,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-44,468,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-43,469,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-42,470,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-41,471,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-40,472,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-39,473,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-38,474,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-37,475,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-36,476,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-35,477,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-34,478,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-33,479,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-32,480,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,8,-31,481,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-30,482,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-29,483,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-28,484,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-27,485,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-26,486,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-25,487,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-24,488,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-23,489,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-22,490,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-21,491,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-20,492,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,9,-19,493,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-18,494,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-17,495,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-16,496,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-15,497,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-14,498,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-13,499,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-12,500,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-11,501,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-10,502,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-9,503,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-8,504,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,10,-7,505,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,-6,506,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,-5,507,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,-4,508,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,-3,509,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,-2,510,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,-1,511,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,0,0,1,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,1,1,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,2,2,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,3,3,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,4,4,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,11,5,5,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,6,6,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,7,7,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,8,8,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,9,9,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,10,10,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,11,11,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,12,12,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,13,13,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,14,14,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,15,15,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,12,16,16,0,PDSCH_PORT_0,PASS
