VectorID,M,LayerCount,Contiguous,InputEnergy,OutputEnergy,RoundTripNMSE,Status
DFT-012-impulse,12,1,1,1,1,1.64346021921044e-32,PASS
DFT-012-constant,12,1,1,1,1,0,PASS
DFT-012-qpsk,12,1,1,12,12,1.23259516440783e-32,PASS
DFT-015-impulse,15,1,1,1,1,2.72454889465981e-32,PASS
DFT-015-constant,15,1,1,0.999999999999999,0.999999999999999,0,PASS
DFT-015-qpsk,15,1,1,15,15,2.38301731785514e-32,PASS
DFT-016-impulse,16,1,1,1,1,6.16297582203915e-33,PASS
DFT-016-constant,16,1,1,1,1,0,PASS
DFT-016-qpsk,16,1,1,16,16,1.07852076885685e-32,PASS
DFT-018-impulse,18,1,1,1,1,2.01152683080445e-32,PASS
DFT-018-constant,18,1,1,1,1,1.38666955995881e-32,PASS
DFT-018-qpsk,18,1,1,18,18,4.58799311196249e-32,PASS
DFT-020-impulse,20,1,1,1,1,1.78726298839135e-32,PASS
DFT-020-constant,20,1,1,1,1,0,PASS
DFT-020-qpsk,20,1,1,20,20,3.51289621856232e-32,PASS
DFT-024-impulse,24,1,1,1,1,0,PASS
DFT-024-constant,24,1,1,1,1,1.84889274661174e-32,PASS
DFT-024-qpsk,24,1,1,24,24,1.48938582365946e-32,PASS
DFT-025-impulse,25,1,1,1,1,1.40015106956952e-32,PASS
DFT-025-constant,25,1,1,1,1,0,PASS
DFT-025-qpsk,25,1,1,25,25,5.42341872339446e-32,PASS
DFT-027-impulse,27,1,1,1,1,1.33852131134913e-32,PASS
DFT-027-constant,27,1,1,0.999999999999998,0.999999999999998,2.08000433993822e-32,PASS
DFT-027-qpsk,27,1,1,27,27,8.03469440502883e-32,PASS
DFT-030-impulse,30,1,1,1,1,6.00890142648817e-32,PASS
DFT-030-constant,30,1,1,0.999999999999996,0.999999999999996,0,PASS
DFT-030-qpsk,30,1,1,30,30,6.28623533847994e-32,PASS
DFT-032-impulse,32,1,1,1,1,8.08890576642639e-33,PASS
DFT-032-constant,32,1,1,1,1,0,PASS
DFT-032-qpsk,32,1,1,32,32,2.88889491658086e-32,PASS
DFT-036-impulse,36,1,1,1,1,4.23704587765192e-33,PASS
DFT-036-constant,36,1,1,1,1,0,PASS
DFT-036-qpsk,36,1,1,36,35.9999999999999,8.18306234148533e-32,PASS
DFT-040-impulse,40,1,1,1,1,2.69822785208652e-32,PASS
DFT-040-constant,40,1,1,1,1,0,PASS
DFT-040-qpsk,40,1,1,40,39.9999999999999,6.37867997581053e-32,PASS
DFT-045-impulse,45,1,1,1,1,3.55125432328803e-32,PASS
DFT-045-constant,45,1,1,1,1,0,PASS
DFT-045-qpsk,45,1,1,44.9999999999999,44.9999999999999,5.75211076723655e-32,PASS
DFT-048-impulse,48,1,1,1,1,2.57111647575696e-32,PASS
DFT-048-constant,48,1,1,0.999999999999994,0.999999999999994,0,PASS
DFT-048-qpsk,48,1,1,47.9999999999999,47.9999999999999,5.67507356946106e-32,PASS
DFT-050-impulse,50,1,1,1,1,7.44612664748715e-33,PASS
DFT-050-constant,50,1,1,1.00000000000001,1.00000000000001,0,PASS
DFT-050-qpsk,50,1,1,49.9999999999999,49.9999999999999,5.52202633654709e-32,PASS
DFT-054-impulse,54,1,1,1,1,5.07161552021972e-33,PASS
DFT-054-constant,54,1,1,0.999999999999995,0.999999999999995,0,PASS
DFT-054-qpsk,54,1,1,53.9999999999999,53.9999999999999,7.96621689589507e-32,PASS
DFT-060-impulse,60,1,1,1,1,2.21144905864264e-32,PASS
DFT-060-constant,60,1,1,1.00000000000001,1.00000000000001,0,PASS
DFT-060-qpsk,60,1,1,59.9999999999999,59.9999999999999,5.15635643777277e-32,PASS
DFT-064-impulse,64,1,1,1,1,2.31111593326468e-33,PASS
DFT-064-constant,64,1,1,1,1,0,PASS
DFT-064-qpsk,64,1,1,63.9999999999999,63.9999999999999,4.00593428432546e-32,PASS
DFT-072-impulse,72,1,1,1,1,1.43990012369951e-32,PASS
DFT-072-constant,72,1,1,1,1,1.38666955995881e-32,PASS
DFT-072-qpsk,72,1,1,71.9999999999999,71.9999999999999,1.08879239522692e-31,PASS
DFT-075-impulse,75,1,1,1,1,3.13238863450811e-32,PASS
DFT-075-constant,75,1,1,0.999999999999998,0.999999999999997,0,PASS
DFT-075-qpsk,75,1,1,74.9999999999999,74.9999999999999,5.06185747516817e-32,PASS
DFT-080-impulse,80,1,1,1,1,5.76864166592587e-32,PASS
DFT-080-constant,80,1,1,0.999999999999992,0.999999999999991,0,PASS
DFT-080-qpsk,80,1,1,79.9999999999999,79.9999999999999,6.57897669002681e-32,PASS
DFT-081-impulse,81,1,1,1,1,1.85777147312765e-32,PASS
DFT-081-constant,81,1,1,0.999999999999998,0.999999999999998,1.56000325495366e-32,PASS
DFT-081-qpsk,81,1,1,80.9999999999999,80.9999999999999,9.4042445877042e-32,PASS
DFT-090-impulse,90,1,1,1,1,4.30027389023588e-32,PASS
DFT-090-constant,90,1,1,1,1,0,PASS
DFT-090-qpsk,90,1,1,89.9999999999999,89.9999999999999,7.83382704490311e-32,PASS
DFT-096-impulse,96,1,1,1,1,1.50503400445761e-32,PASS
DFT-096-constant,96,1,1,1,1,1.84889274661174e-32,PASS
DFT-096-qpsk,96,1,1,95.9999999999999,95.9999999999999,3.49235296582219e-32,PASS
DFT-100-impulse,100,1,1,1,1,9.66576090839344e-33,PASS
DFT-100-constant,100,1,1,1,1,0,PASS
DFT-100-qpsk,100,1,1,99.9999999999999,99.9999999999999,6.89020696903978e-32,PASS
DFT-108-impulse,108,1,1,1,1,1.42258012871353e-32,PASS
DFT-108-constant,108,1,1,0.999999999999999,0.999999999999999,0,PASS
DFT-108-qpsk,108,1,1,108,108,1.08308593613244e-31,PASS
DFT-120-impulse,120,1,1,1,1,6.90175051164394e-32,PASS
DFT-120-constant,120,1,1,1,1,0,PASS
DFT-120-qpsk,120,1,1,120,120,1.13912336444024e-31,PASS
