Profile,Frequency_Hz,PSD_dB_per_Hz,AnalysisWindow,RBW_Hz,Status
CP-OFDM,-622500,-62.0483719939784,rectangular,7500,PASS
CP-OFDM,-615000,-64.3186103530179,rectangular,7500,PASS
CP-OFDM,-607500,-63.8600752498821,rectangular,7500,PASS
CP-OFDM,-600000,-68.4933147088299,rectangular,7500,PASS
CP-OFDM,-592500,-62.9094761704807,rectangular,7500,PASS
CP-OFDM,-585000,-58.7812697148699,rectangular,7500,PASS
CP-OFDM,-577500,-65.1173913584095,rectangular,7500,PASS
CP-OFDM,-570000,-65.9210457492718,rectangular,7500,PASS
CP-OFDM,-562500,-67.8004440426699,rectangular,7500,PASS
CP-OFDM,-555000,-67.1062434425185,rectangular,7500,PASS
CP-OFDM,-547500,-63.8982597789797,rectangular,7500,PASS
CP-OFDM,-540000,-68.5008586511721,rectangular,7500,PASS
CP-OFDM,-532500,-77.2629828661945,rectangular,7500,PASS
CP-OFDM,-525000,-78.3737819780075,rectangular,7500,PASS
CP-OFDM,-517500,-73.551115457574,rectangular,7500,PASS
CP-OFDM,-510000,-69.632312232994,rectangular,7500,PASS
CP-OFDM,-502500,-62.1094386338568,rectangular,7500,PASS
CP-OFDM,-495000,-61.4463618984303,rectangular,7500,PASS
CP-OFDM,-487500,-65.0396519684869,rectangular,7500,PASS
CP-OFDM,-480000,-70.9602270410666,rectangular,7500,PASS
CP-OFDM,-472500,-69.0694472463627,rectangular,7500,PASS
CP-OFDM,-465000,-66.0494624944534,rectangular,7500,PASS
CP-OFDM,-457500,-83.5382039061309,rectangular,7500,PASS
CP-OFDM,-450000,-60.8068034871562,rectangular,7500,PASS
CP-OFDM,-442500,-58.7174510197158,rectangular,7500,PASS
CP-OFDM,-435000,-66.2619208746631,rectangular,7500,PASS
CP-OFDM,-427500,-75.7347022691282,rectangular,7500,PASS
CP-OFDM,-420000,-69.5170188401411,rectangular,7500,PASS
CP-OFDM,-412500,-61.1725305724423,rectangular,7500,PASS
CP-OFDM,-405000,-64.7195611334397,rectangular,7500,PASS
CP-OFDM,-397500,-67.455255097876,rectangular,7500,PASS
CP-OFDM,-390000,-62.6143933915319,rectangular,7500,PASS
CP-OFDM,-382500,-80.7829718209789,rectangular,7500,PASS
CP-OFDM,-375000,-64.0687499096719,rectangular,7500,PASS
CP-OFDM,-367500,-65.9854623298809,rectangular,7500,PASS
CP-OFDM,-360000,-73.1855711402469,rectangular,7500,PASS
CP-OFDM,-352500,-71.8184948172819,rectangular,7500,PASS
CP-OFDM,-345000,-63.4399195867568,rectangular,7500,PASS
CP-OFDM,-337500,-61.3064744667903,rectangular,7500,PASS
CP-OFDM,-330000,-63.0259254830994,rectangular,7500,PASS
CP-OFDM,-322500,-72.4390707981702,rectangular,7500,PASS
CP-OFDM,-315000,-65.8742504796668,rectangular,7500,PASS
CP-OFDM,-307500,-60.020567381993,rectangular,7500,PASS
CP-OFDM,-300000,-62.2660170718889,rectangular,7500,PASS
CP-OFDM,-292500,-69.2561986553052,rectangular,7500,PASS
CP-OFDM,-285000,-64.9586815040958,rectangular,7500,PASS
CP-OFDM,-277500,-66.152282093785,rectangular,7500,PASS
CP-OFDM,-270000,-64.5335595684033,rectangular,7500,PASS
CP-OFDM,-262500,-63.9429875243905,rectangular,7500,PASS
CP-OFDM,-255000,-65.0492415496666,rectangular,7500,PASS
CP-OFDM,-247500,-67.1303878304633,rectangular,7500,PASS
CP-OFDM,-240000,-70.0924765377561,rectangular,7500,PASS
CP-OFDM,-232500,-67.5557102554282,rectangular,7500,PASS
CP-OFDM,-225000,-69.7675913715317,rectangular,7500,PASS
CP-OFDM,-217500,-75.3239482086598,rectangular,7500,PASS
CP-OFDM,-210000,-66.8434511210819,rectangular,7500,PASS
CP-OFDM,-202500,-64.5549430501649,rectangular,7500,PASS
CP-OFDM,-195000,-65.6879761846977,rectangular,7500,PASS
CP-OFDM,-187500,-69.9420153169472,rectangular,7500,PASS
CP-OFDM,-180000,-73.6841048391126,rectangular,7500,PASS
CP-OFDM,-172500,-68.3202391784464,rectangular,7500,PASS
CP-OFDM,-165000,-68.2128020076272,rectangular,7500,PASS
CP-OFDM,-157500,-70.8826249083181,rectangular,7500,PASS
CP-OFDM,-150000,-74.9539267448079,rectangular,7500,PASS
CP-OFDM,-142500,-71.0939159770717,rectangular,7500,PASS
CP-OFDM,-135000,-82.2186010703919,rectangular,7500,PASS
CP-OFDM,-127500,-67.1353143812194,rectangular,7500,PASS
