Direction,SignalFamily,SNR_dB,SFN,Frame,Slot,Time_s,CellID,BWPID,UEIndex,RNTI,ResourceID,ResourceSetID,CSIRSType,NumPorts,RowNumber,Density,Periodicity,SymbolLocations,SubcarrierLocations,RBOffset,NumRB,NRE,Scheduled,Transmitted,Observed,Consumed,Consumer,MeasurementRSRP_dB,MeasurementSource,UpdateOutcome,RuntimeMaterializationStatus,RuntimeBlocker,RuntimeEvidenceSource,RuntimeEventObserved,SourceArtifact,SourceTable
DL,CSI-RS,12,7,7,7,0.003,3,0,16,16,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-105.484419957892,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,3,0,18,18,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-117.928277050787,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,3,0,23,23,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-88.5034930282348,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,3,0,24,24,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-113.925580812502,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,3,0,33,33,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-127.018420832617,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,3,0,34,34,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-76.5265914105561,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,4,0,20,20,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-117.523822532398,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,4,0,22,22,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-85.0706203851607,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,4,0,32,32,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-115.628104522242,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,4,0,37,37,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-103.82202779562,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,4,0,38,38,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-107.491601396813,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,4,0,40,40,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-120.186292684963,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,4,0,42,42,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-118.923663496144,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,4,0,44,44,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-111.401989620112,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,4,0,49,49,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-109.140682805983,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,1,1,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-105.597979658695,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,8,8,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-135.265008332833,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,11,11,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-130.569182614773,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,17,17,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-129.51546664884,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,21,21,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-108.000822207038,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,25,25,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-102.591609901102,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,28,28,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-109.425308755702,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,30,30,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-108.487256053056,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,31,31,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-108.465430935227,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,36,36,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-79.1017346191979,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,39,39,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-95.6543540612447,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,46,46,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-107.92217309018,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,5,0,48,48,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-86.5182014492277,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,26,26,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-112.758827818535,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,14,14,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-100.280025434167,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,3,3,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-101.045404568533,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,5,5,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-116.503816537253,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,7,7,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-85.5205341124543,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,9,9,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-129.069800386537,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,19,19,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-107.096639838832,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,27,27,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-132.710040867307,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,43,43,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-110.296025778631,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,1,0,47,47,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-87.4057041057912,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,2,0,10,10,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-100.797561741905,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,2,0,50,50,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-100.171667993276,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,2,0,6,6,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-121.848202479871,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,8,8,8,0.0035,2,0,4,4,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-109.345618275938,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
