UEIndex,RNTI,Direction,ConfiguredLayers,ConfiguredTxAntennas,ConfiguredRxAntennas,BeamformingApplied,BeamSelectionStrategy,BeamIndexSet,ExecutionModel,Throughput_Mbps,ObservedRowCount,BLER,BER,PassRate,MeanMeasuredSINR_dB,MeanChannelGain_dB,SummaryRowValid,RuntimeDataPresent,UserHadAnySuccessfulTx,UserHadAnySuccessfulRx,PartialSuccess,AllObservedRowsSuccessful,SummaryStatus,Ok,OkDefinition,NumUsersConfigured
44,44,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.95466666666667,3,0.333333333333333,0.0293996710526316,0.666666666666667,30.1456486734957,-117.889253173814,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
49,49,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.47733333333333,3,0.666666666666667,0.189761513157895,0.333333333333333,21.4806485295062,-124.262283277985,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
1,1,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.26133333333333,3,0,0,1,12.9662635446754,-133.990037465709,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
8,8,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.34666666666667,3,0,0,1,-2.1231457472807,-147.303184124477,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
11,11,"DL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.05866666666667,3,0.333333333333333,0.0296658986175115,0.666666666666667,-7.28272258928752,-154.719933992676,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
17,17,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.05866666666667,3,0.333333333333333,0.0406839622641509,0.666666666666667,3.40305250078749,-142.943852093194,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
21,21,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.232,3,0.333333333333333,0.00854952830188679,0.666666666666667,24.1450745199817,-123.829487250719,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
25,25,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.05866666666667,3,0.333333333333333,0.0397995283018868,0.666666666666667,21.1001311759341,-126.640116053591,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
28,28,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.26133333333333,3,0,0,1,18.8737381658768,-128.129247512622,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
30,30,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.02933333333333,3,0.666666666666667,0.153036938309216,0.333333333333333,27.6209620960854,-118.150075456055,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
31,31,"DL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.12533333333333,3,0.333333333333333,0.198638613861386,0.666666666666667,19.8905360424242,-127.549952063075,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
36,36,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.26133333333333,3,0,0,1,33.0626141669153,-115.524175098627,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
39,39,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.05866666666667,3,0.333333333333333,0.311473727422003,0.666666666666667,28.5867033004417,-118.975340657973,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
46,46,"DL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.22933333333333,3,0.333333333333333,0.407965554359526,0.666666666666667,24.4575422947742,-122.485464399356,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
48,48,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.02933333333333,3,0.666666666666667,0.173054245283019,0.333333333333333,-1.87221605386166,-126.527973676465,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
3,3,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.48,2,0.5,0.151338447088291,0.5,44.4742663964249,-119.133231781543,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
5,5,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",25.552,2,0,0,1,48.316464680563,-115.149178892606,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
9,9,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.496595178459612,0,25.2800171111257,-138.333151015498,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
14,14,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",25.552,2,0,0,1,37.7624402350044,-116.993539940432,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
19,19,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",25.552,2,0,0,1,33.4547520883196,-130.126315006365,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
26,26,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.48,2,0.5,0.229610206637445,0.5,26.6627326167542,-136.936554837065,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
40,40,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",25.552,2,0,0,1,47.0530573746596,-116.559017136421,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
43,43,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.48,2,0.5,0.220922041327489,0.5,31.6760829084269,-131.973288156257,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
47,47,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",25.552,2,0,0,1,34.3328717655264,-129.292955932386,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
4,4,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.672,2,0.5,0.0989033870072182,0.5,23.2323154760584,-140.933775938127,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
6,6,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.672,2,0.5,0.142073847862299,0.5,24.8423974638534,-139.33156794918,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
10,10,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",28.816,2,0,0,1,30.0638545800603,-134.019321016292,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
29,29,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",28.816,2,0,0,1,47.7785920500247,-116.377638320402,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
35,35,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",19.096,2,0,0,1,17.9675235353666,-146.182153827,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
41,41,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.672,2,0.5,0.0416782343142698,0.5,25.7093964188226,-138.352459323389,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
45,45,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.672,2,0.5,0.153699333703498,0.5,23.9078298950812,-140.214862100767,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
50,50,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",28.816,2,0,0,1,38.9595235856328,-125.134870982399,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
2,2,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.304661254199328,0,15.8030237880401,-147.868885190838,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
12,12,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.48,2,0.5,0.023051033187226,0.5,34.9326782986199,-128.645208999951,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
13,13,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.48,2,0.5,0.214816844082655,0.5,23.1442462538517,-140.526286519666,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
15,15,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.271396797153025,0,22.239254034462,-141.396958221646,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
16,16,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.168601003764115,0,14.7706288992556,-148.888358300597,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
18,18,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",25.552,2,0,0,1,31.7485578247271,-131.759834451924,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
23,23,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.48,2,0.5,0.0926737633061991,0.5,30.7555249544054,-132.840879439342,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
24,24,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.323774608276416,0,20.9218493452693,-142.717468939738,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
33,33,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.360178795483061,0,15.5000684142078,-148.156501078739,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
8,8,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.270815450643777,0,12.9677613872869,-150.198528116177,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
20,20,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.308667083854819,0,17.2322693374571,-145.919527462831,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
22,22,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",22.76,2,0,0,1,63.3977214107539,-99.7075327313693,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
32,32,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.477021089630931,0,55.1724161512755,-107.888517934935,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
34,34,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.483831282952548,0,31.0469185676454,-132.006494950196,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
37,37,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.256,2,0.5,0.129261862917399,0.5,26.0313034949453,-137.072253682511,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
38,38,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",22.76,2,0,0,1,47.7155732750468,-115.364277849015,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
42,42,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.256,2,0.5,0.179461812425801,0.5,22.016446529096,-141.133022582991,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
44,44,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",22.76,2,0,0,1,48.9260196663964,-114.137917491279,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
49,49,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",22.76,2,0,0,1,48.1095286265578,-114.98132102896,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
1,1,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.318061735261402,0,19.9845339148978,-142.398881022635,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
7,7,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.505192557334487,0,30.426082150653,-131.756195918892,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
