Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,SelectedBeamGain_dB,BestBeamGain_dB,BeamGainGap_dB,BeamSelectionStrategy,ConfiguredBeamSelectionStrategy,AppliedBeamIndexSet,ExecutionModel,Status,TrialOrdinal,AbsoluteSlot,BeamDetectedFlag,MisalignmentFlag,BeamFailureFlag,PredictionSuccessFlag,TrialsSinceLastSwitch,StateBefore,StateAfter,BeamSweepEnabled,BeamCountConfigured
"DL",12,9,9,7,7,2,6,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","19|20","slot_coupled_truth","FAIL",3,189,1,1,0,0,0,"failed_alignment","misaligned",1,32
"DL",12,7,7,8,8,1,1,1,1,32,-144.228312492121,-144.228312492121,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",12,8,8,8,8,2,4,0,0,32,-144.453382704718,-144.438057990054,0.015324714664473,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",2,168,1,1,0,0,0,"aligned","misaligned",1,32
"DL",12,9,9,8,8,2,3,0,1,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","4|5","slot_coupled_truth","PASS",3,189,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,7,7,9,9,2,5,0,0,32,-135.353624517446,-135.200092264898,0.153532252548018,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,9,9,2,3,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","5|6","slot_coupled_truth","FAIL",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,9,9,2,11,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","PASS",3,189,1,1,0,0,2,"misaligned","misaligned",1,32
"DL",12,7,7,10,10,2,3,0,0,32,-104.71559484859,-104.693383408717,0.0222114398735727,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,10,10,2,4,0,0,32,-128.334282161351,-128.210297231892,0.123984929459084,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","FAIL",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,10,10,2,4,0,0,32,-138.152907933616,-138.080504722045,0.0724032115716966,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","FAIL",3,189,1,1,0,0,2,"misaligned","misaligned",1,32
"DL",12,7,7,11,11,2,2,1,1,32,-139.42351031787,-139.42351031787,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",12,8,8,11,11,1,31,0,0,32,-153.87442155661,-153.76354518982,0.110876366789995,"runtime_best_beam_per_link","runtime_best_beam_per_link","2|3","slot_coupled_truth","PASS",2,168,1,1,0,0,0,"aligned","misaligned",1,32
"DL",12,9,9,11,11,1,1,1,1,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","31","slot_coupled_truth","FAIL",3,189,1,0,0,1,1,"misaligned","aligned",1,32
"DL",12,7,7,12,12,1,32,0,1,32,-86.3915734773411,-86.3870715535192,0.00450192382182024,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,12,12,1,29,0,0,32,-98.1301781521235,-98.0113781763865,0.118799975737048,"runtime_best_beam_per_link","runtime_best_beam_per_link","32|33","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,12,12,2,2,1,1,32,-152.44756837525,-152.44756837525,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","29|30","slot_coupled_truth","PASS",3,189,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,7,7,13,13,2,3,0,0,32,-107.509235734795,-107.497623034,0.0116127007953253,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,13,13,2,3,0,0,32,-131.522383955942,-131.480920265174,0.0414636907673298,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,13,13,1,32,0,1,32,-150.848354029611,-150.83217822269,0.0161758069210975,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","PASS",3,189,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,7,7,14,14,2,9,0,0,32,-108.773193751257,-108.399673477357,0.373520273899913,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,14,14,1,1,1,1,32,-102.437865512354,-102.437865512354,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","9","slot_coupled_truth","PASS",2,168,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,9,9,14,14,1,1,1,1,32,-97.6617788874385,-97.6617788874385,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1","slot_coupled_truth","PASS",3,189,1,0,0,1,1,"aligned","aligned",1,32
"DL",12,7,7,15,15,2,12,0,0,32,-108.25655068169,-106.768315121331,1.48823556035858,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,15,15,2,3,0,1,32,-125.371361001089,-125.331660965025,0.0397000360642608,"runtime_best_beam_per_link","runtime_best_beam_per_link","11|12","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,15,15,1,1,1,1,32,-151.08862003366,-151.08862003366,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","3","slot_coupled_truth","FAIL",3,189,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,7,7,16,16,1,27,0,0,32,-113.526721622341,-113.18675003444,0.339971587901033,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,16,16,2,15,0,0,32,-151.958488199501,-147.259914389819,4.69857380968193,"runtime_best_beam_per_link","runtime_best_beam_per_link","27|28","slot_coupled_truth","PASS",2,168,1,1,1,0,0,"misaligned","failed_alignment",1,32
"DL",12,9,9,16,16,2,3,0,1,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","15|16","slot_coupled_truth","PASS",3,189,1,1,0,0,1,"failed_alignment","misaligned",1,32
"DL",12,7,7,17,17,2,16,0,0,32,-138.365661731456,-137.003772788814,1.36188894264157,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,17,17,2,14,0,0,32,-145.61228982522,-144.643861443442,0.968428381777784,"runtime_best_beam_per_link","runtime_best_beam_per_link","16|17","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,17,17,2,2,1,1,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","14|15","slot_coupled_truth","FAIL",3,189,1,0,0,1,2,"misaligned","aligned",1,32
"DL",12,7,7,18,18,2,15,0,0,32,-126.821399098898,-125.291024057591,1.53037504130742,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,18,18,1,1,1,1,32,-147.913237477271,-147.913237477271,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","15","slot_coupled_truth","FAIL",2,168,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,9,9,18,18,1,1,1,1,32,-113.471433553256,-113.471433553256,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1","slot_coupled_truth","PASS",3,189,1,0,0,1,1,"aligned","aligned",1,32
"DL",12,7,7,19,19,1,19,0,0,32,-114.742187728543,-113.968863879669,0.773323848874256,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,19,19,1,32,0,1,32,-139.449849221132,-139.431242210028,0.0186070111041943,"runtime_best_beam_per_link","runtime_best_beam_per_link","18|19","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,19,19,1,1,1,1,32,-151.037765126329,-151.037765126329,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","32","slot_coupled_truth","PASS",3,189,1,0,0,1,2,"misaligned","aligned",1,32
"DL",12,7,7,20,20,1,22,0,0,32,-123.933928755765,-123.066669067439,0.867259688325959,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,20,20,2,3,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","21|22","slot_coupled_truth","PASS",2,168,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,9,9,20,20,1,24,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","PASS",3,189,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,7,7,21,21,2,15,0,0,32,-118.614402368764,-117.430170338275,1.18423203048957,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,21,21,1,1,1,1,32,-138.87332228022,-138.87332228022,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","15|16","slot_coupled_truth","FAIL",2,168,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,9,9,21,21,2,17,0,0,32,-132.248619581131,-131.551541581889,0.697077999242026,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",3,189,1,1,0,0,0,"aligned","misaligned",1,32
"DL",12,7,7,22,22,2,3,0,0,32,-91.334353846657,-91.3252489692083,0.00910487744866373,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,22,22,1,28,0,0,32,-114.56368801406,-114.180726908293,0.38296110576708,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","FAIL",2,168,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,9,9,22,22,2,2,1,1,32,-125.135988552419,-125.135988552419,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","28|29","slot_coupled_truth","FAIL",3,189,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,7,7,23,23,1,1,1,1,32,-96.5048137522773,-96.5048137522773,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",12,8,8,23,23,1,28,0,0,32,-109.231794204982,-109.027259542895,0.204534662087639,"runtime_best_beam_per_link","runtime_best_beam_per_link","32|33","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"aligned","misaligned",1,32
"DL",12,9,9,23,23,2,2,1,1,32,-151.542869928094,-151.542869928094,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","27|28","slot_coupled_truth","FAIL",3,189,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,7,7,24,24,2,3,0,1,32,-120.413180352657,-120.410606335748,0.00257401690961956,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,24,24,2,3,0,0,32,-138.462435078728,-138.417197671865,0.0452374068628671,"runtime_best_beam_per_link","runtime_best_beam_per_link","2|3","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,24,24,2,3,0,0,32,-150.060621537027,-150.006658508827,0.0539630282003714,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","PASS",3,189,1,1,0,0,2,"misaligned","misaligned",1,32
"DL",12,7,7,25,25,1,26,0,0,32,-112.150232971548,-111.792972535998,0.35726043555006,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,25,25,2,6,0,0,32,-142.337765982099,-142.191960077573,0.14580590452573,"runtime_best_beam_per_link","runtime_best_beam_per_link","26|27","slot_coupled_truth","PASS",2,168,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,9,9,25,25,1,1,1,1,32,-143.566151711463,-143.566151711463,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","5|6","slot_coupled_truth","FAIL",3,189,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,7,7,26,26,1,1,1,1,32,-121.609517571585,-121.609517571585,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",12,8,8,26,26,1,1,1,1,32,-119.731048837452,-119.731048837452,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1","slot_coupled_truth","PASS",2,168,1,0,0,1,1,"aligned","aligned",1,32
"DL",12,9,9,26,26,1,1,1,1,32,-123.686798866117,-123.686798866117,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1","slot_coupled_truth","FAIL",3,189,1,0,0,1,2,"aligned","aligned",1,32
"DL",12,7,7,27,27,1,1,1,1,32,-138.840043013652,-138.840043013652,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",12,8,8,27,27,2,2,1,1,32,-138.86737400995,-138.86737400995,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",2,168,1,0,0,1,0,"aligned","aligned",1,32
"DL",12,9,9,27,27,1,1,1,1,32,-141.082470655722,-141.082470655722,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","2","slot_coupled_truth","PASS",3,189,1,0,0,1,0,"aligned","aligned",1,32
"DL",12,7,7,28,28,2,5,0,0,32,-117.169492000532,-117.133902147162,0.0355898533699133,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,28,28,2,3,0,0,32,-146.009771099885,-145.950258208387,0.0595128914978318,"runtime_best_beam_per_link","runtime_best_beam_per_link","4|5","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,28,28,2,2,1,1,32,-138.895587604521,-138.895587604521,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","PASS",3,189,1,0,0,1,2,"misaligned","aligned",1,32
"DL",12,7,7,29,29,1,25,0,0,32,-115.798273654286,-115.403385151544,0.394888502742162,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,29,29,1,29,0,0,32,-126.971462568911,-126.902225897661,0.0692366712498114,"runtime_best_beam_per_link","runtime_best_beam_per_link","25|26","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,29,29,2,3,0,1,32,-140.800411972044,-140.786118811846,0.0142931601981786,"runtime_best_beam_per_link","runtime_best_beam_per_link","29|30","slot_coupled_truth","FAIL",3,189,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,7,7,30,30,2,17,0,0,32,-117.218370199361,-117.151327875666,0.0670423236953468,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,30,30,2,11,0,0,32,-124.407975554841,-124.089403157955,0.318572396885912,"runtime_best_beam_per_link","runtime_best_beam_per_link","16|17","slot_coupled_truth","FAIL",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,30,30,2,7,0,0,32,-133.504139080117,-133.034862617761,0.469276462355651,"runtime_best_beam_per_link","runtime_best_beam_per_link","11|12","slot_coupled_truth","FAIL",3,189,1,1,0,0,2,"misaligned","misaligned",1,32
"DL",12,7,7,31,31,1,30,0,0,32,-115.926176925567,-115.880664525374,0.0455124001923508,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,31,31,2,3,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","30|31","slot_coupled_truth","FAIL",2,168,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,9,9,31,31,1,1,1,1,32,-126.495696014882,-126.495696014882,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","3","slot_coupled_truth","PASS",3,189,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,7,7,32,32,1,1,1,1,32,-122.433095927502,-122.433095927502,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",12,8,8,32,32,1,27,0,0,32,-135.616774013637,-135.56841284845,0.0483611651861793,"runtime_best_beam_per_link","runtime_best_beam_per_link","32|33","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"aligned","misaligned",1,32
"DL",12,9,9,32,32,1,1,1,1,32,-131.897562558597,-131.897562558597,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","26|27","slot_coupled_truth","PASS",3,189,1,0,0,1,2,"misaligned","aligned",1,32
"DL",12,7,7,33,33,1,25,0,0,32,-134.497880314055,-133.742219487783,0.75566082627202,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,33,33,1,26,0,0,32,-145.40166704958,-145.013011088602,0.388655960977758,"runtime_best_beam_per_link","runtime_best_beam_per_link","25|26","slot_coupled_truth","PASS",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,33,33,2,5,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","26|27","slot_coupled_truth","PASS",3,189,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,7,7,34,34,2,9,0,0,32,-82.6284303473862,-82.1575479518309,0.47088239555525,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,34,34,2,11,0,0,32,-78.6416368905827,-78.1646889013005,0.476947989282223,"runtime_best_beam_per_link","runtime_best_beam_per_link","9|10","slot_coupled_truth","FAIL",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,34,34,2,4,0,0,32,-148.704505070876,-148.643549943492,0.0609551273838633,"runtime_best_beam_per_link","runtime_best_beam_per_link","10|11","slot_coupled_truth","FAIL",3,189,1,1,0,0,2,"misaligned","misaligned",1,32
"DL",12,7,7,35,35,1,32,0,1,32,-121.208685852573,-121.206146390253,0.00253946232049884,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,35,35,2,2,1,1,32,-132.599387572572,-132.599387572572,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","32|33","slot_coupled_truth","PASS",2,168,1,0,0,1,0,"misaligned","aligned",1,32
"DL",12,9,9,35,35,2,2,1,1,32,-147.579486106503,-147.579486106503,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","2|3","slot_coupled_truth","FAIL",3,189,1,0,0,1,1,"aligned","aligned",1,32
"DL",12,7,7,36,36,1,28,0,0,32,-89.4639721546003,-89.1173080273403,0.346664127259984,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,36,36,2,3,0,1,32,-124.894069311975,-124.877739250579,0.0163300613961468,"runtime_best_beam_per_link","runtime_best_beam_per_link","27|28","slot_coupled_truth","PASS",2,168,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,9,9,36,36,2,2,1,1,32,-147.258364425498,-147.258364425498,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","PASS",3,189,1,0,0,1,1,"misaligned","aligned",1,32
"DL",12,7,7,37,37,1,27,0,0,32,-111.849464429286,-111.315686480838,0.533777948447877,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,37,37,2,13,0,0,32,-146.980239407997,-142.690848503809,4.28939090418791,"runtime_best_beam_per_link","runtime_best_beam_per_link","26|27","slot_coupled_truth","PASS",2,168,1,1,1,0,0,"misaligned","failed_alignment",1,32
"DL",12,9,9,37,37,2,3,0,1,32,-145.155170333166,-145.114636960879,0.0405333722866033,"runtime_best_beam_per_link","runtime_best_beam_per_link","12|13","slot_coupled_truth","FAIL",3,189,1,1,0,0,1,"failed_alignment","misaligned",1,32
"DL",12,7,7,38,38,1,26,0,0,32,-114.570729364865,-114.089506840101,0.481222524764291,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
