UEIndex,RNTI,Direction,SNR_dB,Frame,Slot,MCS,PRBs,Layers,ConfiguredLayers,ConfiguredTxAntennas,ConfiguredRxAntennas,ReceiverHestSINR_dB,WidebandCQI,RankIndicator,PMI,ChannelGain_dB,ConditionNumber_dB,RankEstimate,NumRxAntennas,NumTxPorts,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,SelectedBeamGain_dB,BestBeamGain_dB,BeamGainGap_dB,BeamSelectionStrategy,BeamIndexSet,ConfiguredBeamSelectionStrategy,AppliedBeamIndexSet,PrecoderSource,PrecodingMode,PrecodingApplicationStage,PrecodingActive,ExplicitBeamWeightsApplied,TransformPrecodingApplied,BeamformingApplied,AppliedPrecoderPMI,AppliedPrecoderPMIType,AppliedPrecoderCodebookMode,PrecodingNumPorts,PrecodingNumLayers,PrecodingMatrixRows,PrecodingMatrixCols,ExecutionModel,Status,BeamSweepEnabled,BeamCount
4,4,"DL",12,7,7,0,34,2,2,64,4,33.0234301387492,15,2,0,-111.528563606059,25.6263278631772,1,4,2,2,2,1,1,32,-114.039683687149,-114.039683687149,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
6,6,"DL",12,7,7,0,34,2,2,64,4,19.5545488825017,13,1,28,-123.530681401262,48.3700499334941,1,4,2,1,29,0,0,32,-126.365292971689,-126.310561839187,0.0547311325021695,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
10,10,"DL",12,7,7,0,34,2,2,64,4,41.7013738927902,15,2,2,-102.435383261481,32.8357280526636,1,4,2,2,3,0,0,32,-104.71559484859,-104.693383408717,0.0222114398735727,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
29,29,"DL",12,7,7,0,34,2,2,64,4,29.8683033460894,15,2,24,-112.880370429708,33.5477039287254,1,4,2,1,25,0,0,32,-115.798273654286,-115.403385151544,0.394888502742162,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
35,35,"DL",12,7,7,0,34,2,2,64,4,28.1420494366607,15,2,31,-118.773483629135,38.4490506877035,1,4,2,1,32,0,1,32,-121.208685852573,-121.206146390253,0.00253946232049884,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
41,41,"DL",12,7,7,0,34,2,2,64,4,35.3574129595148,15,2,26,-108.249059552152,31.9372006967163,1,4,2,1,27,0,0,32,-111.090775615694,-110.84453065313,0.246244962563253,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
45,45,"DL",12,7,7,0,34,2,2,64,4,20.9533249125383,14,1,25,-122.407802043127,32.7658357249894,1,4,2,1,26,0,0,32,-125.241930365328,-124.594328201698,0.647602163630097,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
50,50,"DL",12,7,7,0,34,2,2,64,4,40.8969628889655,15,2,20,-102.424807609436,40.8110270223093,1,4,2,1,21,0,0,32,-105.727094941267,-104.994853003689,0.732241937578536,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
2,2,"DL",12,7,7,0,27,2,2,64,4,34.3141077701394,15,2,7,-108.866386426512,30.591952527681,1,4,2,2,8,0,0,32,-112.776758233451,-112.5621581802,0.214600053250678,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
12,12,"DL",12,7,7,0,27,2,2,64,4,62.7096763861151,15,2,31,-82.955496127728,31.1516691818791,1,4,2,1,32,0,1,32,-86.3915734773411,-86.3870715535192,0.00450192382182024,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
13,13,"DL",12,7,7,0,27,2,2,64,4,38.0807314294599,15,2,2,-103.993498172067,46.5621000651508,1,4,2,2,3,0,0,32,-107.509235734795,-107.497623034,0.0116127007953253,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
15,15,"DL",12,7,7,0,27,2,2,64,4,39.4489749937097,15,2,10,-103.889232937948,34.6304940314005,1,4,2,2,12,0,0,32,-108.25655068169,-106.768315121331,1.48823556035858,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
16,16,"DL",12,7,7,0,27,2,2,64,4,32.1629350964918,15,2,26,-109.842229093407,27.4026070434529,1,4,2,1,27,0,0,32,-113.526721622341,-113.18675003444,0.339971587901033,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
18,18,"DL",12,7,7,0,27,2,2,64,4,23.4006275543323,15,1,14,-122.024082892236,38.8551907646724,1,4,2,2,15,0,0,32,-126.821399098898,-125.291024057591,1.53037504130742,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
23,23,"DL",12,7,7,0,27,2,2,64,4,49.9408433051755,15,2,31,-92.9536942965696,33.7936029273634,1,4,2,1,1,1,1,32,-96.5048137522773,-96.5048137522773,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
24,24,"DL",12,7,7,0,27,2,2,64,4,26.9819071154885,15,2,1,-117.430477129794,32.4248700708007,1,4,2,2,3,0,1,32,-120.413180352657,-120.410606335748,0.00257401690961956,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
33,33,"DL",12,7,7,0,27,2,2,64,4,13.2796989414142,10,1,24,-130.512317521115,35.4220250745147,1,4,2,1,25,0,0,32,-134.497880314055,-133.742219487783,0.75566082627202,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
34,34,"DL",12,7,7,0,27,2,2,64,4,35.547900487625,15,2,8,-78.7631196097584,40.6326396734709,1,4,2,2,9,0,0,32,-82.6284303473862,-82.1575479518309,0.47088239555525,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
20,20,"DL",12,7,7,0,30,2,2,64,4,21.2696238739457,14,2,20,-119.945422139455,32.3159815454042,1,4,2,1,22,0,0,32,-123.933928755765,-123.066669067439,0.867259688325959,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
22,22,"DL",12,7,7,0,30,2,2,64,4,54.2301769705067,15,2,2,-88.2057761977825,36.6551267811115,1,4,2,2,3,0,0,32,-91.334353846657,-91.3252489692083,0.00910487744866373,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
32,32,"DL",12,7,7,0,30,2,2,64,4,24.7109067128245,15,2,31,-119.66751365057,30.3790215315285,1,4,2,1,1,1,1,32,-122.433095927502,-122.433095927502,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
37,37,"DL",12,7,7,0,30,2,2,64,4,35.832142870611,15,2,25,-108.563260993024,27.3987145924378,1,4,2,1,27,0,0,32,-111.849464429286,-111.315686480838,0.533777948447877,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
38,38,"DL",12,7,7,0,30,2,2,64,4,30.270747614173,15,1,25,-111.187792343853,42.4140704656582,1,4,2,1,26,0,0,32,-114.570729364865,-114.089506840101,0.481222524764291,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
40,40,"DL",12,7,7,0,30,2,2,64,4,20.9361382535284,14,1,23,-122.977559058488,39.632553758686,1,4,2,1,24,0,0,32,-126.600039644457,-126.036408913728,0.563630730728818,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
42,42,"DL",12,7,7,0,30,2,2,64,4,22.2370099193392,15,2,9,-123.033257915101,26.731044494569,1,4,2,2,11,0,0,32,-126.600037906222,-126.193936134176,0.406101772046455,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
44,44,"DL",12,7,7,0,30,2,2,64,4,27.3346402041093,15,2,31,-113.530409195444,43.7905912679504,1,4,2,1,32,0,1,32,-116.898827632996,-116.897439212319,0.00138842067721612,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
49,49,"DL",12,7,7,0,30,2,2,64,4,22.3951748595462,15,1,11,-111.636777025566,42.8163242210268,1,4,2,2,12,0,0,32,-115.362591221121,-114.623643453419,0.7389477677023,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
1,1,"DL",12,7,7,0,21,2,2,64,4,32.0979935384073,15,2,1,-110.439709358151,34.6826419632991,1,4,2,2,2,1,1,32,-115.425733460234,-115.425733460234,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
8,8,"DL",12,7,7,0,21,2,2,64,4,3.32531956069372,4,1,0,-139.423063167723,31.3759573138083,1,4,2,1,1,1,1,32,-144.228312492121,-144.228312492121,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
11,11,"DL",12,7,7,0,21,2,2,64,4,8.64150930112338,7,1,1,-135.351757371216,39.2828202103241,1,4,2,2,2,1,1,32,-139.42351031787,-139.42351031787,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
17,17,"DL",12,7,7,0,21,2,2,64,4,8.15435458365945,7,1,15,-132.622466878328,42.1091145568685,1,4,2,2,16,0,0,32,-138.365661731456,-137.003772788814,1.36188894264157,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
21,21,"DL",12,7,7,0,21,2,2,64,4,31.0726933088417,15,2,14,-112.991891457333,31.6382243309154,1,4,2,2,15,0,0,32,-118.614402368764,-117.430170338275,1.18423203048957,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
25,25,"DL",12,7,7,0,21,2,2,64,4,35.9874256965909,15,2,25,-107.228748285493,29.2953958431719,1,4,2,1,26,0,0,32,-112.150232971548,-111.792972535998,0.35726043555006,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
28,28,"DL",12,7,7,0,21,2,2,64,4,28.4097714228964,15,2,3,-112.395030094342,30.1691784978644,1,4,2,2,5,0,0,32,-117.169492000532,-117.133902147162,0.0355898533699133,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
30,30,"DL",12,7,7,0,21,2,2,64,4,29.6914488865611,15,2,15,-112.173556075742,38.2758305464959,1,4,2,2,17,0,0,32,-117.218370199361,-117.151327875666,0.0670423236953468,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
31,31,"DL",12,7,7,0,21,2,2,64,4,31.0557296137101,15,2,29,-111.177454367028,33.7852396476533,1,4,2,1,30,0,0,32,-115.926176925567,-115.880664525374,0.0455124001923508,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
36,36,"DL",12,7,7,0,21,2,2,64,4,58.2527506862822,15,2,26,-84.8572041284318,47.3889066703023,1,4,2,1,28,0,0,32,-89.4639721546003,-89.1173080273403,0.346664127259984,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
39,39,"DL",12,7,7,0,21,2,2,64,4,44.2391209194543,15,2,1,-99.8887377782794,39.67253234278,1,4,2,2,3,0,1,32,-104.329179424045,-104.322080753414,0.00709867063125103,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
46,46,"DL",12,7,7,0,21,2,2,64,4,30.1104412597243,15,2,4,-110.605753172021,32.8644568644341,1,4,2,2,6,0,0,32,-114.966405725142,-114.740983834099,0.225421891042927,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
48,48,"DL",12,7,7,0,21,2,2,64,4,23.2801553324116,15,1,30,-91.9381595876685,38.2740364588571,1,4,2,1,31,0,0,32,-96.3100446315032,-96.2475100604665,0.0625345710366645,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
26,26,"DL",12,8,8,26,27,1,1,64,4,30.8735314918132,15,1,0,-115.805339520733,0,1,4,1,1,1,1,1,32,-119.731048837452,-119.731048837452,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,1,64,1,"slot_coupled_truth","PASS",1,32
14,14,"DL",12,8,8,13,27,1,1,64,4,12.3402714650325,9,1,0,-98.5323182360135,0,1,4,1,1,1,1,1,32,-102.437865512354,-102.437865512354,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","9","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,8,"type1","type1_su_mimo",64,1,64,1,"slot_coupled_truth","PASS",1,32
3,3,"DL",12,8,8,0,27,2,2,64,4,26.2177995984569,15,2,8,-126.985890564306,28.1473766982983,1,4,2,2,9,0,0,32,-130.881019736716,-130.316529770177,0.564489966539355,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","6|7","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,5,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","FAIL",1,32
5,5,"DL",12,8,8,0,27,2,2,64,4,-9.68022488543782,0,1,2,-164.193819641968,15.9580769088431,2,4,2,2,3,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","28|29","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,27,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
7,7,"DL",12,8,8,0,27,2,2,64,4,17.3006012182844,12,2,18,-111.414354392823,12.21082876424,2,4,2,1,19,0,0,32,-122.317513337476,-116.174585759091,6.14292757838564,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","3|4","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,2,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
9,9,"DL",12,8,8,0,27,2,2,64,4,-4.50500645464856,1,1,2,-158.88103885214,29.8187978397902,1,4,2,2,3,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","5|6","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,4,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","FAIL",1,32
19,19,"DL",12,8,8,0,27,2,2,64,4,17.1043555352419,12,1,31,-135.094914810431,27.5823153058075,1,4,2,1,32,0,1,32,-139.449849221132,-139.431242210028,0.0186070111041943,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","18|19","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,17,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
27,27,"DL",12,8,8,0,27,2,2,64,4,7.38732543691986,6,1,1,-135.118891434155,49.0720690922382,1,4,2,2,2,1,1,32,-138.86737400995,-138.86737400995,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
43,43,"DL",12,8,8,0,27,2,2,64,4,27.2861165730474,15,2,15,-125.70666943531,28.6344662255147,1,4,2,2,17,0,0,32,-130.103174528702,-129.247310245656,0.855864283046571,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","32|33","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,31,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
47,47,"DL",12,8,8,0,27,2,2,64,4,43.8918063161387,15,2,14,-110.742941424884,19.4250815926964,2,4,2,2,15,0,0,32,-118.08431546958,-112.642644837198,5.44167063238206,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","7|8","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,6,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
