Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,TrialOrdinal,AbsoluteSlot,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,BeamGainGap_dB,BeamSelectionStrategy,ExecutionModel,Status,EventType,AcquisitionEventFlag,SwitchEventFlag,FirstHitEventFlag,BeamDetectedEventFlag,MisalignmentEventFlag,FailureEventFlag,SwitchLatencySlots,SwitchLatency_s,TrialsToFirstHit,StateBefore,StateAfter
"DL",12,9,9,30,30,3,189,2,7,0,0,32,0.469276462355651,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,7,7,31,31,1,147,1,30,0,0,32,0.0455124001923508,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,3,"uninitialized","misaligned"
"DL",12,8,8,31,31,2,168,2,3,0,0,32,0,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,3,"misaligned","misaligned"
"DL",12,9,9,31,31,3,189,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_REFINEMENT_CONVERGED",0,1,1,0,0,0,21,0.0105,3,"misaligned","aligned"
"DL",12,7,7,32,32,1,147,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_REFINEMENT_CONVERGED|BEAM_DETECTED",1,0,1,1,0,0,NaN,NaN,1,"uninitialized","aligned"
"DL",12,8,8,32,32,2,168,1,27,0,0,32,0.0483611651861793,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,1,"aligned","misaligned"
"DL",12,9,9,32,32,3,189,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_TRACK",0,0,0,0,0,0,NaN,NaN,1,"misaligned","aligned"
"DL",12,7,7,33,33,1,147,1,25,0,0,32,0.75566082627202,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,33,33,2,168,1,26,0,0,32,0.388655960977758,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,9,9,33,33,3,189,2,5,0,0,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,42,0.021,NaN,"misaligned","misaligned"
"DL",12,7,7,34,34,1,147,2,9,0,0,32,0.47088239555525,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
