route,page,kind,section_slug,artifact
/reports/run-trial-scenario-overview/charts/truth-policy-violations-by-category,reports,reports,run-trial-scenario-overview,truth policy violations by category
/reports/scenario-geometry-topology-layout/charts/bs-sector-ue-topology-scatter-plot,reports,reports,scenario-geometry-topology-layout,BS/sector/UE topology scatter plot
/reports/scenario-geometry-topology-layout/charts/ue-trajectory-overlay,reports,reports,scenario-geometry-topology-layout,UE trajectory overlay
/reports/scenario-geometry-topology-layout/charts/serving-cell-map,reports,reports,scenario-geometry-topology-layout,serving cell map
/reports/scenario-geometry-topology-layout/charts/candidate-cell-rank-heatmap,reports,reports,scenario-geometry-topology-layout,candidate cell rank heatmap
/reports/scenario-geometry-topology-layout/charts/distance-distribution-histogram,reports,reports,scenario-geometry-topology-layout,distance distribution histogram
/reports/scenario-geometry-topology-layout/charts/azimuth-elevation-rose-plots,reports,reports,scenario-geometry-topology-layout,azimuth/elevation rose plots
/reports/scenario-geometry-topology-layout/charts/path-geometry-summary-charts,reports,reports,scenario-geometry-topology-layout,path geometry summary charts
/reports/mobility-access-cell-selection-reselection-handover/charts/serving-cell-timeline,reports,reports,mobility-access-cell-selection-reselection-handover,serving cell timeline
/reports/mobility-access-cell-selection-reselection-handover/charts/selected-beam-timeline,reports,reports,mobility-access-cell-selection-reselection-handover,selected beam timeline
/reports/mobility-access-cell-selection-reselection-handover/charts/mobility-event-timeline,reports,reports,mobility-access-cell-selection-reselection-handover,mobility event timeline
/reports/mobility-access-cell-selection-reselection-handover/charts/hysteresis-ttt-scatter,reports,reports,mobility-access-cell-selection-reselection-handover,hysteresis / TTT scatter
/reports/mobility-access-cell-selection-reselection-handover/charts/access-state-transition-sankey,reports,reports,mobility-access-cell-selection-reselection-handover,access state transition Sankey
/reports/mobility-access-cell-selection-reselection-handover/charts/doppler-vs-speed-plot,reports,reports,mobility-access-cell-selection-reselection-handover,Doppler vs speed plot
/reports/mobility-access-cell-selection-reselection-handover/charts/selection-reselection-trigger-histogram,reports,reports,mobility-access-cell-selection-reselection-handover,selection/reselection trigger histogram
