RunID,FamilyID,PairID,OperatingPointKey,Metric,BaselineValue,TreatmentValue,AbsoluteEffect,RelativeEffect,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,Conclusion,Status,ExecutionBackend,ApproximationMode,EvidenceClass
PDCCH_IMPACT_R18,F13,F13-P01,F13-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F14,F14-P01,F14-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F15,F15-P01,F15-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F16,F16-P01,F16-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F17,F17-P01,F17-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F18,F18-P01,F18-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F19,F19-P01,F19-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F20,F20-P01,F20-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F21,F21-P01,F21-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F22,F22-P01,F22-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F23,F23-P01,F23-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F24,F24-P01,F24-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F25,F25-P01,F25-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F26,F26-P01,F26-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F27,F27-P01,F27-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F28,F28-P01,F28-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F29,F29-P01,F29-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F30,F30-P01,F30-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F31,F31-P01,F31-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F32,F32-P01,F32-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F33,F33-P01,F33-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F34,F34-P01,F34-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F35,F35-P01,F35-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F36,F36-P01,F36-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F37,F37-P01,F37-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F38,F38-P01,F38-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F39,F39-P01,F39-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F40,F40-P01,F40-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F41,F41-P01,F41-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F42,F42-P01,F42-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F43,F43-P01,F43-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F44,F44-P01,F44-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F45,F45-P01,F45-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F46,F46-P01,F46-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F47,F47-P01,F47-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F48,F48-P01,F48-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F49,F49-P01,F49-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F50,F50-P01,F50-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
