Case,SignalPresent,DetectionMetric,DetectionThreshold,ReceiverDTX,FeedbackOutcome,FeedbackOutcomeReason,FalseAck,FalseNack,MissedFeedback,ReceiverFalseAlarm,Source
NO_SIGNAL_35,0,0.310463429995146,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_36,0,0.333357367317501,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_37,0,0.359932428982235,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_38,0,0.260072328476233,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_39,0,0.389518725182931,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_40,0,0.419755882782972,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_41,0,0.396663229047682,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_42,0,0.349718771704984,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_43,0,0.299526938950354,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_44,0,0.265062110296073,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_45,0,0.274822433785741,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_46,0,0.373621373714202,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_47,0,0.225356345880359,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_48,0,0.392404515831566,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_49,0,0.210336152642367,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_50,0,0.451998777771183,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_51,0,0.238940200024998,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_52,0,0.279563228544723,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_53,0,0.267083888715226,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_54,0,0.279892081333714,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_55,0,0.288921498337462,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_56,0,0.35377693827546,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_57,0,0.361394748033544,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_58,0,0.347916037474504,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_59,0,0.184992014503404,0.2,1,DTX,receiver_reported_dtx,0,0,1,0,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_60,0,0.257649680766205,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_61,0,0.32895728576924,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_62,0,0.451000717333707,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_63,0,0.290700584233362,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_64,0,0.408403065753461,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
