CaseID,ChannelModel,ConcreteProfile,Rank,Modulation,NumerologyKHz,MappingType,DMRSConfigurationType,DMRSLength,DMRSAdditionalPosition,DMRSMultiplexing,DMRSPortSet,PTRSEnabled,ReservationApplied,ReservationSource,ReservedRECount,BaselineG,ReservedG,ReservationReducedG,RV,PRBSet,PrecodingMode,PrecodingPageCount,SNRdB,Trials,TBErrors,BLER,MeasuredSINRdB,ChannelEstimateSource,PostEqSINRSource,ChannelEstimateScope,ExecutionBackend,Status
TRUTH-COV-006-reserved_re,CDL-C,CDL-C,3,QPSK,60,B,1,2,1,basic,0|1|2,0,1,RateMatchPattern,3,3888,3870,1,0,0|1|2|3|4|5,prg_codebook,3,65,1,0,0,43.5153381281106,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-006-impairment,CDL-C,CDL-C,3,QPSK,60,B,1,2,1,basic,0|1|2,0,0,not_requested,0,3888,3888,0,0,0|1|2|3|4|5,prg_codebook,3,55,1,0,0,42.1775051929179,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-009-positive,TDL-A,TDL-A,5,QPSK,15,A,1,1,1,enhanced,0|1|2|3|8,0,0,not_requested,0,8640,8640,0,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,46.9045659473747,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-009-reserved_re,TDL-A,TDL-A,5,QPSK,15,A,1,1,1,enhanced,0|1|2|3|8,0,1,RateMatchPattern,3,8640,8610,1,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,46.8759838462102,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-009-impairment,TDL-A,TDL-A,5,QPSK,15,A,1,1,1,enhanced,0|1|2|3|8,0,0,not_requested,0,8640,8640,0,0,0|1|2|3|4|5,prg_noncodebook,3,55,1,0,0,46.6328440876732,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-010-positive,TDL-A,TDL-A,5,64QAM,15,B,1,1,2,enhanced,0|1|2|3|8,0,0,not_requested,0,21600,21600,0,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,46.0601841079514,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-010-reserved_re,TDL-A,TDL-A,5,64QAM,15,B,1,1,2,enhanced,0|1|2|3|8,0,1,RateMatchPattern,3,21600,21510,1,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,46.181275541367,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-010-impairment,TDL-A,TDL-A,5,64QAM,15,B,1,1,2,enhanced,0|1|2|3|8,0,0,not_requested,0,21600,21600,0,0,0|1|2|3|4|5,prg_noncodebook,3,55,1,0,0,45.8362124983143,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-011-positive,CDL-C,CDL-C,6,16QAM,30,A,2,1,2,basic,0|1|2|3|4|5,0,0,not_requested,0,19008,19008,0,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,24.6565234578403,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-011-reserved_re,CDL-C,CDL-C,6,16QAM,30,A,2,1,2,basic,0|1|2|3|4|5,0,1,RateMatchPattern,3,19008,18936,1,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,24.462050331221,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-011-impairment,CDL-C,CDL-C,6,16QAM,30,A,2,1,2,basic,0|1|2|3|4|5,0,0,not_requested,0,19008,19008,0,0,0|1|2|3|4|5,prg_noncodebook,3,55,1,0,0,24.3386621306676,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-012-positive,CDL-C,CDL-C,6,256QAM,30,B,2,2,0,basic,0|1|2|3|4|5,1,0,not_requested,0,37296,37296,0,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,25.721452051502,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-012-reserved_re,CDL-C,CDL-C,6,256QAM,30,B,2,2,0,basic,0|1|2|3|4|5,1,1,RateMatchPattern,3,37296,37152,1,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,25.8450860787942,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-012-impairment,CDL-C,CDL-C,6,256QAM,30,B,2,2,0,basic,0|1|2|3|4|5,1,0,not_requested,0,37296,37296,0,0,0|1|2|3|4|5,prg_noncodebook,3,55,1,1,1,19.6900369645845,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-015-positive,TDL-A,TDL-A,8,256QAM,120,A,2,1,0,enhanced,0|1|2|3|4|5|12|13,1,0,not_requested,0,58752,58752,0,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,20.3847831586178,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-015-reserved_re,TDL-A,TDL-A,8,256QAM,120,A,2,1,0,enhanced,0|1|2|3|4|5|12|13,1,1,RateMatchPattern,3,58752,58560,1,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,20.486081448842,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-015-impairment,TDL-A,TDL-A,8,256QAM,120,A,2,1,0,enhanced,0|1|2|3|4|5|12|13,1,0,not_requested,0,58752,58752,0,0,0|1|2|3|4|5,prg_noncodebook,3,55,1,0,0,20.3518639470738,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-016-positive,TDL-A,TDL-A,8,QPSK,120,B,2,1,2,enhanced,0|1|2|3|4|5|12|13,0,0,not_requested,0,11520,11520,0,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,21.8650787255576,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-016-reserved_re,TDL-A,TDL-A,8,QPSK,120,B,2,1,2,enhanced,0|1|2|3|4|5|12|13,0,1,RateMatchPattern,3,11520,11472,1,0,0|1|2|3|4|5,prg_noncodebook,3,65,1,0,0,21.8187213116958,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-016-impairment,TDL-A,TDL-A,8,QPSK,120,B,2,1,2,enhanced,0|1|2|3|4|5|12|13,0,0,not_requested,0,11520,11520,0,0,0|1|2|3|4|5,prg_noncodebook,3,55,1,0,0,21.8665297932257,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
