CaseID,TestKind,Rank,Modulation,ChannelModel,ProductionTXExecuted,ProductionRXExecuted,ExpectedStatus,ActualStatus,ErrorIdentifier,Status,ExecutionBackend,ChannelEstimateScope,ReceiverCRCPass,EvidenceDetail
COV-006,positive,3,QPSK,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-006,no_signal,3,QPSK,CDL-C,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-006,wrong_rnti,3,QPSK,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-006,wrong_dmrs,3,QPSK,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-006,wrong_rv,3,QPSK,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-006,reserved_re,3,QPSK,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-006,impairment,3,QPSK,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
COV-007,positive,4,1024QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,exact_explicit_awgn_tx_rx_round_trip
COV-007,no_signal,4,1024QAM,AWGN,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-007,wrong_rnti,4,1024QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-007,wrong_dmrs,4,1024QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-007,wrong_rv,4,1024QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-007,reserved_re,4,1024QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,legal_rate_match_reservation_applied_before_coding
COV-007,impairment,4,1024QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,deterministic_phase_ramp_plus_awgn_receiver_execution
COV-008,positive,4,16QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,exact_explicit_awgn_tx_rx_round_trip
COV-008,no_signal,4,16QAM,AWGN,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-008,wrong_rnti,4,16QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-008,wrong_dmrs,4,16QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-008,wrong_rv,4,16QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-008,reserved_re,4,16QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,legal_rate_match_reservation_applied_before_coding
COV-008,impairment,4,16QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,deterministic_phase_ramp_plus_awgn_receiver_execution
COV-009,positive,5,QPSK,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-009,no_signal,5,QPSK,TDL-A,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-009,wrong_rnti,5,QPSK,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-009,wrong_dmrs,5,QPSK,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-009,wrong_rv,5,QPSK,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-009,reserved_re,5,QPSK,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-009,impairment,5,QPSK,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
COV-010,positive,5,64QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-010,no_signal,5,64QAM,TDL-A,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-010,wrong_rnti,5,64QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-010,wrong_dmrs,5,64QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-010,wrong_rv,5,64QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
