CaseID,TimeDensity,FrequencyDensity,REOffset,PTRSPortSet,AssociatedDMRSPort,PTRSRECount,ExpectedPresent,PresenceReason,CPEBeforeDeg,CPEAfterDeg,EVMBeforePercent,EVMAfterPercent,Status,PlotCoordinates0Based
PTRS-023,4,4,10,0,0,18,1,PTRSPresent,4.2793922446798804,1.8545390356658962e-15,9.5729781766733826,1.1067837678215251e-14,PASS,6:0|54:0|102:0|150:0|198:0|246:0|6:6|54:6|102:6|150:6|198:6|246:6|6:10|54:10|102:10|150:10|198:10|246:10
PTRS-024,4,4,11,0,0,18,1,PTRSPresent,6.4502459656707671,2.3068982313619297e-15,13.95787861628823,1.1745641750942417e-14,PASS,8:0|56:0|104:0|152:0|200:0|248:0|8:6|56:6|104:6|152:6|200:6|248:6|8:10|56:10|104:10|152:10|200:10|248:10
PTRS-025,1,2,00,0,0,84,1,PTRSPresent,1.6457595969263119,2.4312203618664063e-15,3.567988894210679,1.2439254391280445e-14,PASS,0:1|24:1|48:1|72:1|96:1|120:1|144:1|168:1|192:1|216:1|240:1|264:1|0:2|24:2|48:2|72:2|96:2|120:2|144:2|168:2|192:2|216:2|240:2|264:2|0:3|24:3|48:3|72:3|96:3|120:3|144:3|168:3|192:3|216:3|240:3|264:3|0:4|24:4|48:4|72:4|96:4|120:4|144:4|168:4|192:4|216:4|240:4|264:4|0:5|24:5|48:5|72:5|96:5|120:5|144:5|168:5|192:5|216:5|240:5|264:5|0:6|24:6|48:6|72:6|96:6|120:6|144:6|168:6|192:6|216:6|240:6|264:6|0:7|24:7|48:7|72:7|96:7|120:7|144:7|168:7|192:7|216:7|240:7|264:7
PTRS-026,1,2,01,0,0,84,1,PTRSPresent,1.4098731138094365,3.0181785924814065e-15,2.6852246695610393,1.262495565280186e-14,PASS,2:1|26:1|50:1|74:1|98:1|122:1|146:1|170:1|194:1|218:1|242:1|266:1|2:2|26:2|50:2|74:2|98:2|122:2|146:2|170:2|194:2|218:2|242:2|266:2|2:3|26:3|50:3|74:3|98:3|122:3|146:3|170:3|194:3|218:3|242:3|266:3|2:4|26:4|50:4|74:4|98:4|122:4|146:4|170:4|194:4|218:4|242:4|266:4|2:5|26:5|50:5|74:5|98:5|122:5|146:5|170:5|194:5|218:5|242:5|266:5|2:6|26:6|50:6|74:6|98:6|122:6|146:6|170:6|194:6|218:6|242:6|266:6|2:7|26:7|50:7|74:7|98:7|122:7|146:7|170:7|194:7|218:7|242:7|266:7
PTRS-027,1,2,10,0,0,84,1,PTRSPresent,1.4098731138094365,3.0181785924814065e-15,2.6852246695610393,1.262495565280186e-14,PASS,6:1|30:1|54:1|78:1|102:1|126:1|150:1|174:1|198:1|222:1|246:1|270:1|6:2|30:2|54:2|78:2|102:2|126:2|150:2|174:2|198:2|222:2|246:2|270:2|6:3|30:3|54:3|78:3|102:3|126:3|150:3|174:3|198:3|222:3|246:3|270:3|6:4|30:4|54:4|78:4|102:4|126:4|150:4|174:4|198:4|222:4|246:4|270:4|6:5|30:5|54:5|78:5|102:5|126:5|150:5|174:5|198:5|222:5|246:5|270:5|6:6|30:6|54:6|78:6|102:6|126:6|150:6|174:6|198:6|222:6|246:6|270:6|6:7|30:7|54:7|78:7|102:7|126:7|150:7|174:7|198:7|222:7|246:7|270:7
PTRS-028,1,2,11,0,0,84,1,PTRSPresent,2.1021838949228329,3.7477481463104681e-15,4.5957618749069962,1.4051552008969717e-14,PASS,8:1|32:1|56:1|80:1|104:1|128:1|152:1|176:1|200:1|224:1|248:1|272:1|8:2|32:2|56:2|80:2|104:2|128:2|152:2|176:2|200:2|224:2|248:2|272:2|8:3|32:3|56:3|80:3|104:3|128:3|152:3|176:3|200:3|224:3|248:3|272:3|8:4|32:4|56:4|80:4|104:4|128:4|152:4|176:4|200:4|224:4|248:4|272:4|8:5|32:5|56:5|80:5|104:5|128:5|152:5|176:5|200:5|224:5|248:5|272:5|8:6|32:6|56:6|80:6|104:6|128:6|152:6|176:6|200:6|224:6|248:6|272:6|8:7|32:7|56:7|80:7|104:7|128:7|152:7|176:7|200:7|224:7|248:7|272:7
PTRS-029,1,4,00,0,0,42,1,PTRSPresent,6.7664863715794619,2.9792721518319918e-15,13.364145238951854,1.2363941040500834e-14,PASS,0:1|48:1|96:1|144:1|192:1|240:1|0:2|48:2|96:2|144:2|192:2|240:2|0:3|48:3|96:3|144:3|192:3|240:3|0:4|48:4|96:4|144:4|192:4|240:4|0:5|48:5|96:5|144:5|192:5|240:5|0:6|48:6|96:6|144:6|192:6|240:6|0:7|48:7|96:7|144:7|192:7|240:7
PTRS-030,1,4,01,0,0,42,1,PTRSPresent,2.5610477202280975,2.4736246273115771e-15,5.115759739418543,1.1995040132134188e-14,PASS,2:1|50:1|98:1|146:1|194:1|242:1|2:2|50:2|98:2|146:2|194:2|242:2|2:3|50:3|98:3|146:3|194:3|242:3|2:4|50:4|98:4|146:4|194:4|242:4|2:5|50:5|98:5|146:5|194:5|242:5|2:6|50:6|98:6|146:6|194:6|242:6|2:7|50:7|98:7|146:7|194:7|242:7
PTRS-031,1,4,10,0,0,42,1,PTRSPresent,2.5610477202280975,2.4736246273115771e-15,5.115759739418543,1.1995040132134188e-14,PASS,6:1|54:1|102:1|150:1|198:1|246:1|6:2|54:2|102:2|150:2|198:2|246:2|6:3|54:3|102:3|150:3|198:3|246:3|6:4|54:4|102:4|150:4|198:4|246:4|6:5|54:5|102:5|150:5|198:5|246:5|6:6|54:6|102:6|150:6|198:6|246:6|6:7|54:7|102:7|150:7|198:7|246:7
PTRS-032,1,4,11,0,0,42,1,PTRSPresent,2.0666997551498523,2.2085187293447407e-15,4.0699791111847432,1.295377542214987e-14,PASS,8:1|56:1|104:1|152:1|200:1|248:1|8:2|56:2|104:2|152:2|200:2|248:2|8:3|56:3|104:3|152:3|200:3|248:3|8:4|56:4|104:4|152:4|200:4|248:4|8:5|56:5|104:5|152:5|200:5|248:5|8:6|56:6|104:6|152:6|200:6|248:6|8:7|56:7|104:7|152:7|200:7|248:7
PTRS-033,2,2,00,0,0,36,1,PTRSPresent,1.6477344078922038,4.3603341824842354e-15,3.5427560891486474,1.5671507580393721e-14,PASS,0:2|24:2|48:2|72:2|96:2|120:2|144:2|168:2|192:2|216:2|240:2|264:2|0:4|24:4|48:4|72:4|96:4|120:4|144:4|168:4|192:4|216:4|240:4|264:4|0:6|24:6|48:6|72:6|96:6|120:6|144:6|168:6|192:6|216:6|240:6|264:6
PTRS-034,2,2,01,0,0,36,1,PTRSPresent,4.7473220694767555,2.6553021077608045e-15,9.4063720415814185,1.3336241051000553e-14,PASS,2:2|26:2|50:2|74:2|98:2|122:2|146:2|170:2|194:2|218:2|242:2|266:2|2:4|26:4|50:4|74:4|98:4|122:4|146:4|170:4|194:4|218:4|242:4|266:4|2:6|26:6|50:6|74:6|98:6|122:6|146:6|170:6|194:6|218:6|242:6|266:6
