CaseID,Mode,PRG,SymbolGroup,PRBStart,PRBEnd,NPorts,NLayers,MatrixDigest,AppliedMatrixDigest,NormalizationConvention,TXApplicationCount,RXApplicationCount,PowerRelativeError,Status
PREC-007,prb_explicit,5,0,10,10,4,2,adb024a41c162b5342b11e3cf7f7419fa9de872b8c853587bc016b80526aa55d,adb024a41c162b5342b11e3cf7f7419fa9de872b8c853587bc016b80526aa55d,semi_unitary,1,1,1.0007415106216801e-16,PASS
PREC-008,prg_symbol_selective,0,0,0,1,4,2,0d681a9379f36e7ab6ed8c8db1132d30be3b3d6ae95f6b2545e53ab5442bf89a,0d681a9379f36e7ab6ed8c8db1132d30be3b3d6ae95f6b2545e53ab5442bf89a,semi_unitary,1,1,5.7219584981527968e-17,PASS
PREC-008,prg_symbol_selective,1,0,2,3,4,2,a61e7462154ebdb5e701bf8e9166d077fa89a1b71dd4b4f2a295da3527557e48,a61e7462154ebdb5e701bf8e9166d077fa89a1b71dd4b4f2a295da3527557e48,semi_unitary,1,1,5.594315114139762e-17,PASS
PREC-008,prg_symbol_selective,2,0,4,5,4,2,b3ebd8af178d2739b642b287d5e66c8ab24f1d066cc95ebdcc8a2c0157d65620,b3ebd8af178d2739b642b287d5e66c8ab24f1d066cc95ebdcc8a2c0157d65620,semi_unitary,1,1,5.594315114139762e-17,PASS
PREC-008,prg_symbol_selective,3,0,6,7,4,2,13f5787d6dc194f9a116d3474a68d309b8562a984a903801ae7af4ddf2e1f3f7,13f5787d6dc194f9a116d3474a68d309b8562a984a903801ae7af4ddf2e1f3f7,semi_unitary,1,1,4.1633363423443364e-17,PASS
PREC-008,prg_symbol_selective,0,1,0,1,4,2,b3ebd8af178d2739b642b287d5e66c8ab24f1d066cc95ebdcc8a2c0157d65620,b3ebd8af178d2739b642b287d5e66c8ab24f1d066cc95ebdcc8a2c0157d65620,semi_unitary,1,1,5.594315114139762e-17,PASS
PREC-008,prg_symbol_selective,1,1,2,3,4,2,13f5787d6dc194f9a116d3474a68d309b8562a984a903801ae7af4ddf2e1f3f7,13f5787d6dc194f9a116d3474a68d309b8562a984a903801ae7af4ddf2e1f3f7,semi_unitary,1,1,4.1633363423443364e-17,PASS
PREC-008,prg_symbol_selective,2,1,4,5,4,2,41f739eaae929a51b0d3a32864d1203ca2c1e831557de494163a35194c9a364e,41f739eaae929a51b0d3a32864d1203ca2c1e831557de494163a35194c9a364e,semi_unitary,1,1,7.8504622934188746e-17,PASS
PREC-008,prg_symbol_selective,3,1,6,7,4,2,adb024a41c162b5342b11e3cf7f7419fa9de872b8c853587bc016b80526aa55d,adb024a41c162b5342b11e3cf7f7419fa9de872b8c853587bc016b80526aa55d,semi_unitary,1,1,1.0007415106216801e-16,PASS
PREC-008,prg_symbol_selective,0,2,0,1,4,2,41f739eaae929a51b0d3a32864d1203ca2c1e831557de494163a35194c9a364e,41f739eaae929a51b0d3a32864d1203ca2c1e831557de494163a35194c9a364e,semi_unitary,1,1,7.8504622934188746e-17,PASS
PREC-008,prg_symbol_selective,1,2,2,3,4,2,adb024a41c162b5342b11e3cf7f7419fa9de872b8c853587bc016b80526aa55d,adb024a41c162b5342b11e3cf7f7419fa9de872b8c853587bc016b80526aa55d,semi_unitary,1,1,1.0007415106216801e-16,PASS
PREC-008,prg_symbol_selective,2,2,4,5,4,2,3389812b56fdd6850ed5340a7ec8a6de118caad3fa074ec5de517f7f9baa4a93,3389812b56fdd6850ed5340a7ec8a6de118caad3fa074ec5de517f7f9baa4a93,semi_unitary,1,1,7.8504622934188746e-17,PASS
PREC-008,prg_symbol_selective,3,2,6,7,4,2,2d902041891a4000cbee0d0b56e4eac898e0a4ae8ff52f182f952258ba833c7d,2d902041891a4000cbee0d0b56e4eac898e0a4ae8ff52f182f952258ba833c7d,semi_unitary,1,1,7.8504622934188746e-17,PASS
PREC-009,wideband_fixed_matrix,0,0,0,51,8,8,090b9bb575d7ab24376e1e2a363456338589871404f82bc9bc2796be89e4eed4,090b9bb575d7ab24376e1e2a363456338589871404f82bc9bc2796be89e4eed4,semi_unitary,1,1,9.5618660797025506e-16,PASS
