CaseID,Domain,Codeword,Layer,Port,PRB,Symbol,Subcarrier,LinearIndex0Based,Status
MAP-EXPLICIT-001,DATA,0,0,0,0,9,6,114,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,7,115,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,8,116,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,9,117,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,10,118,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,11,119,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,1,121,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,2,122,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,3,123,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,4,124,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,5,125,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,6,126,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,7,127,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,8,128,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,9,129,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,10,130,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,10,11,131,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,11,1,133,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,11,3,135,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,11,5,137,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,11,7,139,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,11,9,141,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,11,11,143,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,0,144,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,1,145,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,2,146,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,3,147,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,4,148,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,5,149,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,6,150,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,7,151,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,8,152,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,9,153,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,10,154,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,12,11,155,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,1,157,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,2,158,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,3,159,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,4,160,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,5,161,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,6,162,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,7,163,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,8,164,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,9,165,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,10,166,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,13,11,167,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,2,0,24,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,2,2,26,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,2,4,28,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,2,6,30,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,2,8,32,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,2,10,34,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,5,0,60,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,5,2,62,PASS
