CaseID,ProfileID,Fc_GHz,Scenario,TableOrEquation,ExpectedValue,ActualValue,Status
"PL-0136","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",118.105926484886,118.105926484886,"PASS"
"PL-0137","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",104.251684326547,104.251684326547,"PASS"
"PL-0138","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",128.690935619495,128.690935619495,"PASS"
"PL-0139","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",112.60151294838,112.60151294838,"PASS"
"PL-0140","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",142.72659992191,142.72659992191,"PASS"
"PL-0141","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",119.785767064999,119.785767064999,"PASS"
"PL-0142","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",153.351297615632,153.351297615632,"PASS"
"PL-0143","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",131.826496246166,131.826496246166,"PASS"
"PL-0144","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",163.977241118012,163.977241118012,"PASS"
"PL-0193","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",80.9002288256998,80.9002288256998,"PASS"
"PL-0194","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",80.9002288256998,80.9002288256998,"PASS"
"PL-0195","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",85.76641910946,85.76641910946,"PASS"
"PL-0196","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",89.8822928465082,89.8822928465082,"PASS"
"PL-0197","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",90.8182791085209,90.8182791085209,"PASS"
"PL-0198","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",99.2936613295137,99.2936613295137,"PASS"
"PL-0199","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",105.231786188424,105.231786188424,"PASS"
"PL-0200","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",125.442526637155,125.442526637155,"PASS"
"PL-0201","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",112.079510511466,112.079510511466,"PASS"
"PL-0202","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",137.044170457001,137.044170457001,"PASS"
"PL-0203","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",124.640882679438,124.640882679438,"PASS"
"PL-0204","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",155.468618107172,155.468618107172,"PASS"
"PL-0205","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",131.979302869327,131.979302869327,"PASS"
"PL-0206","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",164.03871773073,164.03871773073,"PASS"
"PL-0207","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",144.318718823124,144.318718823124,"PASS"
"PL-0208","REL19-RMa",7.5,"RMa","TR38.901-V19.2.0 closed form",175.668244239463,175.668244239463,"PASS"
"PL-0209","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",86.9208287389795,86.9208287389795,"PASS"
"PL-0210","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",86.9208287389795,86.9208287389795,"PASS"
"PL-0211","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",91.7870190227396,91.7870190227396,"PASS"
"PL-0212","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",95.9028927597879,95.9028927597879,"PASS"
"PL-0213","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",96.8388790218005,96.8388790218005,"PASS"
"PL-0214","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",105.314261242793,105.314261242793,"PASS"
"PL-0215","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",111.252386101703,111.252386101703,"PASS"
"PL-0216","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",131.463126550434,131.463126550434,"PASS"
"PL-0217","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",118.100110424745,118.100110424745,"PASS"
"PL-0218","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",143.064770370281,143.064770370281,"PASS"
"PL-0219","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",130.661482592717,130.661482592717,"PASS"
"PL-0220","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",161.489218020452,161.489218020452,"PASS"
"PL-0221","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",137.999902782607,137.999902782607,"PASS"
"PL-0222","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",170.059317644009,170.059317644009,"PASS"
"PL-0223","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",151.153841012337,151.153841012337,"PASS"
"PL-0224","REL19-RMa",15,"RMa","TR38.901-V19.2.0 closed form",181.688844152743,181.688844152743,"PASS"
"PL-0273","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",54.3290163403013,54.3290163403013,"PASS"
"PL-0274","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",54.3290163403013,54.3290163403013,"PASS"
"PL-0275","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",56.7855874178602,56.7855874178602,"PASS"
"PL-0276","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",56.7855874178602,56.7855874178602,"PASS"
"PL-0277","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",62.3171455500335,62.3171455500335,"PASS"
"PL-0278","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",66.5762940600858,66.5762940600858,"PASS"
"PL-0279","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",67.2848129571106,67.2848129571106,"PASS"
"PL-0280","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",77.5740779728634,77.5740779728634,"PASS"
"PL-0281","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",72.4301161243037,72.4301161243037,"PASS"
"PL-0282","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",88.9651248690193,88.9651248690193,"PASS"
"PL-0283","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",79.2967858048588,79.2967858048588,"PASS"
"PL-0284","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",104.167058323659,104.167058323659,"PASS"
"PL-0285","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",84.5020704183935,84.5020704183935,"PASS"
"PL-0286","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",115.690896514316,115.690896514316,"PASS"
"PL-0287","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",87.5479796954422,87.5479796954422,"PASS"
"PL-0288","REL19-InH-Office",7.5,"InH-Office","TR38.901-V19.2.0 closed form",122.434152312638,122.434152312638,"PASS"
"PL-0289","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",60.3496162535809,60.3496162535809,"PASS"
"PL-0290","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",60.3496162535809,60.3496162535809,"PASS"
"PL-0291","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",62.8061873311399,62.8061873311399,"PASS"
"PL-0292","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",62.8061873311399,62.8061873311399,"PASS"
"PL-0293","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",68.3377454633132,68.3377454633132,"PASS"
"PL-0294","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",74.0719409521189,74.0719409521189,"PASS"
"PL-0295","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",73.3054128703903,73.3054128703903,"PASS"
"PL-0296","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",85.0697248648966,85.0697248648966,"PASS"
"PL-0297","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",78.4507160375834,78.4507160375834,"PASS"
"PL-0298","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",96.4607717610524,96.4607717610524,"PASS"
"PL-0299","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",85.3173857181385,85.3173857181385,"PASS"
"PL-0300","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",111.662705215692,111.662705215692,"PASS"
"PL-0301","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",90.5226703316732,90.5226703316732,"PASS"
"PL-0302","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",123.186543406349,123.186543406349,"PASS"
"PL-0303","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",93.5685796087218,93.5685796087218,"PASS"
"PL-0304","REL19-InH-Office",15,"InH-Office","TR38.901-V19.2.0 closed form",129.929799204671,129.929799204671,"PASS"
