TopologyID,SiteID,SectorID,CloneID,X_m,Y_m,Z_m,Orientation_deg,Status
"HEX19-WRAP-0001","SITE-14","SECTOR-02","SITE-14",200,0,25,240,"PASS"
"HEX19-WRAP-0001","SITE-15","SECTOR-00","SITE-15",300,173.205080756888,25,0,"PASS"
"HEX19-WRAP-0001","SITE-15","SECTOR-01","SITE-15",300,173.205080756888,25,120,"PASS"
"HEX19-WRAP-0001","SITE-15","SECTOR-02","SITE-15",300,173.205080756888,25,240,"PASS"
"HEX19-WRAP-0001","SITE-16","SECTOR-00","SITE-16",200,-346.410161513775,25,0,"PASS"
"HEX19-WRAP-0001","SITE-16","SECTOR-01","SITE-16",200,-346.410161513775,25,120,"PASS"
"HEX19-WRAP-0001","SITE-16","SECTOR-02","SITE-16",200,-346.410161513775,25,240,"PASS"
"HEX19-WRAP-0001","SITE-17","SECTOR-00","SITE-17",300,-173.205080756888,25,0,"PASS"
"HEX19-WRAP-0001","SITE-17","SECTOR-01","SITE-17",300,-173.205080756888,25,120,"PASS"
"HEX19-WRAP-0001","SITE-17","SECTOR-02","SITE-17",300,-173.205080756888,25,240,"PASS"
"HEX19-WRAP-0001","SITE-18","SECTOR-00","SITE-18",400,0,25,0,"PASS"
"HEX19-WRAP-0001","SITE-18","SECTOR-01","SITE-18",400,0,25,120,"PASS"
"HEX19-WRAP-0001","SITE-18","SECTOR-02","SITE-18",400,0,25,240,"PASS"
