TestID,Role,FrequencyRange,CenterFrequency_Hz,ChannelBandwidth_MHz,CarrierSCS_kHz,ExpectedValid,ResolvedValid,ExpectedNRB,ResolvedNRB,NStartGrid,OccupiedBandwidth_Hz,GuardbandLow_Hz,GuardbandHigh_Hz,ChannelLowEdge_Hz,ChannelHighEdge_Hz,TransmissionLowEdge_Hz,TransmissionHighEdge_Hz,ActiveBWPStartRB,ActiveBWPSizeRB,ActiveBWPLowEdge_Hz,ActiveBWPHighEdge_Hz,ErrorID,Status,IndexConvention
GRID-FR1-060-0035,gNB_carrier_transmission_bandwidth,FR1,4000000000,35,60,TRUE,TRUE,44,44,0,31680000,1630000,1630000,3982500000,4017500000,3984160000,4015840000,11,22,3992080000,4007920000,,PASS,zero_based_phy_indices
GRID-FR1-060-0040,gNB_carrier_transmission_bandwidth,FR1,4000000000,40,60,TRUE,TRUE,51,51,0,36720000,1610000,1610000,3980000000,4020000000,3981640000,4018360000,13,25,3991000000,4009000000,,PASS,zero_based_phy_indices
GRID-FR1-060-0045,gNB_carrier_transmission_bandwidth,FR1,4000000000,45,60,TRUE,TRUE,58,58,0,41760000,1590000,1590000,3977500000,4022500000,3979120000,4020880000,14,29,3989200000,4010080000,,PASS,zero_based_phy_indices
GRID-FR1-060-0050,gNB_carrier_transmission_bandwidth,FR1,4000000000,50,60,TRUE,TRUE,65,65,0,46800000,1570000,1570000,3975000000,4025000000,3976600000,4023400000,16,32,3988120000,4011160000,,PASS,zero_based_phy_indices
GRID-FR1-060-0060,gNB_carrier_transmission_bandwidth,FR1,4000000000,60,60,TRUE,TRUE,79,79,0,56880000,1530000,1530000,3970000000,4030000000,3971560000,4028440000,20,39,3985960000,4014040000,,PASS,zero_based_phy_indices
GRID-FR1-060-0070,gNB_carrier_transmission_bandwidth,FR1,4000000000,70,60,TRUE,TRUE,93,93,0,66960000,1490000,1490000,3965000000,4035000000,3966520000,4033480000,23,46,3983080000,4016200000,,PASS,zero_based_phy_indices
GRID-FR1-060-0080,gNB_carrier_transmission_bandwidth,FR1,4000000000,80,60,TRUE,TRUE,107,107,0,77040000,1450000,1450000,3960000000,4040000000,3961480000,4038520000,27,53,3980920000,4019080000,,PASS,zero_based_phy_indices
GRID-FR1-060-0090,gNB_carrier_transmission_bandwidth,FR1,4000000000,90,60,TRUE,TRUE,121,121,0,87120000,1410000,1410000,3955000000,4045000000,3956440000,4043560000,30,60,3978040000,4021240000,,PASS,zero_based_phy_indices
GRID-FR1-060-0100,gNB_carrier_transmission_bandwidth,FR1,4000000000,100,60,TRUE,TRUE,135,135,0,97200000,1370000,1370000,3950000000,4050000000,3951400000,4048600000,34,67,3975880000,4024120000,,PASS,zero_based_phy_indices
GRID-FR21-060-0050,gNB_carrier_transmission_bandwidth,FR2-1,28000000000,50,60,TRUE,TRUE,66,66,0,47520000,1210000,1210000,27975000000,28025000000,27976240000,28023760000,16,33,27987760000,28011520000,,PASS,zero_based_phy_indices
GRID-FR21-060-0100,gNB_carrier_transmission_bandwidth,FR2-1,28000000000,100,60,TRUE,TRUE,132,132,0,95040000,2450000,2450000,27950000000,28050000000,27952480000,28047520000,33,66,27976240000,28023760000,,PASS,zero_based_phy_indices
GRID-FR21-060-0200,gNB_carrier_transmission_bandwidth,FR2-1,28000000000,200,60,TRUE,TRUE,264,264,0,190080000,4930000,4930000,27900000000,28100000000,27904960000,28095040000,66,132,27952480000,28047520000,,PASS,zero_based_phy_indices
GRID-FR21-060-0400,gNB_carrier_transmission_bandwidth,FR2-1,28000000000,400,60,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedBandwidthSCSCombination,PASS,zero_based_phy_indices
GRID-FR21-120-0050,gNB_carrier_transmission_bandwidth,FR2-1,28000000000,50,120,TRUE,TRUE,32,32,0,46080000,1900000,1900000,27975000000,28025000000,27976960000,28023040000,8,16,27988480000,28011520000,,PASS,zero_based_phy_indices
GRID-FR21-120-0100,gNB_carrier_transmission_bandwidth,FR2-1,28000000000,100,120,TRUE,TRUE,66,66,0,95040000,2420000,2420000,27950000000,28050000000,27952480000,28047520000,16,33,27975520000,28023040000,,PASS,zero_based_phy_indices
GRID-FR21-120-0200,gNB_carrier_transmission_bandwidth,FR2-1,28000000000,200,120,TRUE,TRUE,132,132,0,190080000,4900000,4900000,27900000000,28100000000,27904960000,28095040000,33,66,27952480000,28047520000,,PASS,zero_based_phy_indices
GRID-FR21-120-0400,gNB_carrier_transmission_bandwidth,FR2-1,28000000000,400,120,TRUE,TRUE,264,264,0,380160000,9860000,9860000,27800000000,28200000000,27809920000,28190080000,66,132,27904960000,28095040000,,PASS,zero_based_phy_indices
GRID-FR22-120-0100,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,100,120,TRUE,TRUE,66,66,0,95040000,2420000,2420000,59950000000,60050000000,59952480000,60047520000,16,33,59975520000,60023040000,,PASS,zero_based_phy_indices
GRID-FR22-120-0400,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,400,120,TRUE,TRUE,264,264,0,380160000,9860000,9860000,59800000000,60200000000,59809920000,60190080000,66,132,59904960000,60095040000,,PASS,zero_based_phy_indices
