TestID,Case,FrequencyRange,CarrierFrequency_Hz,SSBSCS_kHz,Lmax,CandidateIndex,StartSymbol,Slot,Symbol,ExpectedValid,ActualValid,ReasonCode,Status,IndexConvention
SSB-C-07,C,FR1,4000000000,30,8,7,50,3,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-00,D,FR2-1,28000000000,120,64,0,4,0,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-01,D,FR2-1,28000000000,120,64,1,8,0,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-02,D,FR2-1,28000000000,120,64,2,16,1,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-03,D,FR2-1,28000000000,120,64,3,20,1,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-04,D,FR2-1,28000000000,120,64,4,32,2,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-05,D,FR2-1,28000000000,120,64,5,36,2,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-06,D,FR2-1,28000000000,120,64,6,44,3,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-07,D,FR2-1,28000000000,120,64,7,48,3,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-08,D,FR2-1,28000000000,120,64,8,60,4,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-09,D,FR2-1,28000000000,120,64,9,64,4,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-10,D,FR2-1,28000000000,120,64,10,72,5,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-11,D,FR2-1,28000000000,120,64,11,76,5,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-12,D,FR2-1,28000000000,120,64,12,88,6,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-13,D,FR2-1,28000000000,120,64,13,92,6,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-14,D,FR2-1,28000000000,120,64,14,100,7,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-15,D,FR2-1,28000000000,120,64,15,104,7,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-16,D,FR2-1,28000000000,120,64,16,144,10,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-17,D,FR2-1,28000000000,120,64,17,148,10,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-18,D,FR2-1,28000000000,120,64,18,156,11,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-19,D,FR2-1,28000000000,120,64,19,160,11,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-20,D,FR2-1,28000000000,120,64,20,172,12,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-21,D,FR2-1,28000000000,120,64,21,176,12,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-22,D,FR2-1,28000000000,120,64,22,184,13,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-23,D,FR2-1,28000000000,120,64,23,188,13,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-24,D,FR2-1,28000000000,120,64,24,200,14,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-25,D,FR2-1,28000000000,120,64,25,204,14,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-26,D,FR2-1,28000000000,120,64,26,212,15,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-27,D,FR2-1,28000000000,120,64,27,216,15,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-28,D,FR2-1,28000000000,120,64,28,228,16,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-29,D,FR2-1,28000000000,120,64,29,232,16,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-30,D,FR2-1,28000000000,120,64,30,240,17,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-31,D,FR2-1,28000000000,120,64,31,244,17,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-32,D,FR2-1,28000000000,120,64,32,284,20,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-33,D,FR2-1,28000000000,120,64,33,288,20,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-34,D,FR2-1,28000000000,120,64,34,296,21,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-35,D,FR2-1,28000000000,120,64,35,300,21,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-36,D,FR2-1,28000000000,120,64,36,312,22,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-37,D,FR2-1,28000000000,120,64,37,316,22,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-38,D,FR2-1,28000000000,120,64,38,324,23,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-39,D,FR2-1,28000000000,120,64,39,328,23,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-40,D,FR2-1,28000000000,120,64,40,340,24,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-41,D,FR2-1,28000000000,120,64,41,344,24,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-42,D,FR2-1,28000000000,120,64,42,352,25,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-43,D,FR2-1,28000000000,120,64,43,356,25,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-44,D,FR2-1,28000000000,120,64,44,368,26,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-45,D,FR2-1,28000000000,120,64,45,372,26,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-46,D,FR2-1,28000000000,120,64,46,380,27,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-47,D,FR2-1,28000000000,120,64,47,384,27,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-48,D,FR2-1,28000000000,120,64,48,424,30,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-49,D,FR2-1,28000000000,120,64,49,428,30,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-50,D,FR2-1,28000000000,120,64,50,436,31,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-51,D,FR2-1,28000000000,120,64,51,440,31,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-52,D,FR2-1,28000000000,120,64,52,452,32,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-53,D,FR2-1,28000000000,120,64,53,456,32,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-54,D,FR2-1,28000000000,120,64,54,464,33,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-55,D,FR2-1,28000000000,120,64,55,468,33,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-56,D,FR2-1,28000000000,120,64,56,480,34,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-57,D,FR2-1,28000000000,120,64,57,484,34,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-58,D,FR2-1,28000000000,120,64,58,492,35,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-59,D,FR2-1,28000000000,120,64,59,496,35,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-60,D,FR2-1,28000000000,120,64,60,508,36,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-61,D,FR2-1,28000000000,120,64,61,512,36,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-62,D,FR2-1,28000000000,120,64,62,520,37,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-D-63,D,FR2-1,28000000000,120,64,63,524,37,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-00,E,FR2-1,28000000000,240,64,0,8,0,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-01,E,FR2-1,28000000000,240,64,1,12,0,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-02,E,FR2-1,28000000000,240,64,2,16,1,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-03,E,FR2-1,28000000000,240,64,3,20,1,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-04,E,FR2-1,28000000000,240,64,4,32,2,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-05,E,FR2-1,28000000000,240,64,5,36,2,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-06,E,FR2-1,28000000000,240,64,6,40,2,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-07,E,FR2-1,28000000000,240,64,7,44,3,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-08,E,FR2-1,28000000000,240,64,8,64,4,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-09,E,FR2-1,28000000000,240,64,9,68,4,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-10,E,FR2-1,28000000000,240,64,10,72,5,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-11,E,FR2-1,28000000000,240,64,11,76,5,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-12,E,FR2-1,28000000000,240,64,12,88,6,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-13,E,FR2-1,28000000000,240,64,13,92,6,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-14,E,FR2-1,28000000000,240,64,14,96,6,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-15,E,FR2-1,28000000000,240,64,15,100,7,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-16,E,FR2-1,28000000000,240,64,16,120,8,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-17,E,FR2-1,28000000000,240,64,17,124,8,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-18,E,FR2-1,28000000000,240,64,18,128,9,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-19,E,FR2-1,28000000000,240,64,19,132,9,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-20,E,FR2-1,28000000000,240,64,20,144,10,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-21,E,FR2-1,28000000000,240,64,21,148,10,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-22,E,FR2-1,28000000000,240,64,22,152,10,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-23,E,FR2-1,28000000000,240,64,23,156,11,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-24,E,FR2-1,28000000000,240,64,24,176,12,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-25,E,FR2-1,28000000000,240,64,25,180,12,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-26,E,FR2-1,28000000000,240,64,26,184,13,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-27,E,FR2-1,28000000000,240,64,27,188,13,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-28,E,FR2-1,28000000000,240,64,28,200,14,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-29,E,FR2-1,28000000000,240,64,29,204,14,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-30,E,FR2-1,28000000000,240,64,30,208,14,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-31,E,FR2-1,28000000000,240,64,31,212,15,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-32,E,FR2-1,28000000000,240,64,32,288,20,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-33,E,FR2-1,28000000000,240,64,33,292,20,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-34,E,FR2-1,28000000000,240,64,34,296,21,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-35,E,FR2-1,28000000000,240,64,35,300,21,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-36,E,FR2-1,28000000000,240,64,36,312,22,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-37,E,FR2-1,28000000000,240,64,37,316,22,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-38,E,FR2-1,28000000000,240,64,38,320,22,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-39,E,FR2-1,28000000000,240,64,39,324,23,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-40,E,FR2-1,28000000000,240,64,40,344,24,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-41,E,FR2-1,28000000000,240,64,41,348,24,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-42,E,FR2-1,28000000000,240,64,42,352,25,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-43,E,FR2-1,28000000000,240,64,43,356,25,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-44,E,FR2-1,28000000000,240,64,44,368,26,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-45,E,FR2-1,28000000000,240,64,45,372,26,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-46,E,FR2-1,28000000000,240,64,46,376,26,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-47,E,FR2-1,28000000000,240,64,47,380,27,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-48,E,FR2-1,28000000000,240,64,48,400,28,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-49,E,FR2-1,28000000000,240,64,49,404,28,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-50,E,FR2-1,28000000000,240,64,50,408,29,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-51,E,FR2-1,28000000000,240,64,51,412,29,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-52,E,FR2-1,28000000000,240,64,52,424,30,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-53,E,FR2-1,28000000000,240,64,53,428,30,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-54,E,FR2-1,28000000000,240,64,54,432,30,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-55,E,FR2-1,28000000000,240,64,55,436,31,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-56,E,FR2-1,28000000000,240,64,56,456,32,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-57,E,FR2-1,28000000000,240,64,57,460,32,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-58,E,FR2-1,28000000000,240,64,58,464,33,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-59,E,FR2-1,28000000000,240,64,59,468,33,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-60,E,FR2-1,28000000000,240,64,60,480,34,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-61,E,FR2-1,28000000000,240,64,61,484,34,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-62,E,FR2-1,28000000000,240,64,62,488,34,12,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-E-63,E,FR2-1,28000000000,240,64,63,492,35,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-00,F,FR2-2,60000000000,480,64,0,2,0,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-01,F,FR2-2,60000000000,480,64,1,9,0,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-02,F,FR2-2,60000000000,480,64,2,16,1,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-03,F,FR2-2,60000000000,480,64,3,23,1,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-04,F,FR2-2,60000000000,480,64,4,30,2,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-05,F,FR2-2,60000000000,480,64,5,37,2,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-06,F,FR2-2,60000000000,480,64,6,44,3,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-07,F,FR2-2,60000000000,480,64,7,51,3,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-08,F,FR2-2,60000000000,480,64,8,58,4,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-09,F,FR2-2,60000000000,480,64,9,65,4,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-10,F,FR2-2,60000000000,480,64,10,72,5,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-11,F,FR2-2,60000000000,480,64,11,79,5,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-12,F,FR2-2,60000000000,480,64,12,86,6,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-13,F,FR2-2,60000000000,480,64,13,93,6,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-14,F,FR2-2,60000000000,480,64,14,100,7,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-15,F,FR2-2,60000000000,480,64,15,107,7,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-16,F,FR2-2,60000000000,480,64,16,114,8,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-17,F,FR2-2,60000000000,480,64,17,121,8,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-18,F,FR2-2,60000000000,480,64,18,128,9,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-19,F,FR2-2,60000000000,480,64,19,135,9,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-20,F,FR2-2,60000000000,480,64,20,142,10,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-21,F,FR2-2,60000000000,480,64,21,149,10,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-22,F,FR2-2,60000000000,480,64,22,156,11,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-23,F,FR2-2,60000000000,480,64,23,163,11,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-24,F,FR2-2,60000000000,480,64,24,170,12,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-25,F,FR2-2,60000000000,480,64,25,177,12,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-26,F,FR2-2,60000000000,480,64,26,184,13,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-27,F,FR2-2,60000000000,480,64,27,191,13,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-28,F,FR2-2,60000000000,480,64,28,198,14,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-29,F,FR2-2,60000000000,480,64,29,205,14,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-30,F,FR2-2,60000000000,480,64,30,212,15,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-31,F,FR2-2,60000000000,480,64,31,219,15,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-32,F,FR2-2,60000000000,480,64,32,226,16,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-33,F,FR2-2,60000000000,480,64,33,233,16,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-34,F,FR2-2,60000000000,480,64,34,240,17,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-35,F,FR2-2,60000000000,480,64,35,247,17,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-36,F,FR2-2,60000000000,480,64,36,254,18,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-37,F,FR2-2,60000000000,480,64,37,261,18,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-38,F,FR2-2,60000000000,480,64,38,268,19,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-39,F,FR2-2,60000000000,480,64,39,275,19,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-40,F,FR2-2,60000000000,480,64,40,282,20,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-41,F,FR2-2,60000000000,480,64,41,289,20,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-42,F,FR2-2,60000000000,480,64,42,296,21,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-F-43,F,FR2-2,60000000000,480,64,43,303,21,9,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
