RunID,CaseID,SpatialRelationID,ReferenceSignalType,ReferenceSignalID,PathlossReferenceRSID,P0PUCCHID,ClosedLoopIndex,StateAgeSlots,SelectedBeamID,AppliedBeamID,MismatchCount,Status
PUCCH_PHASE05_R18,SPAT-034,1,NZP_CSI_RS,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-035,2,NZP_CSI_RS,12,22,2,0,0,2,2,0,PASS
PUCCH_PHASE05_R18,SPAT-036,2,NZP_CSI_RS,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-037,3,NZP_CSI_RS,12,,2,0,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-038,3,NZP_CSI_RS,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-039,4,NZP_CSI_RS,12,,2,0,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-040,4,NZP_CSI_RS,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-041,1,NZP_CSI_RS,13,,3,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-042,1,NZP_CSI_RS,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-043,2,NZP_CSI_RS,13,,3,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-044,2,NZP_CSI_RS,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-045,3,NZP_CSI_RS,13,23,3,1,0,3,3,0,PASS
PUCCH_PHASE05_R18,SPAT-046,3,NZP_CSI_RS,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-047,4,NZP_CSI_RS,13,,3,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-048,4,NZP_CSI_RS,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-049,1,SRS,11,21,1,1,0,1,1,0,PASS
PUCCH_PHASE05_R18,SPAT-050,1,SRS,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-051,2,SRS,11,,1,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-052,2,SRS,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-053,3,SRS,11,,1,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-054,3,SRS,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-055,4,SRS,11,,1,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-056,4,SRS,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-057,1,SRS,12,,2,0,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-058,1,SRS,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-059,2,SRS,12,22,2,0,0,2,2,0,PASS
PUCCH_PHASE05_R18,SPAT-060,2,SRS,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-061,3,SRS,12,,2,0,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-062,3,SRS,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-063,4,SRS,12,,2,0,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-064,4,SRS,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-065,1,SRS,13,,3,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-066,1,SRS,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-067,2,SRS,13,,3,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-068,2,SRS,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-069,3,SRS,13,23,3,1,0,3,3,0,PASS
PUCCH_PHASE05_R18,SPAT-070,3,SRS,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-071,4,SRS,13,,3,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-072,4,SRS,13,,3,1,100,NONE,NONE,0,PASS
