RunID,CaseID,P0dBm,PathlossdB,BandwidthTermdB,DeltaFdB,DeltaTFdB,TPCAdjustmentdB,PCMAXdBm,RequestedPowerdBm,AppliedPowerdBm,MeasuredWaveformPowerdBm,PowerError_dB,Clipped,Status
PUCCH_PHASE05_R18,PWR-025,-100,70,6.0206,-2,0.669467896306,0,23.0,-25.3099,-25.3099,-25.3099,-3.7659e-13,false,PASS
PUCCH_PHASE05_R18,PWR-026,-100,100,6.0206,-2,0.969100130081,1,23.0,5.9897,5.9897,5.9897,6.2439e-13,false,PASS
PUCCH_PHASE05_R18,PWR-027,-100,130,6.0206,-2,1.249387366083,3,23.0,38.27,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-028,-80,70,9.0309,-2,1.512676753306,-2,23.0,-3.4564,-3.4564,-3.4564,-5.6444e-13,false,PASS
PUCCH_PHASE05_R18,PWR-029,-80,100,9.0309,-2,1.760912590557,0,23.0,28.7918,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-030,-80,130,9.0309,-2,1.995723549052,1,23.0,60.0266,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-031,-100,70,12.0412,-2,2.218487496164,3,23.0,-14.7403,-14.7403,-14.7403,2.5224e-13,false,PASS
PUCCH_PHASE05_R18,PWR-032,-100,100,12.0412,-2,2.430380486863,-2,23.0,10.4716,10.4716,10.4716,2.4691e-13,false,PASS
PUCCH_PHASE05_R18,PWR-033,-100,130,12.0412,-2,2.632414347746,0,23.0,42.6736,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-034,-80,70,15.0515,-2,2.8254658997,1,23.0,6.877,6.877,6.877,6.1284e-14,false,PASS
PUCCH_PHASE05_R18,PWR-035,-80,100,15.0515,-2,3.01029995664,3,23.0,39.0618,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-036,-80,130,15.0515,-2,0.347621062592,-2,23.0,61.3991,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-037,-80,70,9.0309,3,0.669467896306,0,23.0,2.7004,2.7004,2.7004,-5.6399e-13,false,PASS
PUCCH_PHASE05_R18,PWR-038,-80,100,9.0309,3,0.969100130081,1,23.0,34,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-039,-80,130,9.0309,3,1.249387366083,3,23.0,66.2803,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-040,-90,70,12.0412,3,1.512676753306,-2,23.0,-5.4461,-5.4461,-5.4461,-7.5229e-13,false,PASS
PUCCH_PHASE05_R18,PWR-041,-90,100,12.0412,3,1.760912590557,0,23.0,26.8021,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-042,-90,130,12.0412,3,1.995723549052,1,23.0,58.0369,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-043,-80,70,15.0515,3,2.218487496164,3,23.0,13.27,13.27,13.27,6.0396e-14,false,PASS
PUCCH_PHASE05_R18,PWR-044,-80,100,15.0515,3,2.430380486863,-2,23.0,38.4819,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-045,-80,130,15.0515,3,2.632414347746,0,23.0,70.6839,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-046,-90,70,18.0618,3,2.8254658997,1,23.0,4.8873,4.8873,4.8873,-1.279e-13,false,PASS
PUCCH_PHASE05_R18,PWR-047,-90,100,18.0618,3,3.01029995664,3,23.0,37.0721,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-048,-90,130,18.0618,3,0.347621062592,-2,23.0,59.4094,23,23,0,true,PASS
