RunID,CaseID,Format,NumSymbols,UCIBits,NumPRBs,Hopping,Interlaced,RepetitionSlots,Valid,ExpectedValid,ParameterMutated,ErrorID,Status
PUCCH_PHASE05_R18,FMT-0102,1,3,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0103,1,4,1,1,false,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0104,1,4,1,1,true,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0105,1,4,2,1,false,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0106,1,4,2,1,true,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0107,1,4,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0108,1,4,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0109,1,4,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0110,1,4,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0111,1,7,1,1,false,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0112,1,7,1,1,true,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0113,1,7,2,1,false,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0114,1,7,2,1,true,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0115,1,7,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0116,1,7,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0117,1,7,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0118,1,7,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0119,1,14,0,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0120,1,14,0,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0121,1,14,2,1,false,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0122,1,14,2,1,true,false,1,true,true,false,,PASS
PUCCH_PHASE05_R18,FMT-0123,1,14,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0124,1,14,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0125,1,14,12,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0126,1,14,12,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0127,1,14,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0128,1,14,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0129,1,15,2,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0130,1,15,2,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0131,1,15,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0132,1,15,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0133,1,15,11,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0134,1,15,11,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0135,1,15,20,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0136,1,15,20,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0137,1,15,1706,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0138,1,15,1706,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0139,1,15,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0140,1,15,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0141,2,1,0,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0142,2,1,0,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0143,2,1,2,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
