RunID,CaseID,OUCI,ReportSource,SelectedSetID,ResourceSource,RRCConfigurationEpoch,SelectionMismatchCount,DefaultOrHashUsed,Status
PUCCH_PHASE05_R18,RSET-059,3,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-060,3,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-061,11,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-062,20,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-063,21,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-064,64,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-065,100,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-066,101,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-067,101,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-068,512,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-069,1706,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-070,1707,CSI_ONLY,,,4,0,false,PASS
