RunID,ExperimentID,OperatingPointID,Profile,AssignmentSource,AssignmentCreated,WaveformGenerated,ConfiguredGrantProfile,CGActive,CGOccasionMatch,CollisionDetected,RAProcedure,AccessLatencySlots,PDCCHBits,GrantUtilization,SuccessProbability,Goodput_bps,TypedError,Status
pusch_impact_20260726T140352Z,F07-E006,I4_L1.25,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E007,I6_L0.75,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E008,I6_L1.0,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E009,I6_L1.25,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E010,I8_L0.75,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E011,I8_L1.0,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E012,I8_L1.25,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E013,I12_L0.75,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E014,I12_L1.0,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E015,I12_L1.25,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E016,I20_L0.75,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E017,I20_L1.0,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F07-E018,I20_L1.25,phy_calibration,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F08-E001,none,connected_dynamic_strict,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F08-E002,crc_fail,connected_dynamic_strict,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F08-E003,wrong_rnti,connected_dynamic_strict,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F08-E004,stale_bwp,connected_dynamic_strict,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F08-E005,stale_epoch,connected_dynamic_strict,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F08-E006,invalid_k2,connected_dynamic_strict,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
pusch_impact_20260726T140352Z,F08-E007,invalid_mcs,connected_dynamic_strict,decoded_dci_or_calibration_assignment,true,true,none,false,true,false,none,1,40,1,0,0,,PASS
