RunID,ExperimentID,OperatingPointID,G,GULSCH,GACK,GCSI1,GCSI2,GCGUCI,GUTOUCI,UCIOverheadFraction,EffectiveULSCHCodeRate,ACKBLER,CSI1BLER,CSI2BLER,ULSCHBLER,Goodput_bps,Status
pusch_impact_20260726T140352Z,F09-E005,periodic_high_cg_type1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F09-E006,periodic_high_cg_type2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F09-E007,bursty_dynamic,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F09-E008,bursty_cg_type1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F09-E009,bursty_cg_type2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E001,cg_type1_R1_none,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E002,cg_type1_R1_dynamic_overlap,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E003,cg_type1_R2_none,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E004,cg_type1_R2_dynamic_overlap,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E005,cg_type1_R4_none,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E006,cg_type1_R4_dynamic_overlap,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E007,cg_type2_R1_none,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E008,cg_type2_R1_dynamic_overlap,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E009,cg_type2_R2_none,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E010,cg_type2_R2_dynamic_overlap,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F10-E011,cg_type2_R4_none,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
