relative_path,artifact_role,canonical_source,row_count,column_count,all_zero_finite_column_count,all_missing_column_count,mixed_finite_missing_column_count,semantic_check_count,required_semantic_failure_count,mirror_hash_verified,audit_disposition
control/csv/rar_monitoring_decoded_fields.csv,canonical_or_derived_artifact,control/csv/rar_monitoring_decoded_fields.csv,6,16,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/rar_monitoring_observations.csv,canonical_or_derived_artifact,control/csv/rar_monitoring_observations.csv,2,25,3,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/reference_signal_measurements.csv,canonical_or_derived_artifact,control/csv/reference_signal_measurements.csv,38,49,0,1,23,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/rrc_connection_events.csv,canonical_or_derived_artifact,control/csv/rrc_connection_events.csv,8,17,1,1,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/rrc_setup_complete.csv,canonical_or_derived_artifact,control/csv/rrc_setup_complete.csv,1,37,2,1,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/srs_table.csv,canonical_or_derived_artifact,control/csv/srs_table.csv,6,428,155,11,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/srs_trials.csv,canonical_or_derived_artifact,control/csv/srs_trials.csv,6,424,154,24,0,12,0,False,PASS_CONTROL_RUNTIME_SEMANTICS
control/csv/ssb_pbch_table.csv,canonical_or_derived_artifact,control/csv/ssb_pbch_table.csv,12,422,145,11,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/timing_synchronization_table.csv,canonical_or_derived_artifact,control/csv/timing_synchronization_table.csv,17,54,8,11,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/trs_receiver_tracking_table.csv,canonical_or_derived_artifact,control/csv/trs_receiver_tracking_table.csv,5,61,1,12,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
control/csv/trs_trials.csv,canonical_or_derived_artifact,control/csv/trs_trials.csv,5,359,139,28,0,12,0,False,PASS_CONTROL_RUNTIME_SEMANTICS
frame_grid/csv/observed_re_allocation.csv,canonical_or_derived_artifact,frame_grid/csv/observed_re_allocation.csv,19602,59,1,13,8,6,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
geometry/csv/coordinate_system.csv,canonical_or_derived_artifact,geometry/csv/coordinate_system.csv,1,6,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
geometry/csv/geometry_validation.csv,canonical_or_derived_artifact,geometry/csv/geometry_validation.csv,1,4,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
geometry/csv/serving_cell_assignment.csv,canonical_or_derived_artifact,geometry/csv/serving_cell_assignment.csv,58,9,1,0,0,1,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
geometry/csv/site_positions.csv,canonical_or_derived_artifact,geometry/csv/site_positions.csv,1,6,3,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
geometry/csv/topology_nodes.csv,canonical_or_derived_artifact,geometry/csv/topology_nodes.csv,2,15,0,3,4,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
geometry/csv/trajectory_geometry.csv,canonical_or_derived_artifact,geometry/csv/trajectory_geometry.csv,58,29,5,0,0,1,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
geometry/csv/ue_initial_positions.csv,canonical_or_derived_artifact,geometry/csv/ue_initial_positions.csv,1,7,0,0,0,1,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
harq/csv/harq_process_timeline.csv,canonical_or_derived_artifact,harq/csv/harq_process_timeline.csv,17,42,9,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
harq/csv/live_harq_observation_summary.csv,canonical_or_derived_artifact,harq/csv/live_harq_observation_summary.csv,2,13,2,0,0,6,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
harq/csv/live_harq_observation_timeline.csv,canonical_or_derived_artifact,harq/csv/live_harq_observation_timeline.csv,17,31,5,0,2,6,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
harq/csv/probe_harq_packets.csv,canonical_or_derived_artifact,harq/csv/probe_harq_packets.csv,17,42,9,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
harq/csv/probe_harq_summary.csv,canonical_or_derived_artifact,harq/csv/probe_harq_summary.csv,38,11,0,0,1,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
interference/csv/interference_topology.csv,canonical_or_derived_artifact,interference/csv/interference_topology.csv,17,19,3,1,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
meta/scenario_source_chain.csv,canonical_or_derived_artifact,meta/scenario_source_chain.csv,23,4,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
mobility/csv/channel_continuity_reconciliation.csv,canonical_or_derived_artifact,mobility/csv/channel_continuity_reconciliation.csv,1,13,1,1,0,1,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
mobility/csv/doppler_reconciliation.csv,canonical_or_derived_artifact,mobility/csv/doppler_reconciliation.csv,58,13,1,0,0,1,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
mobility/csv/inter_ue_distance_validation.csv,canonical_or_derived_artifact,mobility/csv/inter_ue_distance_validation.csv,0,7,0,0,0,1,0,False,PASS_POLICY_DISABLED_NO_OBSERVATIONS
mobility/csv/pathloss_reconciliation.csv,canonical_or_derived_artifact,mobility/csv/pathloss_reconciliation.csv,58,17,6,0,0,1,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
mobility/csv/propagation_delay_reconciliation.csv,canonical_or_derived_artifact,mobility/csv/propagation_delay_reconciliation.csv,58,11,0,0,0,1,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
