Direction,UEIndex,RNTI,PacketId,ApplicationPacketId,FlowId,EnqueueFrame,EnqueueSlot,EnqueueCanonicalSlot,EnqueueSlotInFrame,EnqueueTime_s,OfferedBits,ScheduledBits,DeliveredBits,RemainingBits,SegmentCount,HARQAttemptCount,FirstGrantSlot,FirstGrantTime_s,ReassemblyCompleteFlag,DeliverySuccess,PacketizationSource,TimingStatus,Status,Notes
"DL",3,3,"DL_ue3_frame1_pkt9","DL_ue3_frame1_pkt9","DL_ue3",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",4,4,"DL_ue4_frame1_pkt9","DL_ue4_frame1_pkt9","DL_ue4",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt13","UL_ue1_frame1_pkt13","UL_ue1",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt13","UL_ue2_frame1_pkt13","UL_ue2",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt13","UL_ue3_frame1_pkt13","UL_ue3",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt13","UL_ue4_frame1_pkt13","UL_ue4",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",1,1,"DL_ue1_frame1_pkt17","DL_ue1_frame1_pkt17","DL_ue1",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",2,2,"DL_ue2_frame1_pkt17","DL_ue2_frame1_pkt17","DL_ue2",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",3,3,"DL_ue3_frame1_pkt17","DL_ue3_frame1_pkt17","DL_ue3",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",4,4,"DL_ue4_frame1_pkt17","DL_ue4_frame1_pkt17","DL_ue4",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt21","UL_ue1_frame1_pkt21","UL_ue1",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt21","UL_ue2_frame1_pkt21","UL_ue2",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt21","UL_ue3_frame1_pkt21","UL_ue3",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt21","UL_ue4_frame1_pkt21","UL_ue4",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",1,1,"DL_ue1_frame1_pkt25","DL_ue1_frame1_pkt25","DL_ue1",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",2,2,"DL_ue2_frame1_pkt25","DL_ue2_frame1_pkt25","DL_ue2",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",3,3,"DL_ue3_frame1_pkt25","DL_ue3_frame1_pkt25","DL_ue3",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",4,4,"DL_ue4_frame1_pkt25","DL_ue4_frame1_pkt25","DL_ue4",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt29","UL_ue1_frame1_pkt29","UL_ue1",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt29","UL_ue2_frame1_pkt29","UL_ue2",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt29","UL_ue3_frame1_pkt29","UL_ue3",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt29","UL_ue4_frame1_pkt29","UL_ue4",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",1,1,"DL_ue1_frame1_pkt33","DL_ue1_frame1_pkt33","DL_ue1",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",2,2,"DL_ue2_frame1_pkt33","DL_ue2_frame1_pkt33","DL_ue2",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",3,3,"DL_ue3_frame1_pkt33","DL_ue3_frame1_pkt33","DL_ue3",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"DL",4,4,"DL_ue4_frame1_pkt33","DL_ue4_frame1_pkt33","DL_ue4",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt37","UL_ue1_frame1_pkt37","UL_ue1",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt37","UL_ue2_frame1_pkt37","UL_ue2",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt37","UL_ue3_frame1_pkt37","UL_ue3",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt37","UL_ue4_frame1_pkt37","UL_ue4",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,"runtime_offered_bits_canonical_slot_packet","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
