ExperimentID,FamilyID,PairID,Arm,Seed,TrialIndex,Metric,Value,Status
F05-P01-T,F05,F05-P01,TREATMENT,11,1,waveform_nmse,4e-06,PASS
F05-P02-B,F05,F05-P02,BASELINE,23,2,waveform_nmse,0,PASS
F05-P02-T,F05,F05-P02,TREATMENT,23,2,waveform_nmse,4.00000000000003e-06,PASS
F05-P03-B,F05,F05-P03,BASELINE,47,3,waveform_nmse,0,PASS
F05-P03-T,F05,F05-P03,TREATMENT,47,3,waveform_nmse,4.00000000000001e-06,PASS
F05-P04-B,F05,F05-P04,BASELINE,89,4,waveform_nmse,0,PASS
F05-P04-T,F05,F05-P04,TREATMENT,89,4,waveform_nmse,4.00000000000002e-06,PASS
F05-P05-B,F05,F05-P05,BASELINE,131,5,waveform_nmse,0,PASS
F05-P05-T,F05,F05-P05,TREATMENT,131,5,waveform_nmse,4e-06,PASS
F05-P06-B,F05,F05-P06,BASELINE,197,6,waveform_nmse,0,PASS
F05-P06-T,F05,F05-P06,TREATMENT,197,6,waveform_nmse,3.99999999999999e-06,PASS
F06-P01-B,F06,F06-P01,BASELINE,11,1,waveform_nmse,0,PASS
F06-P01-T,F06,F06-P01,TREATMENT,11,1,dc_fault_rejected,1,PASS
F06-P02-B,F06,F06-P02,BASELINE,23,2,waveform_nmse,0,PASS
F06-P02-T,F06,F06-P02,TREATMENT,23,2,dc_fault_rejected,1,PASS
F06-P03-B,F06,F06-P03,BASELINE,47,3,waveform_nmse,0,PASS
F06-P03-T,F06,F06-P03,TREATMENT,47,3,dc_fault_rejected,1,PASS
F06-P04-B,F06,F06-P04,BASELINE,89,4,waveform_nmse,0,PASS
F06-P04-T,F06,F06-P04,TREATMENT,89,4,dc_fault_rejected,1,PASS
F06-P05-B,F06,F06-P05,BASELINE,131,5,waveform_nmse,0,PASS
F06-P05-T,F06,F06-P05,TREATMENT,131,5,dc_fault_rejected,1,PASS
F06-P06-B,F06,F06-P06,BASELINE,197,6,waveform_nmse,0,PASS
F06-P06-T,F06,F06-P06,TREATMENT,197,6,dc_fault_rejected,1,PASS
F07-P01-B,F07,F07-P01,BASELINE,11,1,waveform_nmse,0,PASS
F07-P01-T,F07,F07-P01,TREATMENT,11,1,waveform_nmse,0,PASS
F07-P02-B,F07,F07-P02,BASELINE,23,2,waveform_nmse,0,PASS
F07-P02-T,F07,F07-P02,TREATMENT,23,2,waveform_nmse,0,PASS
F07-P03-B,F07,F07-P03,BASELINE,47,3,waveform_nmse,0,PASS
F07-P03-T,F07,F07-P03,TREATMENT,47,3,waveform_nmse,0,PASS
F07-P04-B,F07,F07-P04,BASELINE,89,4,waveform_nmse,0,PASS
F07-P04-T,F07,F07-P04,TREATMENT,89,4,waveform_nmse,0,PASS
F07-P05-B,F07,F07-P05,BASELINE,131,5,waveform_nmse,0,PASS
F07-P05-T,F07,F07-P05,TREATMENT,131,5,waveform_nmse,0,PASS
F07-P06-B,F07,F07-P06,BASELINE,197,6,waveform_nmse,0,PASS
F07-P06-T,F07,F07-P06,TREATMENT,197,6,waveform_nmse,0,PASS
F08-P01-B,F08,F08-P01,BASELINE,11,1,waveform_nmse,0,PASS
F08-P01-T,F08,F08-P01,TREATMENT,11,1,waveform_nmse,0.705583875101735,PASS
F08-P02-B,F08,F08-P02,BASELINE,23,2,waveform_nmse,0,PASS
F08-P02-T,F08,F08-P02,TREATMENT,23,2,waveform_nmse,0.704444081445872,PASS
F08-P03-B,F08,F08-P03,BASELINE,47,3,waveform_nmse,0,PASS
F08-P03-T,F08,F08-P03,TREATMENT,47,3,waveform_nmse,0.682160443725236,PASS
F08-P04-B,F08,F08-P04,BASELINE,89,4,waveform_nmse,0,PASS
F08-P04-T,F08,F08-P04,TREATMENT,89,4,waveform_nmse,0.680211064567476,PASS
F08-P05-B,F08,F08-P05,BASELINE,131,5,waveform_nmse,0,PASS
F08-P05-T,F08,F08-P05,TREATMENT,131,5,waveform_nmse,0.707583232517231,PASS
F08-P06-B,F08,F08-P06,BASELINE,197,6,waveform_nmse,0,PASS
F08-P06-T,F08,F08-P06,TREATMENT,197,6,waveform_nmse,0.709946636216687,PASS
F09-P01-B,F09,F09-P01,BASELINE,11,1,waveform_nmse,0,PASS
F09-P01-T,F09,F09-P01,TREATMENT,11,1,waveform_nmse,2.49999999999989e-05,PASS
F09-P02-B,F09,F09-P02,BASELINE,23,2,waveform_nmse,0,PASS
F09-P02-T,F09,F09-P02,TREATMENT,23,2,waveform_nmse,2.49999999999989e-05,PASS
F09-P03-B,F09,F09-P03,BASELINE,47,3,waveform_nmse,0,PASS
F09-P03-T,F09,F09-P03,TREATMENT,47,3,waveform_nmse,2.49999999999989e-05,PASS
F09-P04-B,F09,F09-P04,BASELINE,89,4,waveform_nmse,0,PASS
F09-P04-T,F09,F09-P04,TREATMENT,89,4,waveform_nmse,2.49999999999989e-05,PASS
F09-P05-B,F09,F09-P05,BASELINE,131,5,waveform_nmse,0,PASS
F09-P05-T,F09,F09-P05,TREATMENT,131,5,waveform_nmse,2.49999999999989e-05,PASS
F09-P06-B,F09,F09-P06,BASELINE,197,6,waveform_nmse,0,PASS
F09-P06-T,F09,F09-P06,TREATMENT,197,6,waveform_nmse,2.49999999999989e-05,PASS
F10-P01-B,F10,F10-P01,BASELINE,11,1,waveform_nmse,0,PASS
F10-P01-T,F10,F10-P01,TREATMENT,11,1,waveform_nmse,9.99999999999768e-07,PASS
F10-P02-B,F10,F10-P02,BASELINE,23,2,waveform_nmse,0,PASS
F10-P02-T,F10,F10-P02,TREATMENT,23,2,waveform_nmse,9.99999999999784e-07,PASS
F10-P03-B,F10,F10-P03,BASELINE,47,3,waveform_nmse,0,PASS
F10-P03-T,F10,F10-P03,TREATMENT,47,3,waveform_nmse,9.99999999999781e-07,PASS
F10-P04-B,F10,F10-P04,BASELINE,89,4,waveform_nmse,0,PASS
F10-P04-T,F10,F10-P04,TREATMENT,89,4,waveform_nmse,9.99999999999774e-07,PASS
F10-P05-B,F10,F10-P05,BASELINE,131,5,waveform_nmse,0,PASS
F10-P05-T,F10,F10-P05,TREATMENT,131,5,waveform_nmse,9.99999999999759e-07,PASS
F10-P06-B,F10,F10-P06,BASELINE,197,6,waveform_nmse,0,PASS
F10-P06-T,F10,F10-P06,TREATMENT,197,6,waveform_nmse,9.99999999999772e-07,PASS
F11-P01-B,F11,F11-P01,BASELINE,11,1,chunk_nmse,4.90074876109717e-32,PASS
F11-P01-T,F11,F11-P01,TREATMENT,11,1,chunk_nmse,4.90074876109717e-32,PASS
F11-P02-B,F11,F11-P02,BASELINE,23,2,chunk_nmse,4.98687598930264e-32,PASS
F11-P02-T,F11,F11-P02,TREATMENT,23,2,chunk_nmse,4.98687598930264e-32,PASS
F11-P03-B,F11,F11-P03,BASELINE,47,3,chunk_nmse,3.95368260721422e-32,PASS
F11-P03-T,F11,F11-P03,TREATMENT,47,3,chunk_nmse,3.95368260721422e-32,PASS
F11-P04-B,F11,F11-P04,BASELINE,89,4,chunk_nmse,4.65873080336924e-32,PASS
F11-P04-T,F11,F11-P04,TREATMENT,89,4,chunk_nmse,4.65873080336924e-32,PASS
F11-P05-B,F11,F11-P05,BASELINE,131,5,chunk_nmse,4.55683249167219e-32,PASS
F11-P05-T,F11,F11-P05,TREATMENT,131,5,chunk_nmse,4.55683249167219e-32,PASS
F11-P06-B,F11,F11-P06,BASELINE,197,6,chunk_nmse,4.16026221208632e-32,PASS
F11-P06-T,F11,F11-P06,TREATMENT,197,6,chunk_nmse,4.16026221208632e-32,PASS
F12-P01-B,F12,F12-P01,BASELINE,11,1,waveform_nmse,0,PASS
F12-P01-T,F12,F12-P01,TREATMENT,11,1,waveform_nmse,3.60000000000001e-05,PASS
F12-P02-B,F12,F12-P02,BASELINE,23,2,waveform_nmse,0,PASS
F12-P02-T,F12,F12-P02,TREATMENT,23,2,waveform_nmse,3.60000000000001e-05,PASS
F12-P03-B,F12,F12-P03,BASELINE,47,3,waveform_nmse,0,PASS
F12-P03-T,F12,F12-P03,TREATMENT,47,3,waveform_nmse,3.6e-05,PASS
F12-P04-B,F12,F12-P04,BASELINE,89,4,waveform_nmse,0,PASS
F12-P04-T,F12,F12-P04,TREATMENT,89,4,waveform_nmse,3.6e-05,PASS
F12-P05-B,F12,F12-P05,BASELINE,131,5,waveform_nmse,0,PASS
F12-P05-T,F12,F12-P05,TREATMENT,131,5,waveform_nmse,3.60000000000001e-05,PASS
F12-P06-B,F12,F12-P06,BASELINE,197,6,waveform_nmse,0,PASS
F12-P06-T,F12,F12-P06,TREATMENT,197,6,waveform_nmse,3.6e-05,PASS
F13-P01-B,F13,F13-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F13-P01-T,F13,F13-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F13-P02-B,F13,F13-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F13-P02-T,F13,F13-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F13-P03-B,F13,F13-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F13-P03-T,F13,F13-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F13-P04-B,F13,F13-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F13-P04-T,F13,F13-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F13-P05-B,F13,F13-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F13-P05-T,F13,F13-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F13-P06-B,F13,F13-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F13-P06-T,F13,F13-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F14-P01-B,F14,F14-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F14-P01-T,F14,F14-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F14-P02-B,F14,F14-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F14-P02-T,F14,F14-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F14-P03-B,F14,F14-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F14-P03-T,F14,F14-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F14-P04-B,F14,F14-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F14-P04-T,F14,F14-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F14-P05-B,F14,F14-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F14-P05-T,F14,F14-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F14-P06-B,F14,F14-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F14-P06-T,F14,F14-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F15-P01-B,F15,F15-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F15-P01-T,F15,F15-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F15-P02-B,F15,F15-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F15-P02-T,F15,F15-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F15-P03-B,F15,F15-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F15-P03-T,F15,F15-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F15-P04-B,F15,F15-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F15-P04-T,F15,F15-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F15-P05-B,F15,F15-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F15-P05-T,F15,F15-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F15-P06-B,F15,F15-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F15-P06-T,F15,F15-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F16-P01-B,F16,F16-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F16-P01-T,F16,F16-P01,TREATMENT,11,1,papr_db,6.31436791573969,PASS
F16-P02-B,F16,F16-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F16-P02-T,F16,F16-P02,TREATMENT,23,2,papr_db,7.58353110872869,PASS
F16-P03-B,F16,F16-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F16-P03-T,F16,F16-P03,TREATMENT,47,3,papr_db,8.45561804344855,PASS
F16-P04-B,F16,F16-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F16-P04-T,F16,F16-P04,TREATMENT,89,4,papr_db,7.40186886262322,PASS
F16-P05-B,F16,F16-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F16-P05-T,F16,F16-P05,TREATMENT,131,5,papr_db,6.27626405242169,PASS
F16-P06-B,F16,F16-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F16-P06-T,F16,F16-P06,TREATMENT,197,6,papr_db,8.87382428861607,PASS
F17-P01-B,F17,F17-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F17-P01-T,F17,F17-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F17-P02-B,F17,F17-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F17-P02-T,F17,F17-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F17-P03-B,F17,F17-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F17-P03-T,F17,F17-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F17-P04-B,F17,F17-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F17-P04-T,F17,F17-P04,TREATMENT,89,4,papr_db,4.23476211699964,PASS
F17-P05-B,F17,F17-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F17-P05-T,F17,F17-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F17-P06-B,F17,F17-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F17-P06-T,F17,F17-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F18-P01-B,F18,F18-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F18-P01-T,F18,F18-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F18-P02-B,F18,F18-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F18-P02-T,F18,F18-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F18-P03-B,F18,F18-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F18-P03-T,F18,F18-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F18-P04-B,F18,F18-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F18-P04-T,F18,F18-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F18-P05-B,F18,F18-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F18-P05-T,F18,F18-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F18-P06-B,F18,F18-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F18-P06-T,F18,F18-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F19-P01-B,F19,F19-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F19-P01-T,F19,F19-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F19-P02-B,F19,F19-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F19-P02-T,F19,F19-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F19-P03-B,F19,F19-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F19-P03-T,F19,F19-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F19-P04-B,F19,F19-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F19-P04-T,F19,F19-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F19-P05-B,F19,F19-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F19-P05-T,F19,F19-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F19-P06-B,F19,F19-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F19-P06-T,F19,F19-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F20-P01-B,F20,F20-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F20-P01-T,F20,F20-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F20-P02-B,F20,F20-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F20-P02-T,F20,F20-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F20-P03-B,F20,F20-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F20-P03-T,F20,F20-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F20-P04-B,F20,F20-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F20-P04-T,F20,F20-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F20-P05-B,F20,F20-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F20-P05-T,F20,F20-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F20-P06-B,F20,F20-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F20-P06-T,F20,F20-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F21-P01-B,F21,F21-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F21-P01-T,F21,F21-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F21-P02-B,F21,F21-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F21-P02-T,F21,F21-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F21-P03-B,F21,F21-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F21-P03-T,F21,F21-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F21-P04-B,F21,F21-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F21-P04-T,F21,F21-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F21-P05-B,F21,F21-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F21-P05-T,F21,F21-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F21-P06-B,F21,F21-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F21-P06-T,F21,F21-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F22-P01-B,F22,F22-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F22-P01-T,F22,F22-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F22-P02-B,F22,F22-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F22-P02-T,F22,F22-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F22-P03-B,F22,F22-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F22-P03-T,F22,F22-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F22-P04-B,F22,F22-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F22-P04-T,F22,F22-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F22-P05-B,F22,F22-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F22-P05-T,F22,F22-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F22-P06-B,F22,F22-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F22-P06-T,F22,F22-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F23-P01-B,F23,F23-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F23-P01-T,F23,F23-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F23-P02-B,F23,F23-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F23-P02-T,F23,F23-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F23-P03-B,F23,F23-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F23-P03-T,F23,F23-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F23-P04-B,F23,F23-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F23-P04-T,F23,F23-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F23-P05-B,F23,F23-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F23-P05-T,F23,F23-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F23-P06-B,F23,F23-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F23-P06-T,F23,F23-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F24-P01-B,F24,F24-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F24-P01-T,F24,F24-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F24-P02-B,F24,F24-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F24-P02-T,F24,F24-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F24-P03-B,F24,F24-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F24-P03-T,F24,F24-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F24-P04-B,F24,F24-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F24-P04-T,F24,F24-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F24-P05-B,F24,F24-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F24-P05-T,F24,F24-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F24-P06-B,F24,F24-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F24-P06-T,F24,F24-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F25-P01-B,F25,F25-P01,BASELINE,11,1,papr_db,6.65322427894567,PASS
F25-P01-T,F25,F25-P01,TREATMENT,11,1,papr_db,4.56470532104727,PASS
F25-P02-B,F25,F25-P02,BASELINE,23,2,papr_db,8.69135036409608,PASS
F25-P02-T,F25,F25-P02,TREATMENT,23,2,papr_db,3.63954040925952,PASS
F25-P03-B,F25,F25-P03,BASELINE,47,3,papr_db,5.65203475319321,PASS
F25-P03-T,F25,F25-P03,TREATMENT,47,3,papr_db,5.03051577645457,PASS
F25-P04-B,F25,F25-P04,BASELINE,89,4,papr_db,6.44210316105432,PASS
F25-P04-T,F25,F25-P04,TREATMENT,89,4,papr_db,4.23476211699965,PASS
F25-P05-B,F25,F25-P05,BASELINE,131,5,papr_db,7.25419904110825,PASS
F25-P05-T,F25,F25-P05,TREATMENT,131,5,papr_db,5.11817814080683,PASS
F25-P06-B,F25,F25-P06,BASELINE,197,6,papr_db,6.81987523896214,PASS
F25-P06-T,F25,F25-P06,TREATMENT,197,6,papr_db,4.69221529423279,PASS
F26-P01-B,F26,F26-P01,BASELINE,11,1,spectral_power_error_db,-3.85730986621315e-15,PASS
F26-P01-T,F26,F26-P01,TREATMENT,11,1,spectral_power_error_db,1.92865493310657e-15,PASS
F26-P02-B,F26,F26-P02,BASELINE,23,2,spectral_power_error_db,-1.44649119982993e-15,PASS
F26-P02-T,F26,F26-P02,TREATMENT,23,2,spectral_power_error_db,-4.82163733276644e-16,PASS
F26-P03-B,F26,F26-P03,BASELINE,47,3,spectral_power_error_db,-3.37514613293651e-15,PASS
F26-P03-T,F26,F26-P03,TREATMENT,47,3,spectral_power_error_db,0,PASS
F26-P04-B,F26,F26-P04,BASELINE,89,4,spectral_power_error_db,-3.37514613293651e-15,PASS
F26-P04-T,F26,F26-P04,TREATMENT,89,4,spectral_power_error_db,-1.92865493310657e-15,PASS
