RunId,CellId,UEId,AttemptId,StageName,Direction,StageSlot,RuntimeIntegrationMode,RuntimeTransportMode,WaveformSource,RuntimeStageWaveformUsed,SelfLoopWaveformUsed,RuntimeChannelStateUsed,ChannelFadingApplied,ChannelFadingExecutionStatus,RuntimeChannelLinkKey,RuntimeChannelSeed,RuntimeChannelStartSample,RuntimeChannelEndSample,RuntimeChannelIdleAdvancedSamples,NoiseApplied,NoiseSNR_dB,NoiseVariance,TxSampleCount,TxPortCount,RxSampleCount,RxPortCount
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"Msg1","UL",0,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE3;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1716135801,0,61440,0,1,20,6.60678541112759e-20,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"Msg2","DL",1,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=DL;tx=gNB1;rx=UE3;carrier=nrb=273:scs=30:fc=3500000000",1716135801,61440,122880,61440,1,20,1.75052028446769e-05,61440,1,61440,4
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"Msg3","UL",2,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE3;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1716135801,122880,184320,61440,1,20,1.43067555920024e-16,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"Msg4","DL",3,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=DL;tx=gNB1;rx=UE3;carrier=nrb=273:scs=30:fc=3500000000",1716135801,184320,245760,61440,1,20,1.73273182542707e-05,61440,1,61440,4
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,"RRCSetupComplete","UL",NaN,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE3;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1716135801,184320,245760,61440,1,20,1.43197038702502e-16,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"Msg1","UL",0,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE4;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1342398626,0,61440,0,1,20,3.15657089848704e-20,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"Msg2","DL",1,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=DL;tx=gNB1;rx=UE4;carrier=nrb=273:scs=30:fc=3500000000",1342398626,61440,122880,61440,1,20,1.56021789676035e-05,61440,1,61440,4
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"Msg3","UL",2,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE4;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1342398626,122880,184320,61440,1,20,7.96333292444238e-17,61440,4,61440,64
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"Msg4","DL",3,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=DL;tx=gNB1;rx=UE4;carrier=nrb=273:scs=30:fc=3500000000",1342398626,184320,245760,61440,1,20,1.50893778050668e-05,61440,1,61440,4
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,"RRCSetupComplete","UL",NaN,"coupled_truth_runtime","persistent_runtime_channel_state","runtime_channel_state",0,0,1,1,"applied_persistent_runtime_channel_object","dir=UL;tx=UE4;rx=gNB1;carrier=nrb=273:scs=30:fc=3500000000",1342398626,184320,245760,61440,1,20,7.93723733126329e-17,61440,4,61440,64
