UEIndex,RNTI,ServingCell,CellAcquisitionState,AccessState,LastPDCCHStatus,SRSValidityState,CSIValidityState,TRSValidityState,SchedulingEligibility,ControlEligibility,SRSValid,SRSAgeSlots,TrackingEligibility,TRSAgeSlots,LastSuccessfulPBCHSlot,LastSuccessfulPRACHSlot,LastSuccessfulPDCCHSlot,LastSuccessfulPUCCHSlot,LastSuccessfulSRSSlot,LastSuccessfulTRSSlot,LastEstimatedTRSDopplerHz,TRSRuntimeConsumer,TRSReceiverIntegrationStatus,TRSReceiverIntegrationBlocker,TRSProcessed,TRSUpdateOutcome,TRSTrackingStateAfter,TRSRuntimeEvidenceSource,PBCHFailureCount,PRACHFailureCount,ControlDecodeFailureCount,PUCCHDecodeFailureCount,SRSInvalidEventCount,TRSFailureCount,GrantsBlockedByGating
15,15,3,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,26.3270212857789,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
16,16,3,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,26.3270212857789,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
17,17,5,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
18,18,3,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,26.3270212857789,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
19,19,1,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,16.0072362627561,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
20,20,4,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
21,21,5,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
22,22,4,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
23,23,3,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,26.3270212857789,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
24,24,3,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,26.3270212857789,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
25,25,5,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
26,26,1,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,16.0072362627561,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
27,27,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
28,28,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
29,29,2,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,15.5531145844488,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
30,30,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
31,31,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
32,32,4,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
33,33,3,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,26.3270212857789,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
34,34,4,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
35,35,2,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,15.5531145844488,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
36,36,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
37,37,4,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
38,38,4,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
39,39,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
40,40,1,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,16.0072362627561,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
41,41,2,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,15.5531145844488,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
42,42,4,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
43,43,1,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,16.0072362627561,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
44,44,4,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,10,not_applicable,10,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
45,45,2,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,15.5531145844488,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
46,46,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,9,not_applicable,8,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
47,47,1,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,1,1,1,1,7,10,not_applicable,9,9,16.0072362627561,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
48,48,5,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,0,1,1,1,7,9,not_applicable,10,9,20.1908701924213,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
49,49,4,acquired,succeeded,control_ok,invalid,no_successful_srs,valid,1,1,0,NaN,1,1,1,7,10,not_applicable,NaN,9,11.1136918775636,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
50,50,2,acquired,succeeded,control_ok,valid,fresh_srs,valid,1,1,1,2,1,1,1,7,10,not_applicable,8,9,15.5531145844488,shared_receiver_tracking_state,integrated_shared_tracking_object,not_applicable,1,updated_from_trs_runtime_observation,valid,trs_reference_waveform_estimator,0,0,0,0,0,0,0
