ExperimentID,FamilyID,PairID,Variant,Seed,TrialID,Factor,FactorValue,Wave,DependencyState,Stage,Success,ErrorType,Latency_ms,Energy_mJ,Runtime_ms,PeakMemory_MB,Status
F04-P04-B,F04,F04-P04,baseline,89,trial-F04-P04-B,SSBCase,A,A,implemented_production_component,SSB,1,,9.99388640937668,0,56.9681,3547.5234375,PASS
F04-P04-T,F04,F04-P04,treatment,89,trial-F04-P04-T,SSBCase,C,A,implemented_production_component,SSB,1,,9.99388640937668,0,57.5019,3547.5234375,PASS
F04-P05-B,F04,F04-P05,baseline,131,trial-F04-P05-B,SSBCase,A,A,implemented_production_component,SSB,1,,13.003072109435,0,56.1898,3547.5234375,PASS
F04-P05-T,F04,F04-P05,treatment,131,trial-F04-P05-T,SSBCase,C,A,implemented_production_component,SSB,1,,13.003072109435,0,58.196,3547.5234375,PASS
F04-P06-B,F04,F04-P06,baseline,197,trial-F04-P06-B,SSBCase,A,A,implemented_production_component,SSB,1,,17.3581350834687,0,56.8513,3547.5234375,PASS
F04-P06-T,F04,F04-P06,treatment,197,trial-F04-P06-T,SSBCase,C,A,implemented_production_component,SSB,1,,17.3581350834687,0,59.0864,3547.5234375,PASS
F05-P01-B,F05,F05-P01,baseline,11,trial-F05-P01-B,PSSSSSEPREOffset_dB,0,A,implemented_production_component,SSB,1,,3.60539377753538,0,57.1053,3547.61328125,PASS
F05-P01-T,F05,F05-P01,treatment,11,trial-F05-P01-T,PSSSSSEPREOffset_dB,-6,A,implemented_production_component,SSB,1,,3.60539377753538,0,57.853,3547.61328125,PASS
F05-P02-B,F05,F05-P02,baseline,23,trial-F05-P02-B,PSSSSSEPREOffset_dB,0,A,implemented_production_component,SSB,1,,10.3459576769318,0,61.0598,3547.61328125,PASS
F05-P02-T,F05,F05-P02,treatment,23,trial-F05-P02-T,PSSSSSEPREOffset_dB,-3,A,implemented_production_component,SSB,1,,10.3459576769318,0,60.4286,3547.61328125,PASS
F05-P03-B,F05,F05-P03,baseline,47,trial-F05-P03-B,PSSSSSEPREOffset_dB,0,A,implemented_production_component,SSB,1,,2.26976943787299,0,59.1968,3547.61328125,PASS
F05-P03-T,F05,F05-P03,treatment,47,trial-F05-P03-T,PSSSSSEPREOffset_dB,3,A,implemented_production_component,SSB,1,,2.26976943787299,0,58.5311,3548.04296875,PASS
F05-P04-B,F05,F05-P04,baseline,89,trial-F05-P04-B,PSSSSSEPREOffset_dB,0,A,implemented_production_component,SSB,1,,9.99388640937668,0,58.1032,3548.04296875,PASS
F05-P04-T,F05,F05-P04,treatment,89,trial-F05-P04-T,PSSSSSEPREOffset_dB,6,A,implemented_production_component,SSB,1,,9.99388640937668,0,56.5322,3548.30859375,PASS
F05-P05-B,F05,F05-P05,baseline,131,trial-F05-P05-B,PSSSSSEPREOffset_dB,0,A,implemented_production_component,SSB,1,,13.003072109435,0,57.0496,3548.30859375,PASS
F05-P05-T,F05,F05-P05,treatment,131,trial-F05-P05-T,PSSSSSEPREOffset_dB,-6,A,implemented_production_component,SSB,1,,13.003072109435,0,58.6169,3548.30859375,PASS
F05-P06-B,F05,F05-P06,baseline,197,trial-F05-P06-B,PSSSSSEPREOffset_dB,0,A,implemented_production_component,SSB,1,,17.3581350834687,0,57.7202,3548.30859375,PASS
F05-P06-T,F05,F05-P06,treatment,197,trial-F05-P06-T,PSSSSSEPREOffset_dB,-3,A,implemented_production_component,SSB,1,,17.3581350834687,0,91.4872,3548.30859375,PASS
F06-P01-B,F06,F06-P01,baseline,11,trial-F06-P01-B,SSBSNR_dB,-6,A,implemented_production_component,SSB,1,,3.60539377753538,0,79.4794,3548.30859375,PASS
F06-P01-T,F06,F06-P01,treatment,11,trial-F06-P01-T,SSBSNR_dB,-4,A,implemented_production_component,SSB,1,,3.60539377753538,0,75.3111,3548.30859375,PASS
F06-P02-B,F06,F06-P02,baseline,23,trial-F06-P02-B,SSBSNR_dB,-6,A,implemented_production_component,SSB,1,,10.3459576769318,0,81.6471,3548.30859375,PASS
F06-P02-T,F06,F06-P02,treatment,23,trial-F06-P02-T,SSBSNR_dB,-2,A,implemented_production_component,SSB,1,,10.3459576769318,0,70.5438,3548.30859375,PASS
F06-P03-B,F06,F06-P03,baseline,47,trial-F06-P03-B,SSBSNR_dB,-6,A,implemented_production_component,SSB,1,,2.26976943787299,0,68.1742,3548.30859375,PASS
F06-P03-T,F06,F06-P03,treatment,47,trial-F06-P03-T,SSBSNR_dB,0,A,implemented_production_component,SSB,1,,2.26976943787299,0,66.4289,3548.30859375,PASS
F06-P04-B,F06,F06-P04,baseline,89,trial-F06-P04-B,SSBSNR_dB,-6,A,implemented_production_component,SSB,1,,9.99388640937668,0,72.958,3548.53125,PASS
F06-P04-T,F06,F06-P04,treatment,89,trial-F06-P04-T,SSBSNR_dB,2,A,implemented_production_component,SSB,1,,9.99388640937668,0,73.4852,3548.65234375,PASS
F06-P05-B,F06,F06-P05,baseline,131,trial-F06-P05-B,SSBSNR_dB,-6,A,implemented_production_component,SSB,1,,13.003072109435,0,68.2586,3548.71875,PASS
F06-P05-T,F06,F06-P05,treatment,131,trial-F06-P05-T,SSBSNR_dB,4,A,implemented_production_component,SSB,1,,13.003072109435,0,65.966,3548.71875,PASS
F06-P06-B,F06,F06-P06,baseline,197,trial-F06-P06-B,SSBSNR_dB,-6,A,implemented_production_component,SSB,1,,17.3581350834687,0,66.1104,3548.71875,PASS
F06-P06-T,F06,F06-P06,treatment,197,trial-F06-P06-T,SSBSNR_dB,8,A,implemented_production_component,SSB,1,,17.3581350834687,0,64.3213,3548.71875,PASS
F07-P01-B,F07,F07-P01,baseline,11,trial-F07-P01-B,CFO_Hz,0,A,implemented_production_component,SSB,1,,3.60539377753538,0,64.3569,3548.71875,PASS
F07-P01-T,F07,F07-P01,treatment,11,trial-F07-P01-T,CFO_Hz,100,A,implemented_production_component,SSB,1,,3.60539377753538,0,66.2692,3548.71875,PASS
F07-P02-B,F07,F07-P02,baseline,23,trial-F07-P02-B,CFO_Hz,0,A,implemented_production_component,SSB,1,,10.3459576769318,0,70.6301,3548.71875,PASS
F07-P02-T,F07,F07-P02,treatment,23,trial-F07-P02-T,CFO_Hz,500,A,implemented_production_component,SSB,1,,10.3459576769318,0,68.4742,3548.71875,PASS
F07-P03-B,F07,F07-P03,baseline,47,trial-F07-P03-B,CFO_Hz,0,A,implemented_production_component,SSB,1,,2.26976943787299,0,73.4089,3548.71875,PASS
F07-P03-T,F07,F07-P03,treatment,47,trial-F07-P03-T,CFO_Hz,1000,A,implemented_production_component,SSB,1,,2.26976943787299,0,70.9666,3548.71875,PASS
F07-P04-B,F07,F07-P04,baseline,89,trial-F07-P04-B,CFO_Hz,0,A,implemented_production_component,SSB,1,,9.99388640937668,0,64.316,3548.71875,PASS
F07-P04-T,F07,F07-P04,treatment,89,trial-F07-P04-T,CFO_Hz,2000,A,implemented_production_component,SSB,1,,9.99388640937668,0,64.0825,3548.71875,PASS
F07-P05-B,F07,F07-P05,baseline,131,trial-F07-P05-B,CFO_Hz,0,A,implemented_production_component,SSB,1,,13.003072109435,0,59.4301,3548.71875,PASS
F07-P05-T,F07,F07-P05,treatment,131,trial-F07-P05-T,CFO_Hz,100,A,implemented_production_component,SSB,1,,13.003072109435,0,58.4819,3548.65234375,PASS
F07-P06-B,F07,F07-P06,baseline,197,trial-F07-P06-B,CFO_Hz,0,A,implemented_production_component,SSB,1,,17.3581350834687,0,58.1577,3548.65234375,PASS
F07-P06-T,F07,F07-P06,treatment,197,trial-F07-P06-T,CFO_Hz,500,A,implemented_production_component,SSB,1,,17.3581350834687,0,57.4247,3548.65234375,PASS
F08-P01-B,F08,F08-P01,baseline,11,trial-F08-P01-B,TimingOffset_samples,0,A,implemented_production_component,SSB,1,,3.60539377753538,0,71.7511,3548.65234375,PASS
F08-P01-T,F08,F08-P01,treatment,11,trial-F08-P01-T,TimingOffset_samples,2,A,implemented_production_component,SSB,1,,3.60539377753538,0,59.18,3548.65234375,PASS
F08-P02-B,F08,F08-P02,baseline,23,trial-F08-P02-B,TimingOffset_samples,0,A,implemented_production_component,SSB,1,,10.3459576769318,0,59.5029,3548.65234375,PASS
F08-P02-T,F08,F08-P02,treatment,23,trial-F08-P02-T,TimingOffset_samples,8,A,implemented_production_component,SSB,1,,10.3459576769318,0,57.4747,3548.65234375,PASS
F08-P03-B,F08,F08-P03,baseline,47,trial-F08-P03-B,TimingOffset_samples,0,A,implemented_production_component,SSB,1,,2.26976943787299,0,57.1936,3548.65234375,PASS
F08-P03-T,F08,F08-P03,treatment,47,trial-F08-P03-T,TimingOffset_samples,32,A,implemented_production_component,SSB,1,,2.26976943787299,0,56.1405,3548.65234375,PASS
F08-P04-B,F08,F08-P04,baseline,89,trial-F08-P04-B,TimingOffset_samples,0,A,implemented_production_component,SSB,1,,9.99388640937668,0,56.3205,3548.71484375,PASS
F08-P04-T,F08,F08-P04,treatment,89,trial-F08-P04-T,TimingOffset_samples,128,A,implemented_production_component,SSB,1,,9.99388640937668,0,60.9163,3548.8671875,PASS
F08-P05-B,F08,F08-P05,baseline,131,trial-F08-P05-B,TimingOffset_samples,0,A,implemented_production_component,SSB,1,,13.003072109435,0,56.2252,3548.8671875,PASS
F08-P05-T,F08,F08-P05,treatment,131,trial-F08-P05-T,TimingOffset_samples,2,A,implemented_production_component,SSB,1,,13.003072109435,0,55.9308,3548.8671875,PASS
F08-P06-B,F08,F08-P06,baseline,197,trial-F08-P06-B,TimingOffset_samples,0,A,implemented_production_component,SSB,1,,17.3581350834687,0,56.0881,3548.8671875,PASS
F08-P06-T,F08,F08-P06,treatment,197,trial-F08-P06-T,TimingOffset_samples,8,A,implemented_production_component,SSB,1,,17.3581350834687,0,56.1416,3548.8671875,PASS
F09-P01-B,F09,F09-P01,baseline,11,trial-F09-P01-B,BeamMismatchIndex,0,B,implemented_production_component,BEAM,1,,0,0,57.6164,3548.8671875,PASS
F09-P01-T,F09,F09-P01,treatment,11,trial-F09-P01-T,BeamMismatchIndex,1,B,implemented_production_component,BEAM,1,,0,0,54.0514,3548.8671875,PASS
F09-P02-B,F09,F09-P02,baseline,23,trial-F09-P02-B,BeamMismatchIndex,0,B,implemented_production_component,BEAM,1,,0,0,54.0962,3548.8671875,PASS
F09-P02-T,F09,F09-P02,treatment,23,trial-F09-P02-T,BeamMismatchIndex,2,B,implemented_production_component,BEAM,1,,0,0,58.8472,3548.8671875,PASS
F09-P03-B,F09,F09-P03,baseline,47,trial-F09-P03-B,BeamMismatchIndex,0,B,implemented_production_component,BEAM,1,,0,0,56.8922,3548.8671875,PASS
F09-P03-T,F09,F09-P03,treatment,47,trial-F09-P03-T,BeamMismatchIndex,3,B,implemented_production_component,BEAM,1,,0,0,52.9584,3548.8671875,PASS
F09-P04-B,F09,F09-P04,baseline,89,trial-F09-P04-B,BeamMismatchIndex,0,B,implemented_production_component,BEAM,1,,0,0,52.2102,3548.8671875,PASS
F09-P04-T,F09,F09-P04,treatment,89,trial-F09-P04-T,BeamMismatchIndex,1,B,implemented_production_component,BEAM,1,,0,0,51.9388,3548.8671875,PASS
F09-P05-B,F09,F09-P05,baseline,131,trial-F09-P05-B,BeamMismatchIndex,0,B,implemented_production_component,BEAM,1,,0,0,59.2124,3548.8671875,PASS
F09-P05-T,F09,F09-P05,treatment,131,trial-F09-P05-T,BeamMismatchIndex,2,B,implemented_production_component,BEAM,1,,0,0,54.6826,3548.8671875,PASS
F09-P06-B,F09,F09-P06,baseline,197,trial-F09-P06-B,BeamMismatchIndex,0,B,implemented_production_component,BEAM,1,,0,0,53.6148,3548.8671875,PASS
F09-P06-T,F09,F09-P06,treatment,197,trial-F09-P06-T,BeamMismatchIndex,3,B,implemented_production_component,BEAM,1,,0,0,53.32,3548.8671875,PASS
F10-P01-B,F10,F10-P01,baseline,11,trial-F10-P01-B,BlockedSelectedBeam,false,C,implemented_production_component,BEAM,1,,0,0,52.8458,3548.8671875,PASS
F10-P01-T,F10,F10-P01,treatment,11,trial-F10-P01-T,BlockedSelectedBeam,true,C,implemented_production_component,BEAM,1,,20,0,53.9185,3548.8671875,PASS
F10-P02-B,F10,F10-P02,baseline,23,trial-F10-P02-B,BlockedSelectedBeam,false,C,implemented_production_component,BEAM,1,,0,0,52.7215,3548.8671875,PASS
F10-P02-T,F10,F10-P02,treatment,23,trial-F10-P02-T,BlockedSelectedBeam,true,C,implemented_production_component,BEAM,1,,20,0,52.3486,3548.8671875,PASS
F10-P03-B,F10,F10-P03,baseline,47,trial-F10-P03-B,BlockedSelectedBeam,false,C,implemented_production_component,BEAM,1,,0,0,52.1774,3548.8671875,PASS
F10-P03-T,F10,F10-P03,treatment,47,trial-F10-P03-T,BlockedSelectedBeam,true,C,implemented_production_component,BEAM,1,,20,0,52.3111,3548.8671875,PASS
F10-P04-B,F10,F10-P04,baseline,89,trial-F10-P04-B,BlockedSelectedBeam,false,C,implemented_production_component,BEAM,1,,0,0,52.5919,3549.08203125,PASS
F10-P04-T,F10,F10-P04,treatment,89,trial-F10-P04-T,BlockedSelectedBeam,true,C,implemented_production_component,BEAM,1,,20,0,53.5397,3549.08203125,PASS
F10-P05-B,F10,F10-P05,baseline,131,trial-F10-P05-B,BlockedSelectedBeam,false,C,implemented_production_component,BEAM,1,,0,0,52.7419,3549.08203125,PASS
F10-P05-T,F10,F10-P05,treatment,131,trial-F10-P05-T,BlockedSelectedBeam,true,C,implemented_production_component,BEAM,1,,20,0,53.0436,3549.08203125,PASS
F10-P06-B,F10,F10-P06,baseline,197,trial-F10-P06-B,BlockedSelectedBeam,false,C,implemented_production_component,BEAM,1,,0,0,52.3295,3549.08203125,PASS
F10-P06-T,F10,F10-P06,treatment,197,trial-F10-P06-T,BlockedSelectedBeam,true,C,implemented_production_component,BEAM,1,,20,0,52.7159,3549.08203125,PASS
F11-P01-B,F11,F11-P01,baseline,11,trial-F11-P01-B,PBCHDMRSSNR_dB,0,A,implemented_production_component,PBCH_MIB,1,,3.60539377753538,0,62.3165,3549.08203125,PASS
F11-P01-T,F11,F11-P01,treatment,11,trial-F11-P01-T,PBCHDMRSSNR_dB,-6,A,implemented_production_component,PBCH_MIB,1,,3.60539377753538,0,56.0813,3549.08203125,PASS
F11-P02-B,F11,F11-P02,baseline,23,trial-F11-P02-B,PBCHDMRSSNR_dB,0,A,implemented_production_component,PBCH_MIB,1,,10.3459576769318,0,55.7996,3549.08203125,PASS
F11-P02-T,F11,F11-P02,treatment,23,trial-F11-P02-T,PBCHDMRSSNR_dB,-3,A,implemented_production_component,PBCH_MIB,1,,10.3459576769318,0,56.3457,3549.08203125,PASS
F11-P03-B,F11,F11-P03,baseline,47,trial-F11-P03-B,PBCHDMRSSNR_dB,0,A,implemented_production_component,PBCH_MIB,1,,2.26976943787299,0,57.1064,3549.08203125,PASS
F11-P03-T,F11,F11-P03,treatment,47,trial-F11-P03-T,PBCHDMRSSNR_dB,3,A,implemented_production_component,PBCH_MIB,1,,2.26976943787299,0,61.5433,3549.08203125,PASS
F11-P04-B,F11,F11-P04,baseline,89,trial-F11-P04-B,PBCHDMRSSNR_dB,0,A,implemented_production_component,PBCH_MIB,1,,9.99388640937668,0,57.1899,3549.08203125,PASS
F11-P04-T,F11,F11-P04,treatment,89,trial-F11-P04-T,PBCHDMRSSNR_dB,6,A,implemented_production_component,PBCH_MIB,1,,9.99388640937668,0,57.2162,3549.08203125,PASS
F11-P05-B,F11,F11-P05,baseline,131,trial-F11-P05-B,PBCHDMRSSNR_dB,0,A,implemented_production_component,PBCH_MIB,1,,13.003072109435,0,55.8835,3549.08203125,PASS
F11-P05-T,F11,F11-P05,treatment,131,trial-F11-P05-T,PBCHDMRSSNR_dB,-6,A,implemented_production_component,PBCH_MIB,1,,13.003072109435,0,55.6474,3549.08203125,PASS
F11-P06-B,F11,F11-P06,baseline,197,trial-F11-P06-B,PBCHDMRSSNR_dB,0,A,implemented_production_component,PBCH_MIB,1,,17.3581350834687,0,55.7307,3549.08203125,PASS
F11-P06-T,F11,F11-P06,treatment,197,trial-F11-P06-T,PBCHDMRSSNR_dB,-3,A,implemented_production_component,PBCH_MIB,1,,17.3581350834687,0,55.6562,3549.08203125,PASS
F12-P01-B,F12,F12-P01,baseline,11,trial-F12-P01-B,Lmax,4,A,implemented_production_component,PBCH_MIB,1,,3.60539377753538,0,56.1784,3549.08203125,PASS
F12-P01-T,F12,F12-P01,treatment,11,trial-F12-P01-T,Lmax,8,A,implemented_production_component,PBCH_MIB,1,,3.60539377753538,0,55.9025,3549.08203125,PASS
F12-P02-B,F12,F12-P02,baseline,23,trial-F12-P02-B,Lmax,4,A,implemented_production_component,PBCH_MIB,1,,10.3459576769318,0,56.3579,3549.08203125,PASS
F12-P02-T,F12,F12-P02,treatment,23,trial-F12-P02-T,Lmax,8,A,implemented_production_component,PBCH_MIB,1,,10.3459576769318,0,56.4708,3549.08203125,PASS
F12-P03-B,F12,F12-P03,baseline,47,trial-F12-P03-B,Lmax,4,A,implemented_production_component,PBCH_MIB,1,,2.26976943787299,0,54.9859,3549.08203125,PASS
F12-P03-T,F12,F12-P03,treatment,47,trial-F12-P03-T,Lmax,8,A,implemented_production_component,PBCH_MIB,1,,2.26976943787299,0,58.3706,3549.08203125,PASS
F12-P04-B,F12,F12-P04,baseline,89,trial-F12-P04-B,Lmax,4,A,implemented_production_component,PBCH_MIB,1,,9.99388640937668,0,56.3354,3549.08203125,PASS
F12-P04-T,F12,F12-P04,treatment,89,trial-F12-P04-T,Lmax,8,A,implemented_production_component,PBCH_MIB,1,,9.99388640937668,0,56.5313,3549.08203125,PASS
F12-P05-B,F12,F12-P05,baseline,131,trial-F12-P05-B,Lmax,4,A,implemented_production_component,PBCH_MIB,1,,13.003072109435,0,56.0642,3549.08203125,PASS
F12-P05-T,F12,F12-P05,treatment,131,trial-F12-P05-T,Lmax,8,A,implemented_production_component,PBCH_MIB,1,,13.003072109435,0,56.7995,3549.08203125,PASS
F12-P06-B,F12,F12-P06,baseline,197,trial-F12-P06-B,Lmax,4,A,implemented_production_component,PBCH_MIB,1,,17.3581350834687,0,55.7741,3549.08203125,PASS
F12-P06-T,F12,F12-P06,treatment,197,trial-F12-P06-T,Lmax,8,A,implemented_production_component,PBCH_MIB,1,,17.3581350834687,0,55.561,3549.08203125,PASS
F13-P01-B,F13,F13-P01,baseline,11,trial-F13-P01-B,MIBBitMutation,none,A,implemented_production_component,PBCH_MIB,1,,3.60539377753538,0,57.4049,3549.08203125,PASS
F13-P01-T,F13,F13-P01,treatment,11,trial-F13-P01-T,MIBBitMutation,sfn,A,implemented_production_component,PBCH_MIB,1,expected_mib_information_bit_mutation,3.60539377753538,0,78.6978,3549.37109375,PASS
F13-P02-B,F13,F13-P02,baseline,23,trial-F13-P02-B,MIBBitMutation,none,A,implemented_production_component,PBCH_MIB,1,,10.3459576769318,0,59.1315,3549.37109375,PASS
F13-P02-T,F13,F13-P02,treatment,23,trial-F13-P02-T,MIBBitMutation,scs,A,implemented_production_component,PBCH_MIB,1,expected_mib_information_bit_mutation,10.3459576769318,0,60.6889,3549.37109375,PASS
F13-P03-B,F13,F13-P03,baseline,47,trial-F13-P03-B,MIBBitMutation,none,A,implemented_production_component,PBCH_MIB,1,,2.26976943787299,0,57.5243,3549.37109375,PASS
F13-P03-T,F13,F13-P03,treatment,47,trial-F13-P03-T,MIBBitMutation,kssb,A,implemented_production_component,PBCH_MIB,1,expected_mib_information_bit_mutation,2.26976943787299,0,58.3295,3549.37109375,PASS
F13-P04-B,F13,F13-P04,baseline,89,trial-F13-P04-B,MIBBitMutation,none,A,implemented_production_component,PBCH_MIB,1,,9.99388640937668,0,59.0297,3549.76171875,PASS
F13-P04-T,F13,F13-P04,treatment,89,trial-F13-P04-T,MIBBitMutation,type0,A,implemented_production_component,PBCH_MIB,1,expected_mib_information_bit_mutation,9.99388640937668,0,58.0381,3549.76171875,PASS
F13-P05-B,F13,F13-P05,baseline,131,trial-F13-P05-B,MIBBitMutation,none,A,implemented_production_component,PBCH_MIB,1,,13.003072109435,0,55.9972,3549.76171875,PASS
