RunID,CaseID,AbsoluteSlot,SearchSpaceID,SearchSpaceType,CORESETID,AggregationLevel,CandidateIndex,FirstCCE,CCEIndices,YValue,NCI,FormulaMismatchCount,Status
PDCCH_PHASE04_R18,CAND02_01,2,2,USS,1,1,6,23,23,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_01,2,2,USS,1,1,7,29,29,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_02,2,2,USS,1,2,0,22,22|23,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_02,2,2,USS,1,2,1,28,28|29,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_02,2,2,USS,1,2,2,34,34|35,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_02,2,2,USS,1,2,3,40,40|41,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_02,2,2,USS,1,2,4,46,46|47,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_02,2,2,USS,1,2,5,4,4|5,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_02,2,2,USS,1,2,6,10,10|11,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_02,2,2,USS,1,2,7,16,16|17,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_04,2,2,USS,1,4,0,44,44|45|46|47,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_04,2,2,USS,1,4,1,8,8|9|10|11,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_04,2,2,USS,1,4,2,20,20|21|22|23,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_04,2,2,USS,1,4,3,32,32|33|34|35,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_08,2,2,USS,1,8,0,40,40|41|42|43|44|45|46|47,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_08,2,2,USS,1,8,1,16,16|17|18|19|20|21|22|23,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND02_16,2,2,USS,1,16,0,32,32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47,65267,0,0,PASS
PDCCH_PHASE04_R18,CAND03_01,3,3,CSS,1,1,0,0,0,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_01,3,3,CSS,1,1,1,6,6,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_01,3,3,CSS,1,1,2,12,12,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_01,3,3,CSS,1,1,3,18,18,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_01,3,3,CSS,1,1,4,24,24,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_01,3,3,CSS,1,1,5,30,30,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_01,3,3,CSS,1,1,6,36,36,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_01,3,3,CSS,1,1,7,42,42,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_02,3,3,CSS,1,2,0,0,0|1,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_02,3,3,CSS,1,2,1,6,6|7,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_02,3,3,CSS,1,2,2,12,12|13,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_02,3,3,CSS,1,2,3,18,18|19,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_02,3,3,CSS,1,2,4,24,24|25,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_02,3,3,CSS,1,2,5,30,30|31,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_02,3,3,CSS,1,2,6,36,36|37,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_02,3,3,CSS,1,2,7,42,42|43,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_04,3,3,CSS,1,4,0,0,0|1|2|3,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_04,3,3,CSS,1,4,1,12,12|13|14|15,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_04,3,3,CSS,1,4,2,24,24|25|26|27,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_04,3,3,CSS,1,4,3,36,36|37|38|39,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_08,3,3,CSS,1,8,0,0,0|1|2|3|4|5|6|7,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_08,3,3,CSS,1,8,1,24,24|25|26|27|28|29|30|31,0,0,0,PASS
PDCCH_PHASE04_R18,CAND03_16,3,3,CSS,1,16,0,0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,0,0,0,PASS
PDCCH_PHASE04_R18,CAND04_01,4,4,USS,1,1,0,36,36,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_01,4,4,USS,1,1,1,42,42,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_01,4,4,USS,1,1,2,0,0,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_01,4,4,USS,1,1,3,6,6,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_01,4,4,USS,1,1,4,12,12,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_01,4,4,USS,1,1,5,18,18,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_01,4,4,USS,1,1,6,24,24,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_01,4,4,USS,1,1,7,30,30,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_02,4,4,USS,1,2,0,24,24|25,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_02,4,4,USS,1,2,1,30,30|31,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_02,4,4,USS,1,2,2,36,36|37,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_02,4,4,USS,1,2,3,42,42|43,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_02,4,4,USS,1,2,4,0,0|1,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_02,4,4,USS,1,2,5,6,6|7,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_02,4,4,USS,1,2,6,12,12|13,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_02,4,4,USS,1,2,7,18,18|19,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_04,4,4,USS,1,4,0,0,0|1|2|3,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_04,4,4,USS,1,4,1,12,12|13|14|15,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_04,4,4,USS,1,4,2,24,24|25|26|27,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_04,4,4,USS,1,4,3,36,36|37|38|39,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_08,4,4,USS,1,8,0,0,0|1|2|3|4|5|6|7,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_08,4,4,USS,1,8,1,24,24|25|26|27|28|29|30|31,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND04_16,4,4,USS,1,16,0,0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,15876,0,0,PASS
PDCCH_PHASE04_R18,CAND05_01,5,5,CSS,1,1,0,0,0,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_01,5,5,CSS,1,1,1,6,6,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_01,5,5,CSS,1,1,2,12,12,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_01,5,5,CSS,1,1,3,18,18,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_01,5,5,CSS,1,1,4,24,24,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_01,5,5,CSS,1,1,5,30,30,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_01,5,5,CSS,1,1,6,36,36,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_01,5,5,CSS,1,1,7,42,42,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_02,5,5,CSS,1,2,0,0,0|1,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_02,5,5,CSS,1,2,1,6,6|7,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_02,5,5,CSS,1,2,2,12,12|13,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_02,5,5,CSS,1,2,3,18,18|19,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_02,5,5,CSS,1,2,4,24,24|25,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_02,5,5,CSS,1,2,5,30,30|31,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_02,5,5,CSS,1,2,6,36,36|37,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_02,5,5,CSS,1,2,7,42,42|43,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_04,5,5,CSS,1,4,0,0,0|1|2|3,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_04,5,5,CSS,1,4,1,12,12|13|14|15,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_04,5,5,CSS,1,4,2,24,24|25|26|27,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_04,5,5,CSS,1,4,3,36,36|37|38|39,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_08,5,5,CSS,1,8,0,0,0|1|2|3|4|5|6|7,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_08,5,5,CSS,1,8,1,24,24|25|26|27|28|29|30|31,0,0,0,PASS
PDCCH_PHASE04_R18,CAND05_16,5,5,CSS,1,16,0,0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,0,0,0,PASS
