RunID,CaseID,DCIFormat,ContextDigest,PayloadBits,InputBitsSHA256,DecodedBitsSHA256,FieldMismatchCount,LengthMismatchRejected,MissingFieldRejected,OutOfRangeRejected,UnexpectedFieldRejected,Status
PDCCH_PHASE04_R18,DCI0026,0_1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,2c36d537dfbc3111e996b8481630a9c3ed99e8d1d3adbbcd5e57aafd947d8eac,2c36d537dfbc3111e996b8481630a9c3ed99e8d1d3adbbcd5e57aafd947d8eac,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0027,1_0,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,61d87525636725bdc3968e0a383d24e9934ed64da0aa251378d07e876d8da02b,61d87525636725bdc3968e0a383d24e9934ed64da0aa251378d07e876d8da02b,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0028,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,779941f8fd51504bde2fe1fb650f86e6dbd355ac2f79c4cb1b50ffcb51b0d4c9,779941f8fd51504bde2fe1fb650f86e6dbd355ac2f79c4cb1b50ffcb51b0d4c9,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0029,0_0,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,00310ed2cf10b8e853c0fa21f9074f30964e03c131e8fbe908e20902763a9189,00310ed2cf10b8e853c0fa21f9074f30964e03c131e8fbe908e20902763a9189,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0030,0_1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,02db9fc2e725dfbdfeaa41dce072ca729c75da380e8d265c800d47f66105f42b,02db9fc2e725dfbdfeaa41dce072ca729c75da380e8d265c800d47f66105f42b,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0031,1_0,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,5694a1792b6537f2c9e64bf5b4821a3d0d6714d5a81c8baca13fe6f2d155ff59,5694a1792b6537f2c9e64bf5b4821a3d0d6714d5a81c8baca13fe6f2d155ff59,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0032,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,dff4d54bdb43dcc7035134ed001c352c1b7e79627249b66ca3bd8bb69e22afae,dff4d54bdb43dcc7035134ed001c352c1b7e79627249b66ca3bd8bb69e22afae,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0033,0_0,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,e86303f5ac885f44e0074d4e83ae7c6991e9d49ab4d6df1ad4b19980890f2bdb,e86303f5ac885f44e0074d4e83ae7c6991e9d49ab4d6df1ad4b19980890f2bdb,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0034,0_1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,faa804fed71aa0a3e9002940744f167994f23eae60802b4bb30de3d4077e6750,faa804fed71aa0a3e9002940744f167994f23eae60802b4bb30de3d4077e6750,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0035,1_0,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,41d7d82a6e2029aef342da032428927a917622fa200aa809b1b9501d356aea63,41d7d82a6e2029aef342da032428927a917622fa200aa809b1b9501d356aea63,0,true,true,true,true,PASS
