RunID,CaseID,PayloadBits,RNTIType,RNTIValue,CRC24CSHA256,CRCCheckPassed,WrongRNTICheckPassed,NID,NRNTIForScrambling,CInit,ScramblingSequenceSHA256,MismatchCount,Status
PDCCH_PHASE04_R18,CRC0013,44,C-RNTI,4660,2e43c8443f9aff17160ba8bf2e1f43a8c8e0f9cc9ae0d4d3f38a140491184466,true,true,533,4660,305398293,8c043b4d0ffe5eda245306ffd808688c6181899ca6afa382dd44c0dbb600435b,0,PASS
PDCCH_PHASE04_R18,CRC0014,57,C-RNTI,4660,5faf4227494a657933b088f7e684e7fdca48a4af1d40a5c0a1612ed00dd35afc,true,true,574,4660,305398334,82ef96c27a617614bf39669689336f365644462af5ed2c1b17ce9080d9506d1e,0,PASS
PDCCH_PHASE04_R18,CRC0015,44,C-RNTI,4660,2214fda299cf88476e1e063d2ea7222c1c366775b371bd769a0a4e258290d921,true,true,615,4660,305398375,13eab11a3355063d4d31c2451f23ef60535e36ea965419798269ac7a95bb0119,0,PASS
PDCCH_PHASE04_R18,CRC0016,62,C-RNTI,4660,f4c513fc869ff6a0a4d363319a1b5287712c14a7f6b2a4625aa9a92a179c7a68,true,true,656,4660,305398416,4dde18dfd299635f45da0bcaf438fb35f9b82a1fc11ce0c3ceebe01f7256f7b3,0,PASS
PDCCH_PHASE04_R18,CRC0017,44,C-RNTI,4660,76183f4987dafb99f1a59c7794c94fbae1374efc437bb66d266e78a4fb4d855d,true,true,697,4660,305398457,96791d7b1b6d54562392e5f47cfacaca8a7a92502bce0c4253ca1ad7182336c8,0,PASS
PDCCH_PHASE04_R18,CRC0018,57,C-RNTI,4660,596953601c677c4ebd9ecf13f48dae1ff79be82c54f81d7162115dff87a3ee1a,true,true,738,4660,305398498,a8892410f0be3f5c326538531a41a543f0ca0c83a26af710fb84e5a0925d059a,0,PASS
PDCCH_PHASE04_R18,CRC0019,44,C-RNTI,4660,87788afca9ed293b1606d6700c06ea4c170852d3f09efc42baacdd513a31855a,true,true,779,4660,305398539,8b553d3241080b2b667749a58cbd0426fcdfd948d8e0e8f784a4306bdac59b35,0,PASS
PDCCH_PHASE04_R18,CRC0020,62,C-RNTI,4660,0feb452c32f67991e762fd2a36b3a37ae482ac970b5bbcb1ace8df7cd7e3a4a0,true,true,820,4660,305398580,7509d03108f6e0b9011e0930657726e09d8f1f1bfd52bf118e9a0452f2c25769,0,PASS
PDCCH_PHASE04_R18,CRC0021,44,C-RNTI,4660,5a0ddceac86ffc2343d4c7a00b60a6f5cf4e45211409ed871619c2781696fe66,true,true,861,4660,305398621,c8119269e0f84d59f08bb37ba7f7424768e54bfecfd937d8dc970d5ea4e716d5,0,PASS
PDCCH_PHASE04_R18,CRC0022,57,C-RNTI,4660,e0d543de1a26f39b0ac86352912a6508b8d80cc85df87078c91f48fd6dd90049,true,true,902,4660,305398662,65d4e89e795f71d5b34d19e313d902dc4ab3c84450ec4fc918949e2f217c6722,0,PASS
PDCCH_PHASE04_R18,CRC0023,44,C-RNTI,4660,4508559bd1c6d696937fba46f10f36c01375bcb031c77fc81d9d46929b0e96e6,true,true,943,4660,305398703,02fd881b588a73e5055c532d671e8d83ad8ee439d88751da3dbfb572c7e61467,0,PASS
PDCCH_PHASE04_R18,CRC0024,62,C-RNTI,4660,d5e2adb4748fa775899c1f67f7b7649072bafccbb970b61a2294344e5b207f67,true,true,984,4660,305398744,4eb542d30b3dc9076265950e23fdcee5e918817c0250ba5e428a77efb83cc381,0,PASS
PDCCH_PHASE04_R18,CRC0025,44,C-RNTI,4660,5ecd520e344e1024073716af55cbdca86306bce5f2a4380333109e1f5678d106,true,true,17,4660,305397777,3f48f11f8f078f0f2a2a682014d16a673cbd72aeb4dfc3259f296128f7e6fe30,0,PASS
PDCCH_PHASE04_R18,CRC0026,57,C-RNTI,4660,54627b1b2d046dba289df8d2fd2bd1e9cd07303400ad6c7f01f836c8d4b3f16d,true,true,58,4660,305397818,98041262897063ecdba7c653630795aae6552cf8bce3bce2a59320772e049fa5,0,PASS
PDCCH_PHASE04_R18,CRC0027,44,C-RNTI,4660,ef4078eddee6f0129ea626b01ea8b5c13401251dae98a666667d6e15ebe8e062,true,true,99,4660,305397859,c0bce1d80edd474efdd38be82d5e061c4a0ebaab90bc4fc60a57a9242735770a,0,PASS
PDCCH_PHASE04_R18,CRC0028,62,C-RNTI,4660,68af0175f8abfbc09e92ce23282700b3c438b0913fbe810fee37161ffc7351bf,true,true,140,4660,305397900,faa3bac2f0f40a8aae99758fd6e5a23ae0c02c0cabdddeb8c295c1c8b88f222e,0,PASS
PDCCH_PHASE04_R18,CRC0029,44,C-RNTI,4660,56570f94031fdbe3445f552fe4f44ae8d1c636f6d03864e14b08a15d9578afbb,true,true,181,4660,305397941,80c6e122cceb0ee834417a4bb1b0c89d604ac1cdcfc067fda7aaa850aedb7b06,0,PASS
PDCCH_PHASE04_R18,CRC0030,57,C-RNTI,4660,61ebf45558a3beea1a81206eb9002381f8babf86497b1196e0a25028f8441b82,true,true,222,4660,305397982,69b502d3d2cc2c1a05202835ad55712797322b5e76f610f15a358a641452eab1,0,PASS
PDCCH_PHASE04_R18,CRC0031,44,C-RNTI,4660,1637e19c8d62f28a61a08e5ab76d7ecc394bac527aa5ae6c5a3752adce8f08be,true,true,263,4660,305398023,32fb90762fcf8b79009f8249dd6c546768d3ef3c692ebfb6ffbedf22cfa61f62,0,PASS
PDCCH_PHASE04_R18,CRC0032,62,C-RNTI,4660,3618956ce4d93234594e8d19abe4c019767a37310fe47d1e41e2ef33c636735c,true,true,304,4660,305398064,b4931890a60d1a4277b06d13a85fe2d1de2a863aaaed6a83b7a421c5318f4d31,0,PASS
