RunID,CaseID,Seed,Trial,Profile,SignalPresent,DCIFormatTx,RNTITypeTx,AggregationLevelTx,SearchSpaceIDTx,CORESETIDTx,FirstCCETx,Detected,DecodedFormat,DecodedRNTIType,DecodedFirstCCE,CRCCheckPassed,CorrectDetection,FalseAlarm,MissedDetection,KnownLocationUsed,OracleTimingUsed,MeasuredSINRdB,CFOEstimateHz,TimingEstimateSamples,Status,ExecutionBackend,ApproximationMode,EvidenceClass,ChannelRealizationID,NoiseRealizationID,PayloadID,RuntimeMs,MemoryMB
PDCCH_PHASE04_R18,BLIND0021,23,2,connected_blind_strict,true,0_0,C-RNTI,1,1,1,4,true,0_0,C-RNTI,4,true,true,false,false,false,false,10,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,cce7e1e921518485622a71a59e4ffd8dd1c64e75965b5975de6b1506a204ec90,296b7c3bcf3074429b308e231f7f7fac85974e137a9695b9c9b8806ffb1e0b42,310.2917,1.9252
PDCCH_PHASE04_R18,BLIND0022,23,2,connected_blind_strict,true,0_1,C-RNTI,1,1,1,4,true,0_1,C-RNTI,4,true,true,false,false,false,false,14,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,86d26553f5eea655d60d100b673724bf72a459c95cf839821f2774b8d95955e6,84683dd71f2795ae6490d19393b15dff1ea5a240e4785344af6bda79da16b736,2a6a0261374d59b5416b990f62d699d91597a77a80ec0a42a8343f82a207fcb4,259.9785,1.934
PDCCH_PHASE04_R18,BLIND0023,23,2,connected_blind_strict,true,1_0,C-RNTI,1,1,1,4,true,1_0,C-RNTI,4,true,true,false,false,false,false,10,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,713458e7d35ae761231bdddcb7b411786b90a73bdc932847b21489ce09c458a8,99d48b4154e1bf55617f4b6deefe23922bceb09504412ca63a394d58347624cf,250.4493,1.9293
PDCCH_PHASE04_R18,BLIND0024,23,2,connected_blind_strict,true,1_1,C-RNTI,1,1,1,4,true,1_1,C-RNTI,4,true,true,false,false,false,false,14,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,61a84f762114b4b96ca385da4567b781ffa501a342c7d5940e8552189bc2ef35,f1390e2ff36923128c224b53ac9e664d52f62ef59f6419b9c2246ea38fa8ecb0,8b5cf9757a27f37aab7a05f018781a0169fe4795711e1754e363e8f22be78f59,282.5858,1.9402
PDCCH_PHASE04_R18,BLIND0025,23,2,connected_blind_strict,true,0_0,C-RNTI,2,1,1,8,true,0_0,C-RNTI,8,true,true,false,false,false,false,8,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,b6d131039635706def949e3d970e41000104623b89d30897e2c2bda0a14787c6,4712a8a14491c229239305e41f35533b15db569aad8d6217d6438398e6dbe43f,299.4999,1.9252
PDCCH_PHASE04_R18,BLIND0026,23,2,connected_blind_strict,true,0_1,C-RNTI,2,1,1,8,true,0_1,C-RNTI,8,true,true,false,false,false,false,12,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,d9e2d191e8dcdbed868405cc50169fa64bde87a0a4448dbc0656d4712ccb237e,5b0d6f9800255e96042f9e526f87a44740f94dea9b1ebb762f1d2fad86b1667a,6e672cdc1c1d1d9d2aa1b2426b9af6e6be7addff2ed79d635996f91c4864062e,337.3741,1.934
PDCCH_PHASE04_R18,BLIND0027,23,2,connected_blind_strict,true,1_0,C-RNTI,2,1,1,8,true,1_0,C-RNTI,8,true,true,false,false,false,false,8,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,cba79b90c5f56fd19b1adc478f7d0906c36c6e5ee5fb554d057a9ad8eb050268,0b82a14d2c65a7327b5e82e65e7f786832c6af818e417c386c7c22de1229fc47,308.0843,1.9293
PDCCH_PHASE04_R18,BLIND0028,23,2,connected_blind_strict,true,1_1,C-RNTI,2,1,1,8,true,1_1,C-RNTI,8,true,true,false,false,false,false,12,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,c0bc7038e8fe8f355ae3332620dfe6ef069211f8a01b711dee1649f3a6e9abc7,785630d836414017993b865a4cb6fd7fc1a16ed51c9a7ee5f909e8046af78e81,06a87931b3e1a6cb41e41d7d3975970ab8190b078120d729cd3457722aa19120,293.1896,1.9402
PDCCH_PHASE04_R18,BLIND0029,23,2,connected_blind_strict,true,0_0,C-RNTI,4,1,1,16,true,0_0,C-RNTI,16,true,true,false,false,false,false,6,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,42672539becb39fd9c16f5f17e6ca7a8f895f9741d31df6d2dda11d7a0972bf5,3d6263999c54eaba103414a54c08629f3b05457f4f7675928c337a68706b94db,3564c55c657ed075cc1394c45ecd53e6d4e9b79603b1fbc8426e74290cf79c5c,166.5114,1.9236
PDCCH_PHASE04_R18,BLIND0030,23,2,connected_blind_strict,true,0_1,C-RNTI,4,1,1,16,true,0_1,C-RNTI,16,true,true,false,false,false,false,10,0,0,PASS,strict_pdcch_waveform_tx_rx,none,waveform_truth,d5545c3f65bee45e8276de05fe356c450237cd5081fe046dea32b1110fe94635,32f146e99c4477ddd1c5ceedd254129faea7d77bf2e39ec50f4abfdb6cb8ef01,52d750f01d23b9fb9950b4f4e663feb92d8ec80b3097bea09fa07f68f587deeb,161.4004,1.9324
