Direction,AbsoluteSlot,TBID,StartSample,StopSampleExclusive,TBSBits,CodedBits,Qm,Layers,TargetCodeRate,CRCPass,TBExact,BitErrors,BER,CodedBER,EVMRMS,ReferenceErrorSINRdB,ConfiguredReferenceSNRdB,ExpectedDataREPowerPerPort,MeasuredTXDataREPower,InjectedSampleNoiseVariance,ExpectedGridNoiseVariance,MeasuredDMRSNoiseVariance,Source,StandardNR
"UL",69,"UL_69",4239552,4300928,573504,760320,10,2,0.75,1,1,0,0,0.0290088383838384,0.0377377465339019,28.4644807358388,30,0.5,0.501123003001694,1.220703125e-07,0.0005,0.000513197665674348,"actual_coded_research_waveform",0
"UL",70,"UL_70",4300928,4362304,573504,760320,10,2,0.75,1,1,0,0,0.0292179608585859,0.0379882145028735,28.407022367796,30,0.5,0.498875222780123,1.220703125e-07,0.0005,0.000511101627219059,"actual_coded_research_waveform",0
"UL",71,"UL_71",4362304,4423680,573504,760320,10,2,0.75,1,1,0,0,0.0292271675084175,0.0379415359424188,28.4177018412112,30,0.5,0.500591046091437,1.220703125e-07,0.0005,0.000515222113526536,"actual_coded_research_waveform",0
"DL",72,"DL_72",4423680,4485312,573504,760320,10,2,0.75,1,1,0,0,0.0291482533670034,0.0377530773519898,28.4609528422764,30,0.5,0.500223551497402,1.220703125e-07,0.0005,0.000516285883219991,"actual_coded_research_waveform",0
"DL",73,"DL_73",4485312,4546688,573504,760320,10,2,0.75,1,1,0,0,0.0290272516835017,0.0379469438092968,28.4164639158999,30,0.5,0.497723060887494,1.220703125e-07,0.0005,0.000519614422884574,"actual_coded_research_waveform",0
"DL",74,"DL_74",4546688,4608064,573504,760320,10,2,0.75,1,1,0,0,0.0293507996632997,0.037841988652203,28.4405209771256,30,0.5,0.500023064837056,1.220703125e-07,0.0005,0.000516317097264093,"actual_coded_research_waveform",0
"UL",76,"UL_76",4669440,4731072,573504,760320,10,2,0.75,1,1,0,0,0.0294336595117845,0.0379948597153818,28.4055030930573,30,0.5,0.500986079638046,1.220703125e-07,0.0005,0.0005199994337216,"actual_coded_research_waveform",0
"UL",77,"UL_77",4731072,4792448,573504,760320,10,2,0.75,1,1,0,0,0.0290614478114478,0.0378762915512893,28.4326509828438,30,0.5,0.499859219640218,1.220703125e-07,0.0005,0.000513731910237358,"actual_coded_research_waveform",0
"UL",78,"UL_78",4792448,4853824,573504,760320,10,2,0.75,1,1,0,0,0.0288641624579125,0.0377199259122195,28.4685833791109,30,0.5,0.501234470190689,1.220703125e-07,0.0005,0.000527774300310765,"actual_coded_research_waveform",0
"UL",79,"UL_79",4853824,4915200,573504,760320,10,2,0.75,1,1,0,0,0.0292784617003367,0.0378838311811518,28.4309221473892,30,0.5,0.501793580353904,1.220703125e-07,0.0005,0.000518723871537535,"actual_coded_research_waveform",0
